#	Energy	XtalBragg1	XtalBragg2	Xtal2Z	Xtal2Roll	XTranslator
Units	keV	deg	deg	mm	deg	mm
	7	-1.8485	-1.8603	233	0.06	45
	7.1	-1.8225	-1.8344	236.2	0.06	45
	7.2	-1.7975	-1.8095	239.4	0.06	45
	7.3	-1.773	-1.7854	242.6	0.06	45
	7.4	-1.749	-1.7614	245.8	0.06	45
	7.5	-1.7255	-1.7379	249	0.06	45
	7.6	-1.7025	-1.7148	252.4	0.06	45
	7.7	-1.681	-1.6935	255.8	0.06	45
	7.8	-1.659	-1.6716	259.2	0.06	45
	7.9	-1.638	-1.6505	262.6	0.06	45
	8	-1.6175	-1.6305	266	0.06	45
	8.1	-1.5975	-1.6104	269.2	0.06	45
	8.2	-1.578	-1.5904	272.4	0.06	45
	8.3	-1.559	-1.5717	275.6	0.06	45
	8.4	-1.5405	-1.5531	278.8	0.06	45
	8.5	-1.5225	-1.5353	282	0.06	45
	8.6	-1.5045	-1.5179	285.4	0.06	45
	8.7	-1.487	-1.5	288.8	0.06	45
	8.8	-1.4705	-1.4839	292.2	0.06	45
	8.9	-1.454	-1.4673	295.6	0.06	45
	9	-1.4375	-1.4511	299	0.06	45
	9.1	-1.422	-1.4356	302.4	0.06	45
	9.2	-1.4065	-1.4209	305.8	0.06	45
	9.3	-1.392	-1.4064	309.2	0.06	45
	9.4	-1.3738	-1.3882	312.6	0.06	45
	9.5	-1.362	-1.3763	316	0.06	45
	9.6	-1.348	-1.3626	319.2	0.06	45
	9.7	-1.3335	-1.3481	322.4	0.06	45
	9.8	-1.3205	-1.3356	325.6	0.06	45
	9.9	-1.307	-1.3215	328.8	0.06	45
	10	-1.2935	-1.3086	332	0.06	45
	10.1	-1.281	-1.304	335.48	0.06	45
	10.2	-1.2685	-1.2912	338.79	0.06	45
	10.3	-1.2565	-1.2794	342.02	0.06	45
	10.4	-1.244	-1.2671	345.46	0.06	45
	10.5	-1.2325	-1.2546	348.68	0.06	45
	10.6	-1.2205	-1.2425	352.11	0.06	45
	10.7	-1.2095	-1.2318	355.31	0.06	45
	10.8	-1.198	-1.2201	358.72	0.06	45
	10.9	-1.1865	-1.2086	362.2	0.06	45
	11	-1.1765	-1.1986	365.28	0.06	45
	11.1	-1.1655	-1.1873	368.72	0.06	45
	11.2	-1.155	-1.1765	372.07	0.06	45
	11.3	-1.1445	-1.1656	375.49	0.06	45
	11.4	-1.135	-1.1563	378.63	0.06	45
	11.5	-1.1255	-1.1462	381.83	0.06	45
	11.6	-1.1155	-1.136	385.25	0.06	45
	11.7	-1.106	-1.1262	388.56	0.06	45
	11.8	-1.0965	-1.1166	391.92	0.06	45
	11.9	-1.087	-1.1075	395.35	0.06	45
	12	-1.078	-1.0984	398.65	0.06	45
	12.1	-1.069	-1.0889	402	0.06	45
	12.2	-1.0605	-1.0799	405.23	0.06	45
	12.3	-1.052	-1.0713	408.5	0.06	45
	12.4	-1.0435	-1.0627	411.83	0.06	45
	12.5	-1.035	-1.0535	415.21	0.06	45
	12.6	-1.027	-1.0451	418.44	0.06	45
	12.7	-1.0185	-1.0362	421.94	0.06	45
	12.8	-1.0105	-1.0278	425.27	0.06	45
	12.9	-1.0025	-1.0201	428.67	0.06	45
	13	-0.99501	-1.012	431.9	0.06	45
	13.1	-0.98749	-1.0044	435.18	0.06	45
	13.2	-0.98	-0.9963	438.51	0.06	45
	13.3	-0.97251	-0.9886	441.89	0.06	45
	13.4	-0.96549	-0.98089	445.09	0.06	45
	13.5	-0.95851	-0.97319	448.35	0.06	45
	13.6	-0.95149	-0.96548	451.64	0.06	45
	13.7	-0.9445	-0.958	454.99	0.06	45
	13.8	-0.93748	-0.95058	458.39	0.06	45
	13.9	-0.9305	-0.94316	461.84	0.06	45
	14	-0.92398	-0.93643	465.08	0.06	45
	14.1	-0.9175	-0.92952	468.38	0.06	45
	14.2	-0.91099	-0.92236	471.72	0.06	45
	14.3	-0.90451	-0.91573	475.11	0.06	45
	14.4	-0.8985	-0.90929	478.28	0.06	45
	14.5	-0.89202	-0.90245	481.77	0.06	45
	14.6	-0.886	-0.89608	485.03	0.06	45
	14.7	-0.87999	-0.88956	488.34	0.06	45
	14.8	-0.87402	-0.88254	491.69	0.06	45
	14.9	-0.868	-0.87653	495.09	0.06	45
	15	-0.8625	-0.87091	498.24	0.06	45
	15.1	-0.85648	-0.86468	501.73	0.06	45
	15.2	-0.85101	-0.85853	504.97	0.06	45
	15.3	-0.8455	-0.85252	508.26	0.06	45
	15.4	-0.84	-0.8469	511.59	0.06	45
	15.5	-0.83449	-0.84132	514.96	0.06	45
	15.6	-0.82902	-0.83588	518.37	0.06	45
	15.7	-0.82401	-0.83113	521.52	0.06	45
	15.8	-0.8185	-0.82573	525.02	0.06	45
	15.9	-0.8135	-0.8208	528.25	0.06	45
	16	-0.8085	-0.82112	531.52	0.06	45
	16.1	-0.80349	-0.81925	534.82	0.06	45
	16.2	-0.79849	-0.81515	538.17	0.06	45
	16.3	-0.79348	-0.80989	541.56	0.06	45
	16.4	-0.78898	-0.80759	544.65	0.06	45
	16.5	-0.78402	-0.80262	548.13	0.06	45
	16.6	-0.77952	-0.79877	551.29	0.06	45
	16.7	-0.77451	-0.79499	554.85	0.06	45
	16.8	-0.77001	-0.7907	558.09	0.06	45
	16.9	-0.76551	-0.78725	561.37	0.06	45
	17	-0.76101	-0.78329	564.69	0.06	45
	17.1	-0.75651	-0.78127	568.05	0.06	45
	17.2	-0.75201	-0.77724	571.45	0.06	45
	17.3	-0.74751	-0.77346	574.89	0.06	45
	17.4	-0.74352	-0.77011	577.98	0.06	45
	17.5	-0.73902	-0.7664	581.5	0.06	45
	17.6	-0.73498	-0.76313	585	0.06	45
	17.7	-0.73099	-0.76043	588	0.06	45
	17.8	-0.72649	-0.75654	592	0.06	45
	17.9	-0.72249	-0.75348	595	0.06	45
	18	-0.7185	-0.75096	598	0.06	45
	18.1	-0.7145	-0.7474	601	0.06	45
	18.2	-0.71101	-0.74502	604	0.06	45
	18.3	-0.70701	-0.742	608	0.06	45
	18.4	-0.70302	-0.73894	611	0.06	45
	18.5	-0.69949	-0.7367	614	0.06	45
	18.6	-0.69549	-0.7335	618	0.06	45
	18.7	-0.692	-0.73098	621	0.06	45
	18.8	-0.688	-0.72832	625	0.06	45
	18.9	-0.68451	-0.72594	628	0.06	45
	19	-0.68098	-0.72342	631	0.06	45
	19.1	-0.67699	-0.72072	635	0.06	45
	19.2	-0.6735	-0.71827	638	0.06	45
	19.3	-0.67	-0.71586	641	0.06	45
	19.4	-0.66651	-0.71392	645	0.06	45
	19.5	-0.66349	-0.71129	648	0.06	45
	19.6	-0.66	-0.70938	651	0.06	45
	19.7	-0.6565	-0.70668	655	0.06	45
	19.8	-0.65352	-0.70513	658	0.06	45
	19.9	-0.64999	-0.70204	661	0.06	45
	20	-0.647	-0.70042	664	0.06	45

