#       Energy  XtalBragg1  XtalBragg2  Xtal2Z
Units   keV     deg         deg         mm
        7       -1.8485     -1.8865     233
        7.5     -1.7255     -1.7645     249
        8       -1.6175     -1.6570     266
        8.5     -1.5225     -1.5615     282
        9       -1.4375     -1.4765     299
        9.5     -1.348      -1.3880     316
        10      -1.2935     -1.3335     332
        10.5    -1.2325     -1.2735     349
        11      -1.1765     -1.2165     365
        11.5    -1.1255     -1.1650     382
        12      -1.078      -1.115      399
        12.5    -1.035      -1.0725     415
        13      -0.995      -1.0280     432
        13.5    -0.9585     -0.9885     448
        14      -0.924      -0.9520     465
        14.5    -0.892      -0.9175     482
        15      -0.8625     -0.8860     498
        15.5    -0.8345     -0.8565     515
        16      -0.8085     -0.8400     532
        16.5    -0.784      -0.8220     548
        17      -0.761      -0.805      565
        17.5    -0.739      -0.7885     582
        18      -0.7185     -0.7735     598
        18.5    -0.6995     -0.7570     614
        19      -0.681      -0.7425     631
        19.5    -0.6635     -0.7305     648
        20      -0.647      -0.7195     664

