strip	i0_corr	it_corr	lnI0It	i0_dark	it_dark	i0_raw	it_raw
0	-3707.00	-4587.00	0.00000	1766259	1767831	1762552	1763244
1	-7083.00	-3829.00	0.00000	1816798	1819427	1809715	1815598
2	-618.00	-3237.00	0.00000	1884824	1886221	1884206	1882984
3	-4406.00	-8223.00	0.00000	1734038	1734973	1729632	1726750
4	-2406.00	-3790.00	0.00000	1631834	1631698	1629428	1627908
5	-4393.00	-1411.00	0.00000	1929093	1930110	1924700	1928699
6	-3273.00	-1959.00	0.00000	1611868	1611953	1608595	1609994
7	-340.00	1175.00	0.00000	1888733	1888644	1888393	1889819
8	-2474.00	1433.00	0.00000	1740330	1740278	1737856	1741711
9	-360.00	2658.00	0.00000	1930688	1930895	1930328	1933553
10	286.00	4821.00	-2.82474	1625638	1626379	1625924	1631200
11	-5981.00	754.00	0.00000	1891486	1891628	1885505	1892382
12	-1399.00	1841.00	0.00000	1702182	1702688	1700783	1704529
13	-2651.00	414.00	0.00000	1779910	1778789	1777259	1779203
14	-5691.00	-610.00	0.00000	1801013	1801945	1795322	1801335
15	399.00	7473.00	-2.93009	1759325	1758120	1759724	1765593
16	3983.00	5961.00	-0.40320	1692841	1693647	1696824	1699608
17	-880.00	1996.00	0.00000	1896207	1894882	1895327	1896878
18	438.00	4485.00	-2.32627	1635102	1634595	1635540	1639080
19	-1902.00	1397.00	0.00000	1778704	1779334	1776802	1780731
20	-6569.00	3145.00	0.00000	1686282	1686137	1679713	1689282
21	-4370.00	1675.00	0.00000	1736305	1735435	1731935	1737110
22	-651.00	3979.00	0.00000	1690393	1690404	1689742	1694383
23	24.00	3455.00	-4.96952	1785713	1784211	1785737	1787666
24	-913.00	2736.00	0.00000	1616571	1616744	1615658	1619480
25	-3158.00	3262.00	0.00000	1806165	1808717	1803007	1811979
26	506.00	2173.00	-1.45733	1726131	1725613	1726637	1727786
27	186.00	3259.00	-2.86343	1874540	1875713	1874726	1878972
28	-6017.00	5061.00	0.00000	1732769	1732264	1726752	1737325
29	-4599.00	1440.00	0.00000	1750560	1750534	1745961	1751974
30	3846.00	6132.00	-0.46649	1819132	1818672	1822978	1824804
31	155.00	1618.00	-2.34552	1863542	1864566	1863697	1866184
32	370.00	5603.00	-2.71755	1649655	1649264	1650025	1654867
33	768.00	2443.00	-1.15719	1827836	1829058	1828604	1831501
34	-1473.00	4641.00	0.00000	1685895	1684624	1684422	1689265
35	-6810.00	1702.00	0.00000	1732788	1734027	1725978	1735729
36	1323.00	2443.00	-0.61332	1753328	1754429	1754651	1756872
37	-2818.00	923.00	0.00000	1874007	1875403	1871189	1876326
38	-1537.00	4990.00	0.00000	1730845	1732747	1729308	1737737
39	1042.00	45.00	3.14223	1828082	1829478	1829124	1829523
40	2884.00	4215.00	-0.37947	1698516	1698434	1701400	1702649
41	-177.00	2893.00	0.00000	1852193	1853023	1852016	1855916
42	-578.00	4499.00	0.00000	1759629	1760549	1759051	1765048
43	-4996.00	713.00	0.00000	1724992	1724650	1719996	1725363
44	-756.00	3593.00	0.00000	1578600	1579461	1577844	1583054
