Source,Mode,MinEnergy,MaxEnergy,b,1st-order,2nd-order,3rd-order,4th-order,5th-order,6th-order,7th-order
idd,lh,231.50266,325.00000,13.02256252,0.03789791,0,0,0,0,0,0
idd,lh,325.00000,410.00000,15.073847,0.03168032,0,0,0,0,0,0
idd,lh,450.00000,500.00000,17.1120838,0.0266141,0,0,0,0,0,0
idd,lh,500.00000,600.00000,18.0359889,0.02485902,0,0,0,0,0,0
idd,lh,600.00000,700.00000,18.946411,0.0233195,0,0,0,0,0,0
idd,lh,700.00000,820.00000,19.2309878,0.02296267,0,0,0,0,0,0
idd,lh,820.00000,915.00000,18.8476189,0.02339853,0,0,0,0,0,0
idd,lh,915.00000,1050.00000,18.286,0.0239,0,0,0,0,0,0
idd,lh,915.00000,1050.00000,18.04823999,0.02423148,0,0,0,0,0,0
idd,lh,1050.00000,1220.00000,8.9076251,0.03261594,0,0,0,0,0,0
idd,lh,1295.00000,1430.00000,-46.1543877,0.07416048,0,0,0,0,0,0
idd,lh,1430.00000,1578.57980,17.7514739,0.00840392,0,0,0,0,0,0
idd,lv,483.28326,500.00000,11.0197952,0.01953697,0,0,0,0,0,0
idd,lv,500.00000,600.00000,11.4819971,0.01864219,0,0,0,0,0,0
idd,lv,600.00000,700.00000,12.0417084,0.0176856,0,0,0,0,0,0
idd,lv,700.00000,820.00000,12.0099896,0.01781198,0,0,0,0,0,0
idd,lv,820.00000,915.00000,11.7160683,0.01814283,0,0,0,0,0,0
idd,lv,915.00000,1050.00000,11.42918054,0.01841707,0,0,0,0,0,0
idd,lv,1050.00000,1220.00000,2.89323404,0.02633185,0,0,0,0,0,0
idd,lv,1285.00000,1430.00000,-43.83991,0.06151759,0,0,0,0,0,0
idd,lv,1430.00000,1590.06700,10.92236351,0.00650547,0,0,0,0,0,0
idd,pc,370.96167,716.00000,13.46832,0.02006,0,0,0,0,0,0
idd,pc,716.00000,1597.44670,13.46832,0.02006,0,0,0,0,0,0
idd,nc,370.92664,720.00000,13.52453,0.02006,0,0,0,0,0,0
idd,nc,720.00000,1594.53020,13.52453,0.02006,0,0,0,0,0,0
idd,la,612.16404,800.00000,8.91999355999999,0.05033309,0,0,0,0,0,0
idd,la,800.00000,1001.28641,10.97127804,0.0441155,0,0,0,0,0,0
idu,lh,250.11526,325.00000,13.02256252,0.03789791,0,0,0,0,0,0
idu,lh,325.00000,410.00000,15.073847,0.03168032,0,0,0,0,0,0
idu,lh,450.00000,500.00000,17.1120838,0.0266141,0,0,0,0,0,0
idu,lh,500.00000,600.00000,18.0359889,0.02485902,0,0,0,0,0,0
idu,lh,600.00000,700.00000,18.946411,0.0233195,0,0,0,0,0,0
idu,lh,700.00000,820.00000,19.2309878,0.02296267,0,0,0,0,0,0
idu,lh,820.00000,915.00000,18.8476189,0.02339853,0,0,0,0,0,0
idu,lh,915.00000,1050.00000,18.286,0.0239,0,0,0,0,0,0
idu,lh,915.00000,1050.00000,18.04823999,0.02423148,0,0,0,0,0,0
idu,lh,1050.00000,1220.00000,8.9076251,0.03261594,0,0,0,0,0,0
idu,lh,1295.00000,1430.00000,-46.1543877,0.07416048,0,0,0,0,0,0
idu,lh,1430.00000,1591.83557,17.7514739,0.00840392,0,0,0,0,0,0
idu,lv,520.90649,600.00000,11.4819971,0.01864219,0,0,0,0,0,0
idu,lv,600.00000,700.00000,12.0417084,0.0176856,0,0,0,0,0,0
idu,lv,700.00000,820.00000,12.0099896,0.01781198,0,0,0,0,0,0
idu,lv,820.00000,915.00000,11.7160683,0.01814283,0,0,0,0,0,0
idu,lv,915.00000,1050.00000,11.42918054,0.01841707,0,0,0,0,0,0
idu,lv,1050.00000,1220.00000,2.89323404,0.02633185,0,0,0,0,0,0
idu,lv,1285.00000,1430.00000,-43.83991,0.06151759,0,0,0,0,0,0
idu,lv,1430.00000,1599.24329,10.92236351,0.00650547,0,0,0,0,0,0
idu,pc,400.27347,716.00000,13.46832,0.02006,0,0,0,0,0,0
idu,pc,716.00000,1606.95959,13.46832,0.02006,0,0,0,0,0,0
idu,nc,400.32822,720.00000,13.52453,0.02006,0,0,0,0,0,0
idu,nc,720.00000,1603.02893,13.52453,0.02006,0,0,0,0,0,0
idu,la,651.44603,900.00000,-43.83991,0.06151759,0,0,0,0,0,0
idu,la,900.00000,1200.00000,10.92236351,0.00650547,0,0,0,0,0,0
idu,la,1200.00000,1582.11867,13.46832,0.02006,0,0,0,0,0,0
idu,lh3,761.23950,1000.00000,13.46832,0.02006,0,0,0,0,0,0
idu,lh3,1000.00000,1500.00000,13.52453,0.02006,0,0,0,0,0,0
idu,lh3,1500.00000,2121.24850,13.52453,0.02006,0,0,0,0,0,0
