Source,Mode,MinEnergy,MaxEnergy,b,1st-order,2nd-order,3rd-order,4th-order,5th-order,6th-order,7th-order
idu,pc,417.074,642.375,13.4178,0.00674729,-6.59277e-06,3.07574e-09,0,0,0,0
idu,pc,642.375,867.47,14.0956,0.00358485,-1.6166e-06,4.35895e-10,0,0,0,0
idu,pc,867.47,1092.98,14.7612,0.00171533,5.81696e-08,-2.83556e-11,0,0,0,0
idu,pc,1092.98,1318.99,14.5761,0.00269902,-1.2719e-06,5.06486e-10,0,0,0,0
idu,pc,1318.99,1544.5,9.35608,0.0148815,-1.07534e-05,2.96712e-09,0,0,0,0
idu,nc,427.038,652.47,-13.7229,-0.0050193,3.36051e-06,-1.07387e-09,0,0,0,0
idu,nc,652.47,877.721,-13.8815,-0.0044221,2.71118e-06,-9.11725e-10,0,0,0,0
idu,nc,877.721,1103.34,-14.4423,-0.00270382,9.59816e-07,-3.19244e-10,0,0,0,0
idu,nc,1103.34,1328.94,-11.4272,-0.0105879,7.84542e-06,-2.32782e-09,0,0,0,0
idu,nc,1328.94,1554.6,-3.57377,-0.0271476,1.94142e-05,-5.00221e-09,0,0,0,0
idd,pc,417.074,642.375,13.4178,0.00674729,-6.59277e-06,3.07574e-09,0,0,0,0
idd,pc,642.375,867.47,14.0956,0.00358485,-1.6166e-06,4.35895e-10,0,0,0,0
idd,pc,867.47,1092.98,14.7612,0.00171533,5.81696e-08,-2.83556e-11,0,0,0,0
idd,pc,1092.98,1318.99,14.5761,0.00269902,-1.2719e-06,5.06486e-10,0,0,0,0
idd,pc,1318.99,1544.5,9.35608,0.0148815,-1.07534e-05,2.96712e-09,0,0,0,0
idd,nc,427.038,652.47,-13.7229,-0.0050193,3.36051e-06,-1.07387e-09,0,0,0,0
idd,nc,652.47,877.721,-13.8815,-0.0044221,2.71118e-06,-9.11725e-10,0,0,0,0
idd,nc,877.721,1103.34,-14.4423,-0.00270382,9.59816e-07,-3.19244e-10,0,0,0,0
idd,nc,1103.34,1328.94,-11.4272,-0.0105879,7.84542e-06,-2.32782e-09,0,0,0,0
idd,nc,1328.94,1554.6,-3.57377,-0.0271476,1.94142e-05,-5.00221e-09,0,0,0,0
