energy,idgap,rowphase1,rowphase3
eV,mm,mm,mm
370.92664,16.00000,-15.27100,-15.27100
383.29880,16.25000,-15.30900,-15.30900
395.88049,16.50000,-15.34600,-15.34600
408.92014,16.75000,-15.38300,-15.38300
422.01825,17.00100,-15.41900,-15.41900
435.44208,17.25000,-15.45600,-15.45600
449.14865,17.50000,-15.49200,-15.49200
463.21649,17.75000,-15.52800,-15.52800
477.50391,18.00100,-15.56400,-15.56400
491.89905,18.25000,-15.60000,-15.60000
506.70966,18.50000,-15.63500,-15.63500
521.77185,18.75000,-15.67100,-15.67100
534.04327,19.00000,-15.70600,-15.70600
552.41156,19.24900,-15.74100,-15.74100
568.17493,19.50100,-15.77600,-15.77600
583.95087,19.75000,-15.81000,-15.81000
600.10614,20.00000,-15.84400,-15.84400
616.38330,20.25000,-15.87900,-15.87900
632.84943,20.50000,-15.91300,-15.91300
649.68427,20.75000,-15.94600,-15.94600
666.41833,21.00000,-15.98000,-15.98000
683.37091,21.25000,-16.01400,-16.01400
700.41760,21.50000,-16.04700,-16.04700
717.70013,21.75000,-16.08000,-16.08000
735.08740,22.00000,-16.11300,-16.11300
752.42480,22.25100,-16.14500,-16.14500
770.08173,22.49900,-16.17800,-16.17800
787.74005,22.75000,-16.21000,-16.21000
805.44373,23.00000,-16.24200,-16.24200
823.22546,23.25100,-16.27400,-16.27400
840.93762,23.49900,-16.30600,-16.30600
858.88641,23.74900,-16.33800,-16.33800
876.73303,24.00100,-16.36900,-16.36900
894.45087,24.25000,-16.40000,-16.40000
912.50018,24.50000,-16.43100,-16.43100
930.14032,24.75000,-16.46200,-16.46200
947.84534,25.00000,-16.49200,-16.49200
965.40302,25.24900,-16.52300,-16.52300
982.87000,25.50100,-16.55300,-16.55300
999.97992,25.75000,-16.58300,-16.58300
1017.16970,26.00000,-16.61300,-16.61300
1034.20000,26.25000,-16.64300,-16.64300
1051.35950,26.50000,-16.67200,-16.67200
1068.08800,26.75000,-16.70100,-16.70100
1084.51390,27.00000,-16.73000,-16.73000
1101.18860,27.25000,-16.75900,-16.75900
1117.25290,27.50000,-16.78800,-16.78800
1133.35830,27.75000,-16.81700,-16.81700
1149.25290,28.00000,-16.84500,-16.84500
1164.64320,28.25100,-16.87300,-16.87300
1180.15670,28.49900,-16.90100,-16.90100
1195.44710,28.75000,-16.92900,-16.92900
1210.35750,29.00000,-16.95600,-16.95600
1225.12560,29.25000,-16.98400,-16.98400
1239.58450,29.50000,-17.01100,-17.01100
1253.84910,29.75000,-17.03800,-17.03800
1267.71830,30.00000,-17.06500,-17.06500
1281.30880,30.24900,-17.09100,-17.09100
1295.18840,30.50100,-17.11800,-17.11800
1306.70010,30.75000,-17.14400,-17.14400
1319.52510,31.00000,-17.17000,-17.17000
1332.04370,31.25000,-17.19600,-17.19600
1344.51370,31.50000,-17.22200,-17.22200
1356.25180,31.75000,-17.24700,-17.24700
1368.13720,32.00000,-17.27300,-17.27300
1379.47220,32.25000,-17.29800,-17.29800
1390.68080,32.50000,-17.32300,-17.32300
1401.39390,32.75000,-17.34700,-17.34700
1412.02910,33.00000,-17.37200,-17.37200
1422.50590,33.25000,-17.39600,-17.39600
1432.44900,33.49900,-17.42100,-17.42100
1442.29300,33.75100,-17.44500,-17.44500
1452.63390,34.00100,-17.46900,-17.46900
1461.81030,34.25000,-17.49200,-17.49200
1470.79940,34.50000,-17.51500,-17.51500
1479.69800,34.75000,-17.53900,-17.53900
1488.34030,35.00000,-17.56200,-17.56200
1496.63870,35.24900,-17.58500,-17.58500
1504.66880,35.50100,-17.60700,-17.60700
1512.52370,35.75000,-17.63000,-17.63000
1519.99980,36.00000,-17.65200,-17.65200
1527.21440,36.25000,-17.67400,-17.67400
1534.42920,36.50000,-17.69600,-17.69600
1541.42820,36.75000,-17.71800,-17.71800
1548.07530,37.00000,-17.73900,-17.73900
1554.40670,37.25000,-17.76100,-17.76100
1560.74600,37.50000,-17.78200,-17.78200
1566.80800,37.75000,-17.80300,-17.80300
1572.72910,38.00000,-17.82300,-17.82300
1578.50240,38.25000,-17.84400,-17.84400
1584.02320,38.50000,-17.86400,-17.86400
1589.25810,38.75100,-17.88500,-17.88500
1594.53020,38.99900,-17.90500,-17.90500
