energy,idgap,rowphase1,rowphase3
eV,mm,mm,mm
370.96167,16.00000,15.27200,15.27200
383.29562,16.25100,15.30900,15.30900
395.80283,16.49800,15.34600,15.34600
408.99872,16.75100,15.38300,15.38300
422.09027,17.00000,15.41900,15.41900
435.51575,17.25000,15.45600,15.45600
449.28110,17.49900,15.49200,15.49200
463.29883,17.75100,15.52800,15.52800
477.47543,18.00000,15.56400,15.56400
492.01410,18.25000,15.60000,15.60000
506.77988,18.50100,15.63500,15.63500
521.70551,18.74900,15.67100,15.67100
534.19348,19.00000,15.70600,15.70600
552.53833,19.25000,15.74200,15.74200
568.25775,19.50000,15.77500,15.77500
584.09613,19.75000,15.81000,15.81000
600.23889,19.99900,15.84400,15.84400
616.67493,20.25100,15.87900,15.87900
633.04144,20.50000,15.91300,15.91300
649.85956,20.75000,15.94600,15.94600
666.57867,21.00000,15.98000,15.98000
683.54468,21.25000,16.01400,16.01400
700.72308,21.50000,16.04700,16.04700
717.99261,21.75000,16.08000,16.08000
735.40906,22.00000,16.11300,16.11300
752.70032,22.25100,16.14500,16.14500
770.49780,22.49900,16.17800,16.17800
788.07849,22.75000,16.21000,16.21000
805.80298,23.00000,16.24300,16.24300
823.60822,23.25000,16.27300,16.27300
841.45990,23.50000,16.30600,16.30600
859.30029,23.75000,16.33800,16.33800
877.14026,24.00000,16.36900,16.36900
894.86444,24.25000,16.40000,16.40000
912.58911,24.50000,16.43100,16.43100
930.22778,24.75000,16.46300,16.46300
947.90625,25.00000,16.49100,16.49100
965.53473,25.24900,16.52300,16.52300
982.94269,25.50200,16.55300,16.55300
1000.03550,25.74900,16.58300,16.58300
1017.39380,26.00000,16.61300,16.61300
1034.41590,26.24900,16.64300,16.64300
1051.45210,26.50100,16.67200,16.67200
1068.12480,26.75000,16.70100,16.70100
1084.73250,27.00000,16.73100,16.73100
1101.18960,27.24900,16.75800,16.75800
1117.52120,27.50100,16.78800,16.78800
1133.55460,27.75000,16.81700,16.81700
1149.37150,27.99900,16.84500,16.84500
1164.95630,28.25100,16.87300,16.87300
1180.43410,28.50000,16.90100,16.90100
1195.56300,28.75000,16.92900,16.92900
1210.44060,29.00000,16.95600,16.95600
1225.13220,29.24900,16.98300,16.98300
1239.66320,29.50100,17.01200,17.01200
1253.68810,29.75000,17.03800,17.03800
1267.65170,30.00000,17.06500,17.06500
1281.30030,30.25000,17.09100,17.09100
1294.94370,30.49900,17.11800,17.11800
1308.10270,30.75100,17.14400,17.14400
1320.93850,31.00000,17.17100,17.17100
1333.40140,31.25100,17.19500,17.19500
1345.96840,31.50000,17.22100,17.22100
1357.79830,31.74800,17.24800,17.24800
1369.65820,32.00200,17.27300,17.27300
1381.05030,32.24900,17.29800,17.29800
1392.40770,32.50000,17.32300,17.32300
1403.14790,32.75000,17.34700,17.34700
1413.88610,33.00000,17.37200,17.37200
1424.31250,33.25000,17.39600,17.39600
1434.10940,33.50000,17.42000,17.42000
1443.96530,33.75000,17.44500,17.44500
1454.73210,34.00000,17.46800,17.46800
1463.91480,34.25100,17.49200,17.49200
1473.05150,34.49900,17.51500,17.51500
1481.93800,34.75000,17.53900,17.53900
1490.70640,35.00000,17.56200,17.56200
1498.94650,35.24900,17.58500,17.58500
1507.05830,35.50000,17.60700,17.60700
1515.07760,35.74900,17.63000,17.63000
1522.68400,36.00000,17.65200,17.65200
1529.96620,36.25000,17.67400,17.67400
1536.94600,36.50100,17.69600,17.69600
1543.86720,36.75000,17.71800,17.71800
1550.77660,36.99900,17.73900,17.73900
1557.17690,37.25100,17.76100,17.76100
1563.52260,37.49900,17.78300,17.78300
1569.86330,37.75100,17.80200,17.80200
1575.69410,38.00000,17.82300,17.82300
1581.45470,38.24900,17.84400,17.84400
1586.99100,38.50000,17.86400,17.86400
1592.03500,38.75000,17.88500,17.88500
1597.44670,38.99900,17.90600,17.90600
