energy,idgap
eV,mm
246.93552,16.33500
257.01852,16.69100
266.99045,17.03400
277.15585,17.38200
289.86020,17.75600
297.11435,17.99300
307.36182,18.30100
317.44131,18.60600
327.73575,18.90000
337.73703,19.18400
347.87866,19.46100
357.95911,19.73200
368.14374,20.00100
377.99823,20.25800
388.20499,20.51600
397.78671,20.76500
408.20026,21.00900
418.13416,21.25000
428.09351,21.48700
438.16977,21.72300
448.17892,21.95400
458.21597,22.18000
468.10800,22.40200
478.12354,22.62200
488.22726,22.84100
498.18863,23.05700
508.04572,23.26600
517.88995,23.47300
527.91357,23.68300
538.56274,23.90100
547.88721,24.08400
557.72229,24.28700
567.55438,24.48600
577.57935,24.68000
587.57727,24.87800
597.66077,25.07100
607.34491,25.25900
617.37524,25.45000
627.25366,25.63800
637.05493,25.82400
647.22089,26.01000
657.07886,26.19400
666.93256,26.37700
676.77887,26.55700
686.66553,26.74000
696.63177,26.92100
706.39081,27.09900
716.47241,27.28000
726.33118,27.45600
736.31097,27.63400
746.18195,27.81000
755.92572,27.98400
765.86926,28.16200
775.79224,28.33000
785.71094,28.50900
795.59052,28.67900
805.50604,28.85500
815.46283,29.02700
825.40955,29.19900
835.15076,29.36900
845.12927,29.54300
855.06757,29.71300
865.05963,29.88600
874.75085,30.05600
884.78906,30.23000
894.75281,30.40200
904.89526,30.57400
914.87634,30.74700
924.61877,30.91500
934.71234,31.09000
944.57892,31.26300
954.56488,31.43700
964.44360,31.61000
974.16193,31.78000
984.13983,31.95400
994.16095,32.13000
1003.96466,32.30500
1013.85986,32.47900
1023.94049,32.65800
1033.85107,32.83200
1043.81995,33.01200
1053.64648,33.18800
1063.71802,33.36800
1073.34814,33.55000
1083.53650,33.73200
1093.53076,33.91200
1103.50317,34.09400
1113.54688,34.28200
1123.07251,34.46400
1133.08984,34.65000
1143.11780,34.83900
1153.42944,35.03300
1163.08948,35.22200
1172.70825,35.41300
1182.49463,35.60500
1192.41052,35.80000
1202.64539,36.00000
1212.23804,36.20000
1222.19299,36.39900
1232.02405,36.60400
1242.10803,36.81500
1251.92139,37.02400
1261.78735,37.23400
1271.71484,37.45100
1281.39331,37.66700
1291.40161,37.88600
1301.44019,38.11200
1311.64050,38.33800
1321.11841,38.56800
1331.33997,38.80100
1341.02698,39.04100
1350.88708,39.28200
1360.97986,39.53000
1370.48413,39.78000
1380.73657,40.03500
1390.47815,40.29500
1400.50769,40.56200
1410.13220,40.83000
1419.96936,41.11000
1429.99817,41.39900
1439.87329,41.69000
1448.89465,41.99100
1459.13489,42.29200
1469.07349,42.61200
1479.24414,42.93900
1489.49548,43.27900
1499.01807,43.62600
1508.65161,43.98600
1518.90918,44.36000
1529.01270,44.75600
1538.97925,45.16400
1548.43408,45.58400
1558.45081,46.02500
1568.45911,46.48600
