energy,idgap
eV,mm
483.28326,16.00000
499.28781,16.25000
515.66260,16.50000
531.64600,16.75000
549.39014,17.00000
566.08698,17.25000
583.37457,17.50000
600.86365,17.75000
618.60535,18.00000
636.36230,18.25000
654.56323,18.50000
672.80804,18.75000
691.04297,19.00100
709.71027,19.25200
728.25189,19.49900
747.02570,19.74900
765.80408,19.99900
784.92316,20.25000
803.86920,20.50000
822.91125,20.74900
842.09045,21.00200
861.02881,21.24900
880.05505,21.50000
899.15808,21.75000
917.86700,22.00000
936.94855,22.25000
955.57953,22.49900
974.14838,22.75100
992.47980,23.00100
1010.49980,23.25000
1028.81880,23.49900
1046.77470,23.75000
1064.63890,24.00000
1082.20090,24.24900
1099.76730,24.50100
1116.80210,24.75000
1133.67240,25.00000
1150.22530,25.24900
1166.73650,25.50100
1182.82090,25.74900
1198.64860,26.00200
1214.21580,26.24900
1229.52030,26.50000
1244.61460,26.75000
1259.46040,27.00100
1273.83900,27.24900
1288.23510,27.50100
1301.87460,27.74900
1315.52950,27.99900
1328.60790,28.25100
1341.41710,28.50000
1354.10730,28.75000
1366.48350,29.00000
1378.41850,29.25000
1390.01480,29.50000
1401.48900,29.75000
1412.42500,30.00000
1423.26900,30.25000
1433.90610,30.50000
1444.14510,30.75000
1453.97400,31.00100
1463.61880,31.24900
1473.12890,31.50100
1482.12490,31.74900
1491.24050,32.00000
1499.80370,32.25100
1508.06230,32.49900
1516.11620,32.75000
1523.85120,33.00000
1531.90210,33.25000
1539.06650,33.50000
1546.07400,33.75000
1553.11930,34.00000
1559.63880,34.25000
1566.22500,34.50000
1572.30820,34.75000
1578.55800,35.00100
1584.26120,35.24900
1590.06700,35.50000
