energy,idgap,rowphase1,rowphase3
eV,mm,mm,mm
415.27652,16.23280,-15.30600,-15.30600
425.18747,16.41885,-15.33400,-15.33400
435.23389,16.60610,-15.36200,-15.36200
445.27649,16.79020,-15.38800,-15.38800
455.24176,16.97140,-15.41500,-15.41500
465.25900,17.15065,-15.44000,-15.44000
475.18005,17.32610,-15.46700,-15.46700
485.29230,17.50140,-15.49200,-15.49200
495.24042,17.67255,-15.51700,-15.51700
505.19525,17.84245,-15.54200,-15.54200
515.19141,18.00955,-15.56600,-15.56600
525.10925,18.17465,-15.59000,-15.59000
536.94330,18.37205,-15.61700,-15.61700
544.87335,18.49920,-15.63500,-15.63500
555.23651,18.66450,-15.65900,-15.65900
565.03302,18.82195,-15.68100,-15.68100
575.03882,18.97905,-15.70300,-15.70300
585.02130,19.13825,-15.72600,-15.72600
595.12964,19.29465,-15.74800,-15.74800
605.13043,19.44970,-15.76900,-15.76900
615.13483,19.60370,-15.79000,-15.79000
625.11658,19.75525,-15.81100,-15.81100
635.07526,19.90845,-15.83100,-15.83100
645.00952,20.05610,-15.85100,-15.85100
654.96625,20.20595,-15.87300,-15.87300
664.95312,20.35400,-15.89200,-15.89200
674.94623,20.50235,-15.91300,-15.91300
684.87555,20.64835,-15.93300,-15.93300
694.92065,20.79585,-15.95200,-15.95200
704.87970,20.94050,-15.97200,-15.97200
714.96429,21.08745,-15.99200,-15.99200
725.06396,21.23250,-16.01100,-16.01100
735.04675,21.37820,-16.03100,-16.03100
745.05530,21.52230,-16.04900,-16.04900
754.97345,21.66520,-16.06800,-16.06800
764.94006,21.80685,-16.08700,-16.08700
775.04559,21.94780,-16.10500,-16.10500
784.97174,22.08990,-16.12400,-16.12400
795.10034,22.23350,-16.14300,-16.14300
805.06384,22.37395,-16.16200,-16.16200
815.12506,22.51630,-16.18100,-16.18100
825.05078,22.65735,-16.19800,-16.19800
835.08392,22.79620,-16.21600,-16.21600
845.06000,22.93845,-16.23300,-16.23300
855.13135,23.08030,-16.25100,-16.25100
865.20099,23.22090,-16.26900,-16.26900
875.03430,23.35885,-16.28800,-16.28800
885.27625,23.50065,-16.30700,-16.30700
895.23584,23.64205,-16.32500,-16.32500
905.18219,23.78185,-16.34200,-16.34200
915.31567,23.92215,-16.36000,-16.36000
925.30011,24.06350,-16.37600,-16.37600
935.11896,24.20375,-16.39400,-16.39400
945.22919,24.34530,-16.41200,-16.41200
955.37225,24.48855,-16.43000,-16.43000
965.31079,24.63035,-16.44700,-16.44700
975.33826,24.77265,-16.46400,-16.46400
985.48016,24.91665,-16.48200,-16.48200
995.45209,25.05925,-16.50000,-16.50000
1005.39813,25.20285,-16.51700,-16.51700
1015.38892,25.34695,-16.53500,-16.53500
1025.49268,25.49190,-16.55200,-16.55200
1035.52075,25.63755,-16.56900,-16.56900
1045.57410,25.78245,-16.58700,-16.58700
1055.57739,25.92850,-16.60400,-16.60400
1065.44617,26.07470,-16.62200,-16.62200
1075.60034,26.22400,-16.64000,-16.64000
1085.66357,26.37160,-16.65800,-16.65800
1095.79919,26.52325,-16.67500,-16.67500
1105.71582,26.67445,-16.69200,-16.69200
1115.74402,26.82390,-16.71000,-16.71000
1125.90662,26.97705,-16.72800,-16.72800
1135.82068,27.12895,-16.74600,-16.74600
1145.84729,27.28600,-16.76300,-16.76300
1156.20300,27.44370,-16.78100,-16.78100
1165.94434,27.59935,-16.80000,-16.80000
1175.90479,27.75840,-16.81800,-16.81800
1185.73743,27.91530,-16.83500,-16.83500
1195.69836,28.07515,-16.85300,-16.85300
1205.90295,28.24090,-16.87200,-16.87200
1215.68518,28.40520,-16.89100,-16.89100
1225.80249,28.57220,-16.90900,-16.90900
1235.58679,28.73695,-16.92600,-16.92600
1245.89551,28.90990,-16.94500,-16.94500
1255.75977,29.08210,-16.96400,-16.96400
1265.74158,29.25345,-16.98400,-16.98400
1275.94678,29.42870,-17.00300,-17.00300
1285.88318,29.60890,-17.02300,-17.02300
1295.74536,29.78730,-17.04300,-17.04300
1305.93872,29.97180,-17.06300,-17.06300
1315.96436,30.15825,-17.08200,-17.08200
1325.86328,30.34890,-17.10200,-17.10200
1335.94983,30.53955,-17.12200,-17.12200
1346.09143,30.73765,-17.14300,-17.14300
1356.05859,30.93690,-17.16400,-17.16400
1366.34692,31.14045,-17.18500,-17.18500
1375.90918,31.34070,-17.20600,-17.20600
1386.09338,31.55040,-17.22700,-17.22700
1396.70642,31.77235,-17.25000,-17.25000
1406.54785,31.99175,-17.27200,-17.27200
1416.51050,32.21260,-17.29400,-17.29400
1426.69824,32.44635,-17.31700,-17.31700
1436.64124,32.67900,-17.33900,-17.33900
1446.95605,32.92120,-17.36500,-17.36500
1456.96008,33.16770,-17.38800,-17.38800
1466.95569,33.41575,-17.41300,-17.41300
1476.83350,33.67860,-17.43800,-17.43800
1487.11804,33.95080,-17.46300,-17.46300
1497.03455,34.22600,-17.48900,-17.48900
1507.12842,34.50765,-17.51600,-17.51600
1517.30286,34.80095,-17.54300,-17.54300
1527.34045,35.10820,-17.57300,-17.57300
1537.72327,35.43080,-17.60100,-17.60100
1547.44141,35.75540,-17.63100,-17.63100
1557.87170,36.09855,-17.66100,-17.66100
