energy,idgap,rowphase1,rowphase3
eV,mm,mm,mm
417.07361,16.25370,15.31000,15.31000
426.98828,16.44315,15.33400,15.33400
436.94223,16.62875,15.36400,15.36400
446.95935,16.81175,15.39100,15.39100
457.00522,16.99305,15.41800,15.41800
466.93036,17.17135,15.44400,15.44400
476.86697,17.34640,15.47100,15.47100
486.85245,17.52075,15.49400,15.49400
496.93951,17.69325,15.52000,15.52000
506.85687,17.86190,15.54500,15.54500
516.83856,18.03135,15.56700,15.56700
526.82886,18.19590,15.59300,15.59300
536.79999,18.37275,15.62000,15.62000
546.73315,18.51865,15.63700,15.63700
556.56036,18.68485,15.66000,15.66000
566.57751,18.84205,15.68300,15.68300
576.60748,19.00015,15.70600,15.70600
586.55756,19.15810,15.72800,15.72800
596.64539,19.31410,15.75000,15.75000
606.54956,19.46875,15.77200,15.77200
616.53253,19.62220,15.79200,15.79200
626.38892,19.77315,15.81300,15.81300
636.45642,19.92515,15.83500,15.83500
646.32104,20.07275,15.85600,15.85600
656.27905,20.22255,15.87500,15.87500
666.23584,20.37145,15.89500,15.89500
676.24023,20.51960,15.91400,15.91400
686.23004,20.66705,15.93400,15.93400
696.12170,20.81135,15.95400,15.95400
706.07880,20.95710,15.97500,15.97500
716.11639,21.10200,15.99400,15.99400
725.96198,21.24430,16.01400,16.01400
736.09399,21.38980,16.03200,16.03200
746.02405,21.53260,16.05200,16.05200
755.92169,21.67460,16.07100,16.07100
765.81018,21.81600,16.08900,16.08900
775.99414,21.95770,16.10800,16.10800
785.79077,22.09780,16.12600,16.12600
795.81470,22.23945,16.14300,16.14300
805.63458,22.37955,16.16100,16.16100
815.58765,22.52015,16.18000,16.18000
825.58771,22.65915,16.19900,16.19900
835.56244,22.79970,16.21700,16.21700
845.60938,22.94140,16.23400,16.23400
855.63647,23.08060,16.25300,16.25300
865.45105,23.21920,16.27000,16.27000
875.54382,23.35940,16.28900,16.28900
885.46173,23.49910,16.30700,16.30700
895.41150,23.63950,16.32300,16.32300
905.48810,23.77810,16.34200,16.34200
915.27814,23.91640,16.35800,16.35800
925.20978,24.05730,16.37600,16.37600
935.45795,24.19965,16.39300,16.39300
945.33606,24.33945,16.41000,16.41000
955.35828,24.48050,16.42800,16.42800
965.34888,24.62045,16.44700,16.44700
975.25793,24.76320,16.46200,16.46200
985.30902,24.90525,16.48000,16.48000
995.19147,25.04635,16.49800,16.49800
1005.13135,25.18825,16.51600,16.51600
1015.25165,25.33250,16.53300,16.53300
1025.14124,25.47390,16.55200,16.55200
1035.12708,25.62010,16.56700,16.56700
1045.14355,25.76440,16.58500,16.58500
1055.08459,25.90910,16.60300,16.60300
1065.16248,26.05610,16.61900,16.61900
1075.03210,26.20320,16.63700,16.63700
1084.95520,26.34880,16.65500,16.65500
1094.98328,26.49760,16.67100,16.67100
1105.14880,26.64780,16.68900,16.68900
1115.18530,26.80000,16.70600,16.70600
1124.99060,26.95005,16.72400,16.72400
1135.05676,27.10345,16.74100,16.74100
1145.12561,27.25760,16.75900,16.75900
1155.08447,27.41065,16.77800,16.77800
1165.06116,27.56690,16.79500,16.79500
1175.02612,27.72545,16.81400,16.81400
1184.96021,27.88485,16.83100,16.83100
1195.01782,28.04420,16.85000,16.85000
1205.06421,28.20575,16.86800,16.86800
1215.19092,28.37090,16.88700,16.88700
1225.06140,28.53665,16.90500,16.90500
1235.06311,28.70275,16.92400,16.92400
1245.04590,28.87140,16.94100,16.94100
1255.14917,29.04405,16.96100,16.96100
1265.07336,29.21745,16.98000,16.98000
1274.81995,29.38965,17.00000,17.00000
1285.03296,29.56775,17.01900,17.01900
1294.78699,29.74785,17.03800,17.03800
1304.76819,29.93035,17.05700,17.05700
1315.01721,30.11665,17.07800,17.07800
1324.95789,30.30625,17.09800,17.09800
1334.83032,30.49725,17.11700,17.11700
1345.04492,30.69375,17.13700,17.13700
1354.70557,30.88955,17.15700,17.15700
1364.71570,31.08960,17.17900,17.17900
1374.53064,31.29415,17.20000,17.20000
1384.59619,31.50470,17.22200,17.22200
1394.56738,31.71320,17.24400,17.24400
1404.47937,31.93345,17.26600,17.26600
1414.63977,32.15570,17.28900,17.28900
1424.85767,32.38735,17.31100,17.31100
1434.86572,32.62335,17.33400,17.33400
1444.64185,32.85515,17.35900,17.35900
1454.41553,33.09980,17.38300,17.38300
1464.41748,33.34780,17.40600,17.40600
1474.47107,33.60970,17.43100,17.43100
1484.52209,33.87565,17.45700,17.45700
1494.68396,34.15115,17.48300,17.48300
1504.31897,34.43060,17.50900,17.50900
1514.61328,34.72585,17.53600,17.53600
1524.70007,35.02905,17.56400,17.56400
1534.75854,35.33920,17.59200,17.59200
1544.49829,35.66500,17.62200,17.62200
