energy,jawphase
eV,mm
397.82000,0.00000
411.34448,1.69500
420.31918,2.11800
431.56863,2.53600
441.02606,2.83300
451.83008,3.13000
461.46017,3.36800
472.00555,3.60600
481.72791,3.80500
492.12875,4.00600
501.83054,4.17700
512.21277,4.35000
522.68500,4.51500
531.57159,4.67800
542.45105,4.80200
551.81573,4.93000
561.64050,5.06000
572.65350,5.19400
582.23834,5.31000
592.53699,5.42900
602.37177,5.53900
612.69501,5.64700
622.67175,5.74900
632.81458,5.85200
642.65863,5.94400
652.80133,6.03800
662.55640,6.12900
672.81152,6.21700
682.83398,6.30300
693.08582,6.38900
703.06580,6.47100
713.15021,6.55000
723.08887,6.62700
733.35645,6.70500
743.25800,6.77700
753.43781,6.85100
763.20618,6.92000
773.72552,6.98800
783.19543,7.05500
793.42035,7.12200
803.49060,7.18700
813.54333,7.25100
823.60516,7.31300
833.85962,7.37700
843.84912,7.43500
853.77356,7.49500
863.95129,7.55400
874.18762,7.61300
884.01007,7.66700
893.78937,7.72300
903.82996,7.77600
913.90063,7.83200
923.82324,7.88300
934.09772,7.93700
943.94855,7.98900
954.16370,8.04000
964.11206,8.09000
974.00061,8.13800
984.17969,8.18800
994.13098,8.23600
1004.32200,8.28500
1014.38470,8.33200
1024.68460,8.38000
1034.67640,8.42700
1044.79640,8.47300
1055.01270,8.51800
1065.28340,8.56400
1074.89440,8.60700
1084.78740,8.65000
1094.79500,8.69400
1104.92310,8.73900
1114.55980,8.77900
1124.88120,8.82400
1134.49330,8.86400
1144.90660,8.90800
1154.63770,8.94900
1164.60520,8.99100
1174.55830,9.03200
1184.72240,9.07300
1194.73880,9.11400
1204.61940,9.15400
1214.93380,9.19500
1224.99830,9.23600
1235.25620,9.27700
1245.13880,9.31600
1254.86320,9.35500
1264.88200,9.39500
1274.97670,9.43300
1285.06150,9.47300
1295.16630,9.51400
1305.38700,9.55400
1315.06580,9.59100
1325.07030,9.63000
1335.49350,9.67000
1345.16150,9.71000
1355.16660,9.74700
1364.98130,9.78600
1375.37380,9.82800
1385.23010,9.86600
1395.24230,9.90500
1404.66320,9.94200
1415.26140,9.98300
1425.41490,10.02200
1435.14710,10.06300
1444.75930,10.10000
1454.71010,10.14100
1464.54420,10.18100
1474.81590,10.22100
1484.46110,10.26100
1494.69230,10.30200
1504.99780,10.34500
1514.79270,10.38800
1524.92260,10.43100
1534.72710,10.47200
1544.10640,10.51300
1554.50700,10.55700
1564.29640,10.60100
1574.30300,10.64800
