energy,IDgap,rowphase1,rowphase3
eV,mm,mm,mm
400.75821,16.00000,15.27200,15.27200
413.96207,16.25000,15.30900,15.30900
427.27957,16.49900,15.34600,15.34600
440.84143,16.75100,15.38300,15.38300
454.64243,17.00000,15.41900,15.41900
468.75922,17.25000,15.45600,15.45600
483.12015,17.50000,15.49200,15.49200
497.76065,17.75000,15.52800,15.52800
512.59418,17.99900,15.56400,15.56400
527.89960,18.25100,15.60000,15.60000
543.05060,18.50000,15.63500,15.63500
558.61646,18.75000,15.67100,15.67100
574.57684,19.00000,15.70600,15.70600
590.52216,19.25000,15.74100,15.74100
606.68573,19.50000,15.77600,15.77600
623.08649,19.75000,15.81000,15.81000
639.60406,20.00000,15.84400,15.84400
656.57440,20.25000,15.87900,15.87900
673.42157,20.50000,15.91300,15.91300
690.42212,20.75000,15.94600,15.94600
707.62170,20.99900,15.98000,15.98000
725.10400,21.25100,16.01400,16.01400
742.36652,21.50000,16.04700,16.04700
759.88068,21.75000,16.08000,16.08000
777.69177,21.99900,16.11300,16.11300
795.35870,22.25100,16.14500,16.14500
813.07343,22.50000,16.17800,16.17800
830.93555,22.75000,16.21000,16.21000
848.76367,23.00000,16.24200,16.24200
866.56726,23.25000,16.27400,16.27400
884.52551,23.50000,16.30600,16.30600
902.40955,23.75000,16.33800,16.33800
920.04041,24.00000,16.36900,16.36900
937.93176,24.25000,16.40000,16.40000
955.57037,24.50000,16.43100,16.43100
973.20496,24.75100,16.46200,16.46200
990.63745,25.00000,16.49200,16.49200
1007.99670,25.25000,16.52300,16.52300
1025.29090,25.50000,16.55300,16.55300
1042.54750,25.75000,16.58300,16.58300
1059.61650,26.00000,16.61300,16.61300
1076.51220,26.25000,16.64300,16.64300
1093.18070,26.50000,16.67200,16.67200
1109.85030,26.75000,16.70100,16.70100
1126.36400,27.00000,16.73000,16.73000
1142.49060,27.25000,16.75900,16.75900
1158.66000,27.50000,16.78800,16.78800
1174.31090,27.75000,16.81700,16.81700
1189.83790,28.00000,16.84500,16.84500
1205.24830,28.25000,16.87300,16.87300
1220.40560,28.50000,16.90100,16.90100
1235.09620,28.75000,16.92900,16.92900
1249.63550,29.00000,16.95600,16.95600
1263.90200,29.25000,16.98400,16.98400
1277.96860,29.50000,17.01100,17.01100
1291.67180,29.75000,17.03800,17.03800
1305.39940,29.99900,17.06500,17.06500
1318.74540,30.25100,17.09100,17.09100
1331.62280,30.50000,17.11800,17.11800
1344.23790,30.75000,17.14400,17.14400
1356.69270,31.00000,17.17000,17.17000
1368.93200,31.25000,17.19600,17.19600
1380.74620,31.49900,17.22200,17.22200
1392.54680,31.75100,17.24700,17.24700
1403.78600,32.00000,17.27300,17.27300
1414.86350,32.25000,17.29800,17.29800
1425.60120,32.50000,17.32300,17.32300
1436.14380,32.75000,17.34700,17.34700
1446.39690,33.00000,17.37200,17.37200
1456.30820,33.25000,17.39600,17.39600
1466.06510,33.50000,17.42100,17.42100
1475.55770,33.75000,17.44500,17.44500
1484.65360,34.00000,17.46800,17.46800
1493.76570,34.25000,17.49200,17.49200
1502.39030,34.50000,17.51500,17.51500
1510.85750,34.75000,17.53900,17.53900
1519.19320,35.00000,17.56200,17.56200
1527.01440,35.24900,17.58500,17.58500
1534.77710,35.50100,17.60700,17.60700
1542.41250,35.75000,17.63000,17.63000
1549.59990,36.00000,17.65200,17.65200
1556.81340,36.25000,17.67400,17.67400
1563.40080,36.50000,17.69600,17.69600
1570.42220,36.75000,17.71800,17.71800
1576.69890,37.00000,17.73900,17.73900
1582.91820,37.25000,17.76100,17.76100
1589.09690,37.50000,17.78200,17.78200
1594.81740,37.75000,17.80300,17.80300
1600.43080,38.00000,17.82300,17.82300
1606.10580,38.25000,17.84400,17.84400
1611.29370,38.50000,17.86400,17.86400
1616.44340,38.75000,17.88500,17.88500
1621.33610,39.00000,17.90500,17.90500
