energy,idgap
eV,mm
768.16528,16.04530
778.30609,16.16135
788.30511,16.27660
798.19623,16.38895
808.32324,16.50225
818.25433,16.61285
828.20026,16.72255
838.35602,16.83200
848.39398,16.94130
858.18445,17.04685
868.29315,17.15320
878.18646,17.25715
888.18408,17.36215
898.24158,17.46520
908.13287,17.56660
918.32678,17.66930
928.35681,17.76845
938.22589,17.86780
948.25507,17.96710
958.16791,18.06425
968.28851,18.16265
978.34216,18.25920
988.38074,18.35550
998.30334,18.44880
1008.47205,18.54375
1018.31647,18.63725
1028.41748,18.72935
1038.40735,18.82195
1048.41980,18.91240
1058.43811,19.00290
1068.40930,19.09295
1078.51770,19.18180
1088.52429,19.27090
1098.60364,19.36000
1108.48962,19.44740
1118.57764,19.53365
1128.58459,19.62100
1138.47729,19.70585
1148.59119,19.79035
1158.59521,19.87570
1168.63367,19.96070
1178.52161,20.04315
1188.52234,20.12675
1198.83167,20.21005
1208.73962,20.29235
1218.62195,20.37370
1228.55286,20.45515
1238.67664,20.53500
1248.64929,20.61625
1258.72400,20.69585
1268.80518,20.77585
1278.75769,20.85420
1288.75793,20.93360
1298.80127,21.01150
1308.92993,21.08905
1318.84619,21.16700
1328.71667,21.24295
1338.84839,21.31990
1348.97253,21.39745
1358.91284,21.47330
1369.12952,21.54790
1379.13342,21.62410
1389.30835,21.69850
1399.29138,21.77390
1409.26819,21.84845
1419.42651,21.92140
1429.14038,21.99390
1439.35779,22.06855
1449.51990,22.14225
1459.43762,22.21400
1469.61902,22.28625
1479.41614,22.35795
1489.38770,22.42885
1499.44263,22.50105
1509.82642,22.57205
1519.73181,22.64325
1529.89575,22.71485
1539.71558,22.78450
1549.90979,22.85520
1559.95239,22.92495
1569.98132,22.99425
1579.92468,23.06270
1589.94824,23.13235
1600.02197,23.20050
1610.00720,23.26900
1619.91785,23.33695
1630.20862,23.40605
1639.91492,23.47300
1649.79883,23.54070
1660.11829,23.60900
1670.16284,23.67635
1679.95459,23.74295
1690.20593,23.80895
1700.04175,23.87575
1709.94556,23.94090
1720.09497,24.00850
1730.16064,24.07335
1739.86816,24.13905
1750.01404,24.20500
1759.85608,24.26855
1769.73572,24.33575
1780.26538,24.40040
1789.78613,24.46420
1799.80310,24.52785
1809.55457,24.59230
1819.57910,24.65625
1829.98181,24.72055
1841.40015,24.79655
1850.13440,24.85070
1859.62439,24.91100
1869.49915,24.97250
1879.73132,25.03835
1889.35010,25.10155
1899.56104,25.16315
1909.33472,25.22540
1919.32117,25.28890
1929.55408,25.35060
1939.08521,25.41225
1948.91992,25.47405
1959.17957,25.53645
1968.87866,25.59875
1978.67249,25.65905
1988.70129,25.72195
1998.75940,25.78395
2008.70081,25.84375
2018.10938,25.90485
2028.34534,25.96770
2038.15015,26.02745
2047.67676,26.08865
2057.20776,26.14965
2067.92114,26.21190
2077.00562,26.27230
2085.98486,26.33160
