energy,idgap
eV,mm
264.83688,16.43370
275.33914,16.78945
285.53391,17.12645
294.67407,17.39385
304.92880,17.70050
314.81671,18.00155
324.66055,18.29145
334.70853,18.57335
344.59161,18.85010
354.51483,19.12105
364.48587,19.38540
374.45578,19.64540
384.36057,19.89940
394.33926,20.15090
404.14417,20.39800
414.32004,20.63750
424.34634,20.87710
434.33194,21.11160
444.31201,21.34210
454.24033,21.56760
464.27100,21.79230
474.29520,22.01375
484.29248,22.23235
494.31570,22.44745
504.36932,22.65995
514.38977,22.87000
524.49646,23.07870
532.93610,23.28565
544.72729,23.48595
554.32239,23.68480
564.69092,23.88720
574.77747,24.08355
584.67242,24.27915
594.70679,24.47360
604.70813,24.66495
614.70886,24.85615
624.79840,25.04585
634.76044,25.23395
644.88098,25.41955
654.75287,25.60340
664.83820,25.78830
674.89764,25.97100
684.92316,26.15240
694.85632,26.33355
704.87689,26.51350
715.00317,26.69290
725.01746,26.87090
734.96674,27.04920
745.11163,27.22650
754.97565,27.40320
765.12292,27.57820
775.15833,27.75175
785.13110,27.92745
795.03900,28.10075
805.05487,28.27420
815.08954,28.44805
824.95038,28.61950
835.13837,28.79240
845.08716,28.96450
854.94946,29.13610
865.03857,29.30905
875.14783,29.48175
885.09363,29.65345
895.02356,29.82415
904.99445,29.99555
914.94958,30.16680
925.15051,30.34055
935.20056,30.51380
945.26807,30.68710
955.17810,30.85955
965.02930,31.03150
975.03662,31.20595
985.09900,31.38020
995.15234,31.55520
1005.12500,31.73010
1015.14081,31.90630
1025.08301,32.08100
1035.26392,32.25920
1045.19128,32.43690
1055.26135,32.61430
1065.27856,32.79285
1075.23364,32.97340
1085.13367,33.15130
1095.01294,33.33210
1105.06177,33.51625
1115.44861,33.70325
1125.38831,33.88735
1135.40088,34.07375
1145.46362,34.26040
1155.30676,34.44805
1165.39941,34.64020
1175.63159,34.83510
1185.68787,35.02835
1195.83398,35.22200
1205.44836,35.41730
1215.63892,35.61955
1225.75293,35.81995
1235.91504,36.02320
1245.80774,36.22720
1255.92798,36.43660
1266.00574,36.64900
1275.84766,36.85835
1285.77490,37.07475
1295.91687,37.29475
1305.91565,37.51410
1316.01538,37.74210
1325.77283,37.96955
1335.87476,38.19500
1345.78174,38.43350
1355.93457,38.67540
1365.76111,38.91225
1375.93604,39.16315
1386.01978,39.41490
1396.03271,39.67430
1405.99048,39.93665
1415.84973,40.19945
1425.90051,40.47665
1435.53406,40.75145
1445.79370,41.04520
1455.82825,41.34170
1465.99109,41.63955
1476.15991,41.95515
1485.85425,42.26850
1496.00574,42.60260
1505.83203,42.93600
1515.90674,43.29355
1525.86487,43.64890
1535.67444,44.02550
1545.60437,44.41325
1555.66248,44.82600
1565.39368,45.23880
