energy,jawphase
eV,mm
249.23473,0.10000
249.98839,0.60200
252.60652,1.10300
257.04877,1.60500
263.51321,2.10700
272.14313,2.60800
278.42389,2.98700
283.05093,3.09600
285.28091,3.20800
288.74207,3.31900
291.79407,3.43000
295.02625,3.54200
298.37567,3.65200
301.95270,3.76300
305.75403,3.87400
309.58655,3.98600
313.58170,4.09500
317.82379,4.20700
322.25058,4.31900
326.94067,4.43100
331.76926,4.54200
336.77161,4.65100
342.10825,4.76400
347.58945,4.87300
353.37253,4.98400
359.43295,5.09700
365.67081,5.20600
372.26062,5.31900
379.05386,5.42900
386.26343,5.54200
393.66022,5.65200
401.41116,5.76200
409.67047,5.87300
415.08215,5.94500
430.85513,6.14700
450.93939,6.37500
470.89725,6.58500
490.96283,6.78000
510.99609,6.96000
531.00769,7.12900
551.08002,7.28200
571.05389,7.42800
591.17346,7.56800
611.18695,7.70100
630.93451,7.82300
651.15881,7.94200
671.07953,8.05400
690.98022,8.16300
711.00446,8.26700
731.14301,8.36600
751.17249,8.46200
771.08057,8.55200
791.00732,8.64200
811.11273,8.72900
831.13080,8.81300
851.05280,8.89300
871.20648,8.97100
891.34882,9.04600
911.29254,9.12100
931.41663,9.19500
951.05048,9.26200
971.62170,9.33400
991.50085,9.39900
1010.92100,9.46500
1031.20840,9.53000
1051.22900,9.59200
1071.06520,9.65600
1091.12330,9.71700
1110.78080,9.77600
1131.09740,9.83700
1150.87390,9.89600
1170.88790,9.95400
1191.20950,10.01300
1211.34910,10.07000
1231.19420,10.12600
1251.26900,10.18300
1271.21400,10.23900
1291.35500,10.29400
1311.68300,10.35100
1331.07580,10.40500
1351.43490,10.46200
1371.13980,10.51600
1391.28200,10.57200
1411.82930,10.63100
1431.78120,10.68600
1451.01650,10.74200
1471.00560,10.80000
1491.40060,10.85800
1511.56770,10.91900
1531.10780,10.98000
1550.80260,11.04300
