energy,idgap
eV,mm
520.90649,16.00100
537.49860,16.25000
554.60425,16.50000
571.70593,16.75000
589.03644,17.00000
606.64655,17.25000
624.35907,17.50000
642.29181,17.74900
660.66632,18.00100
678.75391,18.25000
697.17859,18.50000
715.71863,18.75000
734.34235,19.00000
752.94983,19.24900
772.09943,19.50100
790.74847,19.75000
809.57373,20.00000
828.65283,20.25000
847.60138,20.50000
866.55994,20.75000
885.52924,21.00000
904.43829,21.25000
923.38983,21.50000
942.11725,21.75000
960.66681,22.00000
979.21320,22.25000
997.51727,22.50000
1015.70520,22.75000
1033.84387,23.00000
1051.78809,23.24900
1069.51147,23.50100
1087.04895,23.75000
1104.50452,24.00000
1121.48730,24.24900
1138.41638,24.50100
1154.79883,24.75000
1171.31738,24.99900
1187.45886,25.25100
1203.17383,25.49900
1218.64185,25.75100
1234.03149,26.00000
1249.11536,26.25000
1263.78040,26.50000
1278.31079,26.75000
1292.48108,27.00000
1306.46094,27.25000
1319.90479,27.49900
1333.35938,27.75000
1346.05469,28.00100
1358.91907,28.25000
1371.15784,28.50000
1383.12378,28.75000
1394.76550,29.00000
1406.13940,29.25000
1417.44312,29.50000
1428.12341,29.75000
1438.55627,30.00000
1448.99963,30.25000
1459.04553,30.50000
1468.66772,30.75000
1478.24597,31.00000
1486.83264,31.25000
1495.93579,31.50000
1504.46082,31.75000
1512.36182,32.00000
1520.42627,32.25000
1529.06873,32.50000
1536.67529,32.75000
1543.59070,32.99900
1550.11365,33.25100
1557.44141,33.50000
1564.61853,33.75000
1569.94202,34.00000
1576.22302,34.25000
1582.01196,34.50000
1588.68018,34.75000
1594.37842,35.00000
1599.24329,35.25000
