time	temperature	u1a1	u1a2	u1a3
10-12-2018 14:14	40.0	-2.91	73.45	-0.00 
10-12-2018 14:21	40.0	-3.05	73.41	-0.00 
10-12-2018 14:25	40.0	-2.96	73.42	-0.00 
10-12-2018 16:34	40.0	-2.96	73.44	-0.00 
10-12-2018 19:02	9.8	-3.00	73.41	-0.00 
10-12-2018 19:48	5.9	-3.04	73.41	-0.00 
10-12-2018 20:06	6.8	-3.06	73.43	-0.00 
10-12-2018 20:23	7.9	-3.06	73.43	-0.00 
10-12-2018 20:40	8.9	-3.06	73.43	-0.00 
10-12-2018 20:57	9.9	-3.07	73.43	-0.00 
10-12-2018 21:13	10.9	-3.06	73.43	-0.00 
10-12-2018 21:31	11.9	-3.06	73.43	-0.00 
10-12-2018 21:48	13.0	-3.06	73.43	-0.00 
10-12-2018 22:05	14.0	-3.06	73.43	-0.00 
10-12-2018 22:28	6.2	-3.05	73.43	-0.00 
10-12-2018 22:38	6.8	-2.95	73.43	-0.00 
10-12-2018 22:47	7.9	-2.96	73.44	-0.00 
10-12-2018 22:57	8.9	-2.95	73.44	-0.00 
10-12-2018 23:10	6.2	-2.95	73.44	-0.00 
10-12-2018 23:17	6.0	-2.94	73.44	-0.00 
10-12-2018 23:29	6.0	-2.95	73.50	-0.00 
10-12-2018 23:48	6.8	-2.94	73.50	-0.00 
10-12-2018 23:56	7.9	-2.94	73.50	-0.00 
11-12-2018 00:13	9.7	-2.93	73.50	-0.00 
11-12-2018 00:30	11.9	-2.90	73.49	-0.00 
11-12-2018 00:47	13.9	-2.88	73.49	-0.00 
11-12-2018 01:05	15.9	-2.87	73.49	-0.00 
11-12-2018 01:22	17.9	-2.86	73.49	-0.00 
11-12-2018 01:39	19.9	-2.86	73.49	-0.00 
11-12-2018 01:56	21.9	-2.85	73.49	-0.00 
11-12-2018 02:13	23.9	-2.85	73.49	-0.00 
11-12-2018 02:31	26.0	-2.84	73.49	-0.00 
11-12-2018 02:48	28.0	-2.84	73.48	-0.00 
11-12-2018 03:05	29.9	-2.83	73.48	-0.00 
11-12-2018 03:22	32.0	-2.83	73.48	-0.00 
11-12-2018 03:39	34.0	-2.82	73.48	-0.00 
11-12-2018 03:56	36.0	-2.82	73.48	-0.00 
11-12-2018 04:14	38.0	-2.81	73.48	-0.00 
11-12-2018 04:31	40.0	-2.81	73.49	-0.00 
11-12-2018 04:48	42.0	-2.80	73.50	-0.00 
11-12-2018 05:06	44.0	-2.80	73.50	-0.00 
11-12-2018 05:22	46.0	-2.80	73.51	-0.00 
11-12-2018 05:40	48.0	-2.82	73.51	-0.00 
11-12-2018 05:57	49.0	-2.81	73.52	-0.00 
11-12-2018 06:14	47.0	-2.81	73.52	-0.00 
11-12-2018 06:32	45.0	-2.81	73.51	-0.00 
11-12-2018 06:49	43.0	-2.80	73.50	-0.00 
11-12-2018 07:06	41.0	-2.79	73.50	-0.00 
11-12-2018 07:23	39.0	-2.79	73.50	-0.00 
11-12-2018 07:41	37.0	-2.78	73.49	-0.00 
11-12-2018 07:58	35.0	-2.80	73.49	-0.00 
11-12-2018 08:15	33.0	-2.80	73.48	-0.00 
11-12-2018 08:32	31.0	-2.82	73.48	-0.00 
11-12-2018 08:49	29.1	-2.81	73.47	-0.00 
13-12-2018 14:56	19.0	-3.20	73.46	-0.00 
13-12-2018 15:01	19.3	-3.09	73.73	-0.00 
13-12-2018 15:22	20.8	-2.53	73.47	-0.00 
13-12-2018 15:31	21.4	-3.34	73.71	-0.00 
13-12-2018 17:36	24.6	-3.06	73.38	-0.00 
13-12-2018 17:52	44.8	-3.08	73.39	-0.00 
13-12-2018 18:23	5.7	-3.15	73.28	-0.00 
13-12-2018 18:31	6.9	-3.21	73.36	-0.00 
13-12-2018 19:00	5.1	-3.29	73.38	-0.00 
13-12-2018 19:06	5.8	-3.29	73.39	-0.00 
13-12-2018 19:13	6.9	-3.29	73.39	-0.00 
13-12-2018 19:19	7.9	-3.29	73.38	-0.00 
13-12-2018 19:26	8.9	-3.29	73.38	-0.00 
13-12-2018 19:32	9.9	-3.29	73.38	-0.00 
13-12-2018 19:39	11.8	-3.29	73.38	-0.00 
13-12-2018 19:45	14.8	-3.29	73.38	-0.00 
13-12-2018 19:52	19.7	-3.29	73.41	-0.00 
13-12-2018 19:58	24.7	-3.29	73.44	-0.00 
13-12-2018 20:05	29.8	-3.29	73.42	-0.00 
13-12-2018 20:21	25.0	-3.15	73.38	-0.00 
13-12-2018 20:27	27.4	-3.15	73.38	-0.00 
13-12-2018 20:34	29.9	-3.15	73.38	-0.00 
13-12-2018 20:40	32.4	-3.15	73.37	-0.00 
13-12-2018 20:47	34.9	-3.15	73.37	-0.00 
13-12-2018 20:53	37.4	-3.15	73.38	-0.00 
13-12-2018 21:00	39.9	-3.15	73.38	-0.00 
13-12-2018 21:06	42.4	-3.15	73.38	-0.00 
13-12-2018 21:13	45.0	-3.15	73.39	-0.00 
13-12-2018 21:19	45.5	-3.15	73.39	-0.00 
13-12-2018 21:26	46.0	-3.15	73.39	-0.00 
13-12-2018 21:32	46.5	-3.15	73.39	-0.00 
13-12-2018 21:39	47.0	-3.15	73.39	-0.00 
13-12-2018 21:45	47.5	-3.15	73.39	-0.00 
13-12-2018 21:52	49.0	-3.15	73.40	-0.00 
