#date and time   	M4_x	M4_y	M4_z	M4_yaw  	M4_pit	M4_roll	M4_fine	M3_x	M3_y	M3_z	M3_yaw  	M3_pit	M3_roll	M3_fine	M1_x	M1_y	M1_z	M1_yaw  	M1_pit	M1_roll	M1_fine	PGM_g	PGM_m2					



06-12-2018 13:00	 3.60	-31.90	 0.00	-1001.00	8777.00	-1.14	0.00	-1.05	29.48	 0.01	-6299.00	1102.68	 1.65	4.93	0.35	-2.00	0.0027	 8399.75	-805.00	-0.78	3.822	0.000	0.000
10-12-2018 13:00	 3.60	-31.92	 0.00	-1000.00	8777.00	-1.18	0.00	-1.05	29.48	 0.01	-6300.00	1102.68	 1.65	4.93	0.35	-2.00	0.0027	 8399.75	-805.00	-0.78	3.822	0.000	0.000

11-12-2018 10:20	 3.60	-31.92	 0.00	-1000.14	8771.00	-1.18	0.00	-1.05	29.48	 0.01	-6300.09	1102.69	 1.65	4.88	0.35	-2.00	0.0000	 8399.11	-806.61	-0.80	3.71	87.534	88.259

30-01-2019 12:49	 3.60	-32.02	 0.00	-1499.88	8682.43	-0.72	0.00	-1.10	29.64	 0.01	-6300.55	1186.49	 1.72	4.86	0.35	-2.00	0.00	8399.88	-852.68	-0.63	5.00	87.546	88.267
03-02-2019 11:30	 3.60	-31.89	 0.00	-1500.83	8682.58	-0.88	0.00	-1.10	29.64	 0.01	-6300.85	1186.11	 1.57	4.90	 0.35	-2.00	 0.00	8400.27	-853.41	-0.99	5.09	87.546	88.267
09-02-2019 22:11	 3.60	-31.82	 0.00	-1499.88	8684.81	-0.12	0.00	-1.10	29.64	 0.01	-6301.02	1185.72	 1.79	4.93	 0.35	-2.00	 0.00	8400.92	-853.04	-1.28	5.15	87.658	88.348
10-02-2019 18:30	 3.60	-31.76	 0.00	-1499.36	8684.44	-1.08	0.00	-1.10	29.64	 0.01	-6301.02	1185.72	 1.79	4.94	 0.35	-2.00	 0.00	8400.92	-853.04	-1.28	5.16	87.658	88.348
10-04-2019 13:19	 3.90	-31.20	-0.50	-1500.17	8596.24	-1.46	0.00	-1.10	29.63	 0.01	-6299.85	1174.13	 1.33	5.45	 0.35	-2.00	 0.00	8401.04	-838.49	-1.73	5.05	87.636	88.332
21-04-2019 13:35	 3.90	-30.80	-0.50	-1500.45	8599.60	-0.94	0.00	-1.10	29.63	 0.01	-6300.74	1173.49	 1.21	5.32	 0.35	-2.00	 0.00	8401.04	-838.49	-1.73	5.11	87.482	88.236
24-07-2019 16:45	 3.97	-31.95	 0.00	-1001.21	8790.66	-1.75	0.00	-1.00	30.00	 0.01	-6300.35	1157.08	 1.09	4.79	 0.10	-2.00	 0.00	8400.63	-618.85	-1.47	4.96	87.372	88.156
