Source,Mode,MinEnergy,MaxEnergy,b,1st-order,2nd-order,3rd-order,4th-order,5th-order,6th-order,7th-order
idu,lh,255.3,513.28,3.88755,0.0641791,-7.52562E-05,4.33435E-08,0,0,0,0
idu,lh,513.28,771.545,8.1496,0.0393435,-2.61385E-05,1.04394E-08,0,0,0,0
idu,lh,771.545,1027.52,7.9205,0.0393892,-2.51296E-05,9.55013E-09,0,0,0,0
idu,lh,1027.52,1282.59,6.60845,0.0430451,-2.84144E-05,1.04932E-08,0,0,0,0
idu,lh,1282.59,1700,-160.378,0.421009,-0.000314196,8.26909E-08,0,0,0,0
idu,lv,521.99,734.983,6.96008,0.0202971,-6.57463E-06,1.67544E-09,0,0,0,0
idu,lv,734.983,932.69,7.8749,0.0181492,-5.82037E-06,2.32314E-09,0,0,0,0
idu,lv,932.69,1129.16,3.24578,0.0331944,-2.22386E-05,8.33737E-09,0,0,0,0
idu,lv,1129.16,1325.74,-14.1739,0.0777255,-6.01726E-05,1.91056E-08,0,0,0,0
idu,lv,1325.74,1700,-172.027,0.423051,-0.000312082,8.03864E-08,0,0,0,0
idu,pc,418.566,637.695,5.13046,0.0368795,-2.99885E-05,1.35966E-08,0,0,0,0
idu,pc,637.695,855.483,6.88328,0.0285808,-1.67934E-05,6.54757E-09,0,0,0,0
idu,pc,855.483,1071.32,6.03968,0.0309807,-1.90157E-05,7.2133E-09,0,0,0,0
idu,pc,1071.32,1287.03,-5.94187,0.0630626,-4.76693E-05,1.57511E-08,0,0,0,0
idu,pc,1287.03,1700,-97.3851,0.270486,-0.00020465,5.53938E-08,0,0,0,0
idu,nc,426.626,646.014,5.26037,0.0361496,-2.86867E-05,1.28076E-08,0,0,0,0
idu,nc,646.014,863.674,6.39722,0.030442,-1.92019E-05,7.57955E-09,0,0,0,0
idu,nc,863.674,1079.84,7.21445,0.0273263,-1.52587E-05,5.92247E-09,0,0,0,0
idu,nc,1079.84,1295.74,-7.52454,0.0668457,-5.06815E-05,1.65398E-08,0,0,0,0
idu,nc,1295.74,1700,-104.872,0.28583,-0.000215111,5.77565E-08,0,0,0,0
idu,lh3,769.119,1028.01,1.83429,0.0274816,-1.4457E-05,3.62736E-09,0,0,0,0
idu,lh3,1028.01,1286.16,3.87065,0.0214904,-8.56945E-06,1.69557E-09,0,0,0,0
idu,lh3,1286.16,1544.17,6.38981,0.0157398,-4.20572E-06,5.94806E-10,0,0,0,0
idu,lh3,1544.17,1794.62,-11.6837,0.0499948,-2.58804E-05,5.17381E-09,0,0,0,0
idu,lh3,1794.62,2100,-156.01,0.268796,-0.000135379,2.32221E-08,0,0,0,0
idu,la,654,1700,-43.829175,0.368501,-0.0010666011,1.7879222E-06,-1.7983774E-09,1.0820994E-12,-3.6007756E-16,5.1239781E-20
idd,lh,309.226,571.296,4.57272,0.062322,-7.08277e-05,3.97005e-08,0,0,0,0
idd,lh,571.296,831.443,9.5671,0.0347486,-1.91796e-05,6.84788e-09,0,0,0,0
idd,lh,831.443,1087.87,12.5449,0.0252382,-9.40975e-06,3.68449e-09,0,0,0,0
idd,lh,1087.87,1340.86,-12.2858,0.0924237,-7.04806e-05,2.23396e-08,0,0,0,0
idd,lh,1340.86,1700.0,-324.303,0.761319,-0.000548382,1.36137e-07,0,0,0,0
idd,lv,500.0,745.782,5.53414,0.0284162,-1.91177e-05,8.05362e-09,0,0,0,0
idd,lv,745.782,959.167,5.89293,0.0265811,-1.60774e-05,6.41238e-09,0,0,0,0
idd,lv,959.167,1169.03,0.428138,0.0420721,-3.05813e-05,1.08882e-08,0,0,0,0
idd,lv,1169.03,1376.65,-38.9177,0.137386,-0.000107425,3.15073e-08,0,0,0,0
idd,lv,1376.65,1700.0,-346.922,0.784383,-0.000559845,1.36807e-07,0,0,0,0
idd,pc,374.658,583.454,5.25175,0.0379914,-3.15618e-05,1.40571e-08,0,0,0,0
idd,pc,583.454,843.8,6.41617,0.0320276,-2.1606e-05,8.67711e-09,0,0,0,0
idd,pc,843.8,1099.6,8.23315,0.025002,-1.26069e-05,4.85504e-09,0,0,0,0
idd,pc,1099.6,1352.18,-11.8345,0.0777311,-5.91356e-05,1.86547e-08,0,0,0,0
idd,pc,1352.18,1700.0,-354.638,0.806568,-0.000575692,1.40704e-07,0,0,0,0
idd,nc,374.845,579.787,5.41188,0.0370792,-2.99377e-05,1.31077e-08,0,0,0,0
idd,nc,579.787,836.177,6.65753,0.0308685,-1.98374e-05,7.7944e-09,0,0,0,0
idd,nc,836.177,1088.04,6.48987,0.0305467,-1.84972e-05,6.94229e-09,0,0,0,0
idd,nc,1088.04,1336.78,-0.547068,0.0501199,-3.67348e-05,1.2633e-08,0,0,0,0
idd,nc,1336.78,1700.0,-243.002,0.577601,-0.000419564,1.0533e-07,0,0,0,0
idd,lh3,710.953,951.552,1.71019,0.0304018,-1.78548E-05,4.92026E-09,0,0,0,0
idd,lh3,951.552,1193.71,4.05097,0.0230031,-1.00382E-05,2.15916E-09,0,0,0,0
idd,lh3,1193.71,1438.26,7.78066,0.013952,-2.70169E-06,1.72396E-10,0,0,0,0
idd,lh3,1438.26,1684.34,6.84516,0.0161913,-4.51536E-06,6.65626E-10,0,0,0,0
idd,lh3,1684.34,2100,49.5656,-0.0582239,3.85587E-05,-7.61825E-09,0,0,0,0
idd,la,610,1200,800.865724,-7.60298294,0.0309135438,-6.88548924E-05,9.10074539E-08,-7.14462774E-11,3.08703041E-14,-5.66653297E-18
idd,lh3,710.953,951.552,1.71019,0.0304018,-1.79E-05,4.92E-09,0,0,0,0
idd,lh3,951.552,1193.71,4.05097,0.0230031,-1.00E-05,2.16E-09,0,0,0,0
idd,lh3,1193.71,1438.26,7.78066,0.013952,-2.70E-06,1.72E-10,0,0,0,0
idd,lh3,1438.26,1684.34,6.84516,0.0161913,-4.52E-06,6.66E-10,0,0,0,0
idd,lh3,1684.34,2100,49.5656,-0.0582239,3.86E-05,-7.62E-09,0,0,0,0
