Source,Mode,MinEnergy,MaxEnergy,b,1st-order,2nd-order,3rd-order,4th-order,5th-order,6th-order,7th-order
idu,pc,418.566,637.695,13.4873,0.00640997,-6.03096E-06,2.77583E-09,0,0,0,0
idu,pc,637.695,855.483,14.4496,0.00216711,2.76266E-07,-3.9213E-10,0,0,0,0
idu,pc,855.483,1071.32,14.27,0.00321593,-1.46775E-06,5.00523E-10,0,0,0,0
idu,pc,1071.32,1287.03,15.739,-0.000289772,1.28573E-06,-2.10213E-10,0,0,0,0
idu,pc,1287.03,1700,11.4359,0.0105901,-7.83598E-06,2.32768E-09,0,0,0,0
idu,nc,426.626,646.014,-13.8004,-0.00463626,2.71849E-06,-7.28072E-10,0,0,0,0
idu,nc,646.014,863.674,-14.0729,-0.00364046,1.64441E-06,-4.38739E-10,0,0,0,0
idu,nc,863.674,1079.84,-13.0961,-0.00679536,5.09164E-06,-1.71735E-09,0,0,0,0
idu,nc,1079.84,1295.74,-11.888,-0.0095199,7.02495E-06,-2.13009E-09,0,0,0,0
idu,nc,1295.74,1700,-7.59802,-0.018822,1.37127E-05,-3.72318E-09,0,0,0,0
idu,lh,255.3,1700,0,0,0,0,0,0,0,0
idu,lv,521.99,1700,24,0,0,0,0,0,0,0
idu,la,654,1700,3.1537295,-0.11906434,0.00034602416,-5.6632637E-07,5.5036409E-10,-3.1630855E-13,9.9437208E-17,-1.3207099E-20
idd,pc,374.658,583.454,13.6052,0.0060179,-5.22012e-06,2.17268e-09,0,0,0,0
idd,pc,583.454,843.8,13.9369,0.00445035,-2.79954e-06,9.61788e-10,0,0,0,0
idd,pc,843.8,1099.6,13.9769,0.00421051,-2.42764e-06,7.91402e-10,0,0,0,0
idd,pc,1099.6,1352.18,13.3097,0.00591989,-3.90463e-06,1.22257e-09,0,0,0,0
idd,pc,1352.18,1700.0,-7.80225,0.0509091,-3.58818e-05,8.80447e-09,0,0,0,0
idd,nc,374.845,579.787,-13.6239,-0.00589894,4.97942e-06,-2.00686e-09,0,0,0,0
idd,nc,579.787,836.177,-13.7645,-0.00517622,3.81573e-06,-1.43262e-09,0,0,0,0
idd,nc,836.177,1088.04,-13.8741,-0.00453495,2.77184e-06,-9.13782e-10,0,0,0,0
idd,nc,1088.04,1336.78,-13.8832,-0.00454921,2.82231e-06,-9.41e-10,0,0,0,0
idd,nc,1336.78,1700.0,0.249637,-0.0354752,2.53996e-05,-6.44023e-09,0,0,0,0
idd,la,610,1200,1400.13845,-13.0099589,0.0518055008,-0.000113471444,1.47749738E-07,-1.14420814E-10,4.88195989E-14,-8.85680201E-18
idd,lh,249.772,1700,0,0,0,0,0,0,0,0
idd,lv,500.0,1700,24,0,0,0,0,0,0,0
idd,lh3,710.953,2100,0,0,0,0,0,0,0,0
idu,lh3,769.119,2100,0,0,0,0,0,0,0,0
