energy,idgap
eV,mm
245.76599,16.44400
255.52779,16.79400
265.42200,17.13800
274.78568,17.46600
284.50000,17.76100
294.50000,18.07900
304.80945,18.38000
314.63895,18.68000
324.01193,18.96400
334.23459,19.24500
343.71008,19.51900
353.59143,19.78600
363.37238,20.05000
373.30667,20.30800
383.16705,20.56200
393.25140,20.81600
402.48685,21.05300
412.79718,21.29500
422.56418,21.53200
432.39725,21.76700
442.19833,21.99500
452.01825,22.22000
461.92563,22.44400
471.68726,22.66200
481.64624,22.88000
491.63470,23.09600
501.53754,23.30800
511.44330,23.51800
521.41992,23.72700
530.98431,23.93000
541.82654,24.12700
551.13446,24.33400
561.17169,24.53500
570.95612,24.72700
580.90674,24.92400
590.67780,25.11700
600.65173,25.30900
610.57416,25.50100
620.59137,25.68900
630.59265,25.87800
640.41791,26.06100
650.41663,26.24700
660.46338,26.43400
670.32269,26.61600
680.42603,26.79900
690.35010,26.98300
700.50952,27.16400
710.29193,27.34200
720.38739,27.52200
730.51898,27.70000
740.42310,27.87800
750.52466,28.05600
760.46820,28.23100
770.66827,28.40700
780.56866,28.58200
790.59692,28.75800
800.63275,28.93200
810.68066,29.10600
820.73267,29.28000
830.73090,29.45500
840.87512,29.62500
850.83276,29.79800
860.90540,29.97200
870.97223,30.14600
881.17834,30.32000
891.02344,30.49100
901.01825,30.66100
911.03705,30.83700
921.21857,31.00900
930.92059,31.18200
941.45166,31.35800
951.55927,31.53200
961.76770,31.70800
971.75537,31.88100
981.76208,32.05700
991.97357,32.23400
1002.03265,32.41200
1012.04987,32.58800
1021.99298,32.76400
1032.34412,32.94400
1042.31360,33.12200
1052.42261,33.30300
1062.86182,33.48500
1072.78406,33.66900
1082.70752,33.84700
1092.76624,34.03000
1102.84241,34.21600
1113.21716,34.40600
1123.28540,34.59200
1133.40686,34.78000
1143.52747,34.96800
1153.61707,35.16200
1163.90869,35.36100
1174.01208,35.55500
1184.03528,35.75200
1194.20142,35.94800
1204.54211,36.15400
1214.57129,36.35600
1224.57007,36.56200
1234.77832,36.77000
1245.10938,36.98400
1255.06445,37.19600
1265.33350,37.41300
1275.87390,37.63700
1285.64075,37.85700
1295.72668,38.07900
1305.66394,38.30200
1316.00391,38.53900
1325.86890,38.77100
1336.36243,39.01600
1346.40869,39.26000
1356.56982,39.50600
1367.11316,39.76800
1376.56091,40.01600
1386.90588,40.28300
1397.34912,40.54800
1407.26038,40.82500
1417.60071,41.11100
1427.70654,41.40000
1437.97192,41.69500
1449.35986,42.02400
1458.61206,42.32000
1468.92859,42.64300
1478.58020,42.96300
1488.65393,43.29800
1499.38232,43.66100
1509.62158,44.03700
1519.57385,44.40200
1529.64001,44.79500
1540.01514,45.21100
1550.51904,45.65200
1560.43518,46.09600
