energy,idgap
eV,mm
490.57422,16.11400
500.50906,16.26800
510.65811,16.42400
520.39642,16.57400
530.39923,16.72600
540.20001,16.86600
550.10205,17.01800
559.88428,17.16400
569.75385,17.30900
579.70679,17.45400
589.40222,17.59500
599.58905,17.74000
609.53448,17.88200
619.46729,18.02200
629.40399,18.16200
639.25500,18.30000
649.50629,18.44000
659.13605,18.57600
669.03717,18.71200
678.77631,18.84600
687.62695,18.96600
699.21411,19.12300
709.15405,19.25900
719.03662,19.39200
729.18848,19.52800
739.19238,19.66200
749.18048,19.79500
758.88025,19.92700
769.03229,20.06000
779.20685,20.19300
789.16644,20.32700
799.32471,20.46000
809.39325,20.59200
819.19501,20.72300
829.31470,20.85700
839.38934,20.98700
849.41504,21.12200
859.27954,21.25200
869.24738,21.38300
879.45032,21.51600
889.56104,21.65000
899.60199,21.78400
909.71075,21.91600
919.88995,22.05200
929.86786,22.18400
939.99683,22.31800
949.92725,22.45300
960.02600,22.58500
970.04688,22.72200
980.22876,22.85800
990.29919,22.99600
1000.42291,23.13200
1010.26202,23.26800
1020.54077,23.40800
1030.79443,23.54700
1040.80273,23.68700
1050.99292,23.82800
1061.32141,23.97200
1071.28015,24.11200
1081.50024,24.25600
1091.37915,24.39900
1101.15381,24.54100
1111.65747,24.68900
1121.98950,24.84000
1131.89172,24.98500
1142.32288,25.13500
1152.27136,25.28700
1162.33643,25.44100
1172.72510,25.59700
1183.14844,25.75700
1193.17029,25.91100
1203.19238,26.07000
1213.44360,26.23400
1223.59546,26.39800
1233.64319,26.56200
1243.93909,26.72800
1253.99146,26.90000
1264.51794,27.07700
1274.73633,27.24900
1284.62158,27.42600
1294.79443,27.60400
1304.74084,27.78200
1315.17358,27.97200
1325.27795,28.16200
1335.47803,28.35500
1345.56482,28.55100
1355.85181,28.75000
1366.22510,28.95800
1376.47888,29.16500
1386.57520,29.37700
1397.00146,29.59400
1406.85632,29.81600
1417.06995,30.04200
1427.42310,30.27800
1438.32117,30.53400
1448.43494,30.77200
1458.19153,31.01800
1468.47388,31.27800
1478.90759,31.55100
1489.01086,31.83100
1499.37012,32.11200
1509.70972,32.41700
1519.88342,32.72100
1530.15588,33.04600
1540.48035,33.38000
1550.62769,33.73000
1560.85315,34.09800
1570.27661,34.46400
