energy,idgap,rowphase1,rowphase3
eV,mm,mm,mm
427.03821,16.43860,-15.33700,-15.33700
437.08231,16.62540,-15.36500,-15.36500
447.08984,16.80880,-15.39100,-15.39100
457.02121,16.98860,-15.41700,-15.41700
467.05817,17.16800,-15.44300,-15.44300
476.88239,17.34240,-15.46900,-15.46900
486.92657,17.51690,-15.49400,-15.49400
496.98016,17.68860,-15.51900,-15.51900
506.87820,17.85690,-15.54400,-15.54400
516.82831,18.02450,-15.56800,-15.56800
526.82275,18.19085,-15.59200,-15.59200
536.79999,18.36595,-15.61600,-15.61600
546.83234,18.51300,-15.63700,-15.63700
556.76978,18.67980,-15.66100,-15.66100
566.73511,18.83695,-15.68300,-15.68300
576.70642,18.99490,-15.70500,-15.70500
586.72333,19.15315,-15.72800,-15.72800
596.73657,19.30920,-15.75000,-15.75000
606.56134,19.46285,-15.77100,-15.77100
616.58734,19.61645,-15.79200,-15.79200
626.46234,19.76810,-15.81300,-15.81300
636.49982,19.92050,-15.83300,-15.83300
646.46686,20.06865,-15.85300,-15.85300
656.47186,20.21805,-15.87500,-15.87500
666.39081,20.36690,-15.89400,-15.89400
676.33704,20.51400,-15.91400,-15.91400
686.32446,20.66200,-15.93500,-15.93500
696.23303,20.80720,-15.95300,-15.95300
706.20306,20.95300,-15.97300,-15.97300
716.15387,21.09700,-15.99300,-15.99300
726.00311,21.23955,-16.01200,-16.01200
736.25171,21.38495,-16.03200,-16.03200
746.12231,21.52820,-16.05000,-16.05000
756.10535,21.67015,-16.06900,-16.06900
766.00360,21.81245,-16.08800,-16.08800
776.03455,21.95220,-16.10600,-16.10600
785.95013,22.09460,-16.12500,-16.12500
796.06604,22.23610,-16.14400,-16.14400
805.82147,22.37460,-16.16200,-16.16200
815.77350,22.51615,-16.18000,-16.18000
825.82910,22.65615,-16.19800,-16.19800
835.71051,22.79540,-16.21600,-16.21600
845.66907,22.93660,-16.23300,-16.23300
855.81586,23.07780,-16.25100,-16.25100
865.63171,23.21565,-16.26900,-16.26900
875.75018,23.35655,-16.28800,-16.28800
885.60461,23.49560,-16.30600,-16.30600
895.72900,23.63580,-16.32400,-16.32400
905.67358,23.77450,-16.34100,-16.34100
915.55927,23.91395,-16.35900,-16.35900
925.40314,24.05395,-16.37500,-16.37500
935.62067,24.19590,-16.39300,-16.39300
945.51501,24.33560,-16.41100,-16.41100
955.47797,24.47630,-16.42800,-16.42800
965.31207,24.61600,-16.44500,-16.44500
975.43079,24.75905,-16.46200,-16.46200
985.42029,24.90035,-16.48000,-16.48000
995.39917,25.04325,-16.49800,-16.49800
1005.32880,25.18465,-16.51500,-16.51500
1015.49719,25.32850,-16.53300,-16.53300
1025.32910,25.47135,-16.55000,-16.55000
1035.31311,25.61545,-16.56700,-16.56700
1045.20984,25.76025,-16.58400,-16.58400
1055.33850,25.90625,-16.60200,-16.60200
1065.40588,26.05235,-16.61900,-16.61900
1075.16479,26.19835,-16.63700,-16.63700
1085.09094,26.34410,-16.65500,-16.65500
1095.22119,26.49320,-16.67100,-16.67100
1105.37585,26.64440,-16.68900,-16.68900
1115.38745,26.79515,-16.70600,-16.70600
1125.21924,26.94605,-16.72400,-16.72400
1135.28333,27.09950,-16.74200,-16.74200
1145.28723,27.25330,-16.75900,-16.75900
1155.23352,27.40665,-16.77700,-16.77700
1165.27832,27.56230,-16.79500,-16.79500
1175.30408,27.72175,-16.81400,-16.81400
1185.22253,27.88065,-16.83100,-16.83100
1195.17322,28.03980,-16.84900,-16.84900
1205.17639,28.20150,-16.86700,-16.86700
1215.35278,28.36605,-16.88700,-16.88700
1225.32422,28.53270,-16.90500,-16.90500
1235.23816,28.70030,-16.92200,-16.92200
1245.36987,28.86740,-16.94000,-16.94000
1255.29736,29.03995,-16.95900,-16.95900
1265.21838,29.21190,-16.97900,-16.97900
1274.93091,29.38300,-16.99800,-16.99800
1285.05261,29.56095,-17.01700,-17.01700
1294.81445,29.74155,-17.03700,-17.03700
1304.96045,29.92445,-17.05800,-17.05800
1315.06335,30.11030,-17.07700,-17.07700
1325.00293,30.29960,-17.09700,-17.09700
1334.85205,30.48885,-17.11700,-17.11700
1345.08215,30.68420,-17.13700,-17.13700
1355.03418,30.88325,-17.15800,-17.15800
1364.84485,31.08250,-17.17900,-17.17900
1374.88623,31.28855,-17.20000,-17.20000
1384.87537,31.49925,-17.22200,-17.22200
1394.91687,31.71035,-17.24300,-17.24300
1404.64697,31.92705,-17.26600,-17.26600
1414.81555,32.15260,-17.28800,-17.28800
1425.03064,32.38285,-17.31000,-17.31000
1435.00684,32.61735,-17.33300,-17.33300
1445.00989,32.85000,-17.35800,-17.35800
1454.63379,33.09340,-17.38100,-17.38100
1464.62732,33.34100,-17.40600,-17.40600
1474.76062,33.60355,-17.43100,-17.43100
1484.69238,33.86740,-17.45500,-17.45500
1494.99707,34.14710,-17.48100,-17.48100
1504.60693,34.42660,-17.50800,-17.50800
1514.86243,34.71905,-17.53600,-17.53600
1524.94788,35.02620,-17.56500,-17.56500
1535.06702,35.33650,-17.59200,-17.59200
1544.65613,35.65660,-17.62200,-17.62200
1554.59741,35.99385,-17.65200,-17.65200
