energy,jawphase
eV,mm
403.77448,0.55300
410.31281,1.33000
423.60257,2.10300
432.63293,2.47500
443.54922,2.84700
452.93625,3.12100
463.49969,3.39800
472.98373,3.62300
483.44833,3.84900
493.05292,4.04000
503.36017,4.23000
513.11371,4.39900
523.24469,4.56600
532.93884,4.71400
543.43512,4.86500
553.51355,5.00300
563.15265,5.14000
573.04395,5.26400
583.12274,5.38600
592.94818,5.50200
603.30743,5.62000
613.14783,5.72800
623.42682,5.83600
633.18488,5.93400
643.26196,6.03600
653.43207,6.12800
663.25647,6.22100
673.19312,6.31100
683.16101,6.39800
693.12738,6.48200
703.23627,6.56700
713.17902,6.64600
723.29639,6.72600
733.26392,6.80300
743.49609,6.88000
753.19391,6.95200
763.25104,7.02600
773.31183,7.09200
783.49817,7.16100
793.01807,7.22700
803.09247,7.29200
812.92676,7.35700
823.42548,7.42300
833.01166,7.48200
843.00903,7.54400
852.83710,7.60400
863.19897,7.66400
873.13391,7.72200
883.16895,7.77900
893.26147,7.83700
903.30505,7.89200
913.22357,7.94600
923.17944,8.00000
933.14789,8.05200
943.29852,8.10500
953.05963,8.15500
963.40063,8.20900
973.35822,8.25800
983.44446,8.30900
993.03156,8.35600
1003.29740,8.40500
1013.23350,8.45200
1023.47160,8.50100
1034.20650,8.55100
1045.34550,8.60200
1054.39690,8.64400
1063.54050,8.68500
1073.57020,8.72900
1083.48330,8.77400
1093.38010,8.81700
1103.10070,8.86000
1113.28100,8.90300
1123.44200,8.94800
1133.11070,8.99000
1143.28700,9.03400
1153.16280,9.07500
1163.38100,9.11800
1173.53580,9.15900
1183.61670,9.20100
1193.73070,9.24400
1203.73210,9.28500
1213.39690,9.32400
1223.37870,9.36400
1233.30490,9.40300
1243.44210,9.44500
1253.71410,9.48400
1263.53830,9.52500
1273.65450,9.56600
1283.51680,9.60500
1293.52750,9.64400
1303.66550,9.68400
1313.80490,9.72400
1324.17030,9.76500
1334.16930,9.80400
1344.15040,9.84400
1353.95630,9.88200
1363.81200,9.92100
1373.91220,9.96000
1384.04760,10.00100
1394.48750,10.04100
1404.20120,10.07900
1414.29250,10.12000
1424.38780,10.15900
1434.11630,10.19800
1443.91160,10.23700
1454.38450,10.27900
1464.23790,10.31800
1474.70530,10.36100
1484.31680,10.40200
1494.46010,10.44200
1504.18760,10.48300
1514.29490,10.52500
1524.87120,10.56900
1534.98140,10.61100
1545.24380,10.65600
1555.23860,10.70100
1565.28690,10.74400
