energy,jawphase
eV,mm
1411.90410,6.54400
1421.87390,6.57800
1432.02470,6.61100
1441.78220,6.64300
1451.54760,6.67400
1462.06430,6.71000
1472.10350,6.74100
1480.77720,6.77000
1490.91980,6.80100
1502.80580,6.83600
1513.41100,6.87000
1523.26010,6.89800
1532.95630,6.92900
1543.24820,6.95700
1553.58700,6.98600
1562.69890,7.01400
1572.99490,7.04300
1582.35350,7.06900
1592.58520,7.09800
1602.91420,7.12600
1612.59620,7.15300
1622.22770,7.17700
1632.20860,7.20300
1642.11840,7.22800
1652.25120,7.25400
1662.34770,7.28200
1671.73350,7.30600
1681.56790,7.33100
1692.34780,7.35700
1701.51990,7.38100
1711.30540,7.40500
1722.13050,7.43100
1731.13450,7.45200
1741.07350,7.47600
1750.66130,7.49700
1760.43240,7.52200
1770.52910,7.54400
1781.04480,7.56800
1790.46580,7.59000
1799.55410,7.60900
1810.40910,7.63500
1821.72460,7.65800
1830.79250,7.67900
1836.79240,7.70200
1850.38430,7.72100
1859.74650,7.74100
1871.13240,7.76300
1880.27590,7.78400
1890.45680,7.80400
1900.24000,7.82600
1910.00060,7.84600
1920.18330,7.86500
1929.01880,7.88500
1939.22330,7.90500
1948.96970,7.92400
1957.74440,7.94200
1969.14530,7.96300
1979.25420,7.98200
1988.17770,8.00100
1998.43370,8.02000
2007.56920,8.03700
2017.52610,8.05700
2026.52320,8.07300
2037.64270,8.09400
2046.60570,8.11300
2055.33150,8.12900
2064.68970,8.14700
2074.09590,8.16500
2083.12500,8.18500
2090.39480,8.20100
2099.13650,8.21800
2108.01460,8.23600
2116.97920,8.25200
2125.54910,8.27000
2135.65750,8.28900
2145.61450,8.30800
2154.72900,8.32600
