energy,idgap
eV,mm
524.99000,16.00000
537.70001,16.21360
547.75372,16.34550
557.75891,16.49610
567.62592,16.63915
577.72748,16.78435
587.65497,16.92850
597.54291,17.06985
607.53998,17.21175
617.56409,17.35170
627.43097,17.49100
637.50690,17.63075
647.42236,17.76670
657.30011,17.90430
667.32788,18.04050
677.31146,18.17700
687.29816,18.31295
697.20288,18.44740
707.16205,18.58110
717.19165,18.71610
727.17206,18.84920
737.13843,18.98140
747.09808,19.11500
756.90906,19.24590
766.91333,19.37750
776.91974,19.50770
786.87689,19.64100
796.87848,19.77125
806.89606,19.90345
816.91003,20.03415
826.74554,20.16355
836.74182,20.29490
846.76581,20.42565
856.71112,20.55615
866.73212,20.68715
876.70636,20.81790
886.64288,20.94870
896.65411,21.07985
906.48914,21.20970
916.53760,21.34180
926.52118,21.47320
936.64832,21.60630
946.49048,21.73750
956.37805,21.86990
966.56500,22.00305
976.45905,22.13635
986.67499,22.27080
996.57147,22.40510
1006.46246,22.53840
1016.53064,22.67430
1026.40222,22.80935
1036.47864,22.94590
1046.31848,23.08235
1056.24756,23.21970
1066.36450,23.35940
1076.27393,23.49745
1086.22705,23.63690
1096.25183,23.77745
1106.35559,23.92020
1116.27014,24.06190
1126.31299,24.20640
1136.20203,24.35160
1146.34998,24.49800
1156.32544,24.64570
1166.13049,24.79220
1176.20569,24.94350
1186.12634,25.09500
1196.25378,25.24810
1206.24585,25.40220
1216.26892,25.55755
1226.27869,25.71780
1236.21338,25.87730
1246.19434,26.03655
1256.22876,26.20100
1265.99829,26.36640
1276.05554,26.53310
1286.11255,26.70235
1295.90125,26.87535
1306.01904,27.05135
1316.12891,27.22800
1326.02600,27.40925
1336.01868,27.59265
1346.22937,27.77995
1356.06250,27.96960
1365.94092,28.16145
1376.14270,28.35895
1385.91162,28.56105
1395.98706,28.76285
1405.72327,28.97290
1415.89563,29.18655
1426.17334,29.40640
1436.21191,29.63305
1445.87878,29.85640
1455.71765,30.09315
1465.76147,30.33260
1475.79822,30.58135
1486.01465,30.84120
1496.22705,31.10560
1505.95947,31.37850
1515.86121,31.65395
1525.85156,31.94740
1536.14795,32.25215
1545.77100,32.56260
