energy,jawphase
eV,mm
522.45288,0.50500
529.37390,1.20000
542.77905,1.88800
551.95813,2.22900
562.78381,2.57000
572.27960,2.82600
582.71729,3.08100
592.37518,3.29500
602.80829,3.50800
612.38086,3.69100
622.75165,3.87400
632.43964,4.03700
642.58929,4.19700
652.35199,4.34400
662.61041,4.49100
672.58807,4.62400
682.70667,4.75800
692.59381,4.88300
702.65979,5.00600
712.64307,5.11900
722.62140,5.23300
732.45142,5.34100
742.67957,5.44800
752.46252,5.55000
762.48077,5.64800
772.37805,5.74500
782.41302,5.83900
792.20270,5.92800
802.41010,6.02000
812.37695,6.10600
822.34229,6.19200
832.22424,6.27300
842.43262,6.35600
852.35181,6.43600
862.54205,6.51500
872.34778,6.59000
882.42523,6.66500
892.13159,6.73700
902.25696,6.81000
912.27686,6.88100
922.41669,6.95200
932.44720,7.02000
942.42175,7.08600
952.46893,7.15300
962.52881,7.22000
972.47064,7.28200
982.44141,7.34600
992.39038,7.40900
1002.30380,7.47000
1012.28710,7.53000
1022.16370,7.58900
1032.08440,7.64800
1042.34850,7.70800
1052.33010,7.76400
1062.11070,7.82200
1072.03590,7.87700
1082.30900,7.93600
1092.33620,7.99100
1102.36210,8.04600
1112.39290,8.09900
1122.26500,8.15400
1132.16740,8.20600
1142.02100,8.25800
1151.92980,8.31100
1161.95070,8.36200
1172.07190,8.41600
1181.97350,8.46500
1192.13160,8.51700
1202.19780,8.56800
1212.20370,8.61900
1221.80970,8.66700
1232.07210,8.71700
1242.10940,8.76700
1252.27470,8.81700
1262.22060,8.86700
1271.93420,8.91400
1282.12450,8.96200
1292.16160,9.01200
1302.23680,9.06000
1312.17100,9.10900
1321.87440,9.15600
1331.99210,9.20400
1342.26140,9.25200
1352.01370,9.30100
1361.67940,9.34700
1371.76860,9.39500
1381.81900,9.44200
1391.88820,9.49200
1402.02080,9.54000
1411.99850,9.58800
1422.00880,9.63600
1431.87240,9.68500
1441.88170,9.73200
1451.56460,9.78100
1461.27860,9.82900
1471.30370,9.87800
1481.65430,9.93000
1491.59160,9.97900
1501.65420,10.02900
1511.45100,10.08000
1521.65670,10.13300
1531.43090,10.18300
1541.74380,10.23600
