# these are the individual crystal offsets for the detectors 
# old mac19 offset = +7.89538 changed 02 April 09
# preserve spaces between entries, but not between sign and angle
####
1:	m1o -7.92772
2:	m1o -6.02548
3:	m1o -4.00224
4:	m1o -2.00389
5:	m1o +0.00000
6:	m1o +1.98363
7:	m1o +3.99321
8:	m1o +5.97228
0:	m1o +7.89871
10:	m2o -7.97933
11:	m2o -5.88049
12:	m2o -3.95185
13:	m2o -1.94764
14:	m2o +0.00000
15:	m2o +2.16455
16:	m2o +4.09233
17:	m2o +6.02684
18:	m2o +8.08659
19:	m3o -8.01905
20:	m3o -5.89801
21:	m3o -4.01249
22:	m3o -2.02172
23:	m3o +0.00000
24:	m3o +1.99563
25:	m3o +4.01427
26:	m3o +5.91590
27:	m3o +7.84388
28:	m4o -7.92400
39:	m4o -6.05620
30:	m4o -3.95860
31:	m4o -1.94610
32:	m4o +0.00000
33:	m4o +1.90420
34:	m4o +4.13310
35:	m4o +6.26770
36:	m4o +8.03800
37:	m5o -7.85630
38:	m5o -5.97788
39:	m5o -3.89400
40:	m5o -1.95900
41:	m5o +0.00000
42:	m5o +2.03150
43:	m5o +4.07000
44:	m5o +6.09580
45:	m5o +7.95190
