ScannableNames	Module	cam1_x	cam1_z	cam1_roll	t3_x	t3_m1y	s2_xs	s2_ys	magnification	object_pixel_size	Resolution	HFOV	VFOV	ss1_x	ball-diameter ss1_rz
ScannableUnits	No.	mm	mm	deg	mm	mm	mm	mm	one	micron	micron	mm	mm	mm	mm deg
1	55.300	-91.55	-1.007	1350.85	39.45	40.000	12.000	0.721	12.475	24.950	50.000	33.333	-100	5	0.777
2	137.05	-70.15	-0.647	1351.75	39.81	18.000	12.000	1.822	4.94	9.980	19.800	13.200	-100	3	0.298
3	215.00	-48.25	-0.057	1352.54	40.21	8.000	7.000	5.066	1.776	4.491	7.120	4.747	-100	2	0.088
4	290.185	-59.5	-0.644	1351.66	39.61	5.000	3.500	9.321	0.966	1.796	3.870	2.580	-100	1	0.459
#Values below for visible light lens system
#1	52.000	-91.55	-0.777	1351.550	-40	40.000	12.000	0.721	49.6	24.950	50.000	33.333	-100	5	0.777
#2	137.05	-70.900	-0.298	1348.750	-40	18.000	12.000	1.822	49.6	9.980	19.800	13.200	-100	3	0.298
#3	215.00	-52.4	-0.088	1350.540	-40	8.000	7.000	5.066	49.6	4.491	7.120	4.747	-100	2	0.088
#4	290.185	-59.5	-0.459	1350.290	-40	5.000	3.500	9.321	49.6	1.796	3.870	2.580	-100	1	0.459

