drbv	t3_m1y	t3_x
-1995.908594	0	0
-1985.908594	-7.1754	3.21198
-1975.908594	-8.75608	3.90629
-1965.908594	-13.59293	7.60878
-1955.908594	-17.71068	10.56459
-1945.908594	-20.94563	12.85639
-1935.908594	-26.45182	15.64292
-1925.908594	-31.35956	18.48041
-1915.908594	-37.74276	20.82657
-1905.908594	-39.16291	21.36054
-1895.908594	-42.51715	23.68761
-1885.908594	-44.42985	24.30313
-1875.908594	-54.0076	29.22313
-1865.908594	-59.81608	32.14631
-1855.908594	-65.412	35.29532
-1845.908594	-67.1414	35.90609
-1835.908594	-77.54383	41.28662
-1825.908594	-83.76719	44.31298
-1815.908594	-85.68184	44.99271
-1805.908594	-96.65371	50.44431
-1795.908594	-98.36394	51.1337
-1785.908594	-105.11857	54.27645
-1775.908594	-111.72659	56.89749
-1765.908594	-123.29124	61.66741
-1755.908594	-125.30833	62.12729
-1745.908594	-130.72071	63.99002
-1735.908594	-137.83017	66.2904
-1725.908594	-145.52788	68.31904
-1715.908594	-153.40119	70.14767
-1705.908594	-156.04614	70.5885
-1695.908594	-168.93123	73.68567
-1685.908594	-176.58648	74.86934
-1675.908594	-178.76301	75.1102
-1665.908594	-190.56265	77.25354
-1655.908594	-197.52939	78.11171
-1645.908594	-204.379	78.99879
-1635.908594	-210.50686	79.95832
-1625.908594	-216.21866	80.88686
-1615.908594	-217.95066	81.03961
-1605.908594	-226.18979	83.30392
-1595.908594	-227.39663	83.36061
-1585.908594	-235.46676	84.92848
-1575.908594	-236.47758	85.02409
-1565.908594	-241.21627	85.51105
-1555.908594	-245.88546	86.04159
-1545.908594	-250.19461	86.91758
-1535.908594	-256.99074	88.35928
-1525.908594	-258.47963	88.46895
-1515.908594	-265.05814	90.79895
-1505.908594	-266.30281	90.99088
-1495.908594	-270.89012	92.24045
-1485.908594	-274.6996	93.41728
-1475.908594	-278.38113	94.74264
-1465.908594	-279.50301	94.94558
-1455.908594	-282.84798	95.98411
-1445.908594	-287.06404	97.57457
-1435.908594	-291.97928	99.38528
-1425.908594	-293.52502	99.82309
-1415.908594	-297.55819	101.28369
-1405.908594	-302.59441	103.17124
-1395.908594	-303.96954	103.72612
-1385.908594	-307.90612	105.47569
-1375.908594	-313.37914	107.43141
-1365.908594	-318.11165	109.59813
-1355.908594	-319.70408	110.19616
-1345.908594	-327.43629	114.0204
-1335.908594	-328.81833	114.42853
-1325.908594	-331.74957	116.10998
-1315.908594	-332.89175	116.7174
-1305.908594	-340.34138	120.24144
-1295.908594	-344.69382	122.41817
-1285.908594	-348.56652	124.58385
-1275.908594	-349.89212	125.00804
-1265.908594	-353.18839	126.44344
-1255.908594	-357.06052	128.50503
-1245.908594	-358.16018	128.98374
-1235.908594	-361.0074	130.7341
-1225.908594	-362.06467	131.17184
-1215.908594	-368.87518	135.12751
-1205.908594	-372.3289	137.48834
-1195.908594	-375.02213	139.66052
-1185.908594	-375.95092	140.11142
-1175.908594	-378.19973	142.38395
-1165.908594	-380.39148	144.2197
-1155.908594	-383.02029	145.90582
-1145.908594	-384.66744	147.49835
-1135.908594	-388.60194	150.68145
-1125.908594	-391.30215	152.56802
-1115.908594	-392.14165	153.1912
-1105.908594	-393.56349	154.60391
-1095.908594	-394.78445	155.09452
-1085.908594	-399.02087	157.02213
-1075.908594	-402.59935	158.76814
-1065.908594	-410.32654	161.94365
-1055.908594	-414.44545	163.75598
-1045.908594	-415.69074	164.19083
-1035.908594	-423.55613	167.28081
-1025.908594	-425.14525	167.46857
-1015.908594	-428.11632	168.61617
-1005.908594	-429.69252	168.98646
-995.908594	-433.13016	170.20965
-985.908594	-438.84313	171.21627
-975.908594	-443.46592	172.28622
-965.908594	-445.11271	172.48591
-955.908594	-454.58974	174.10369
-945.908594	-456.65027	174.05486
-935.908594	-460.23036	174.45955
-925.908594	-462.09895	174.62917
-915.908594	-468.66079	175.03139
-905.908594	-478.39278	175.24025
-895.908594	-484.25957	175.13422
-885.908594	-486.09134	174.81535
-875.908594	-490.47392	174.46236
-865.908594	-492.09105	174.13296
-855.908594	-496.37695	174.04386
-845.908594	-501.62365	173.46684
-835.908594	-506.95363	173.013
-825.908594	-511.41408	172.8444
-815.908594	-515.7393	172.48772
-805.908594	-516.94348	172.06641
-795.908594	-524.41697	170.74869
-785.908594	-528.86327	169.83696
-775.908594	-530.27698	169.43832
-765.908594	-535.51902	168.33925
-755.908594	-540.04897	167.50249
-745.908594	-547.90593	165.93031
-735.908594	-549.43921	165.49364
-725.908594	-555.52049	164.42746
-715.908594	-556.46178	164.09061
-705.908594	-558.95243	163.94986
-695.908594	-560.03275	163.62405
-685.908594	-561.95152	163.44819
-675.908594	-562.55198	163.29105
-665.908594	-567.06556	163.1011
-655.908594	-567.73407	162.89588
-645.908594	-568.86844	163.13707
-635.908594	-569.57154	162.97298
-625.908594	-573.3789	163.19878
-615.908594	-574.36819	163.14388
-605.908594	-575.64033	163.40498
-595.908594	-576.06585	163.41686
-585.908594	-577.36668	163.96187
-575.908594	-579.9158	164.20296
-565.908594	-582.42933	164.74746
-555.908594	-583.07392	164.71627
-545.908594	-585.62299	165.4181
-535.908594	-587.75026	165.69858
-525.908594	-588.74084	166.19258
-515.908594	-589.83956	166.68706
-505.908594	-591.36609	166.74163
-495.908594	-591.71089	166.72865
-485.908594	-594.37954	167.21948
-475.908594	-596.31608	167.20777
-465.908594	-596.53302	167.11213
-455.908594	-597.38268	167.99101
-445.908594	-597.55992	168.02944
-435.908594	-598.53898	168.52954
-425.908594	-598.26094	169.04683
-415.908594	-598.33234	170.08129
