# bragg	idgap
Units	Deg	mm
60.000 6.20850
59.000 6.25416
58.990 6.25480
58.980 6.25545
58.970 6.25610
58.960 6.25675
58.950 6.25740
58.940 6.25805
58.930 6.25870
58.920 6.25934
58.910 6.25999
58.900 6.26064
58.890 6.26129
58.880 6.26194
58.870 6.26259
58.860 6.26325
58.850 6.26390
58.840 6.26455
58.830 6.26520
58.820 6.26585
58.810 6.26651
58.800 6.26716
58.790 6.26781
58.780 6.26847
58.770 6.26912
58.760 6.26977
58.750 6.27042
58.740 6.27108
58.730 6.27173
58.720 6.27239
58.710 6.27304
58.700 6.27370
58.690 6.27435
58.680 6.27501
58.670 6.27567
58.660 6.27632
58.650 6.27698
58.600 6.29255
58.590 6.29320
58.580 6.29384
58.570 6.29449
58.560 6.29513
58.550 6.29578
58.540 6.29643
58.530 6.29707
58.520 6.29772
58.510 6.29837
58.500 6.30572
58.490 6.30639
58.480 6.30706
58.470 6.30772
58.460 6.30839
58.450 6.30906
58.440 6.30972
58.430 6.31039
58.420 6.31106
58.410 6.31173
58.400 6.31239
58.390 6.31306
58.380 6.31373
58.370 6.31440
58.360 6.31507
58.350 6.31574
58.340 6.31641
58.330 6.31708
58.320 6.31775
58.310 6.31842
58.300 6.31909
58.290 6.31976
58.280 6.32043
58.270 6.32110
58.260 6.32177
58.000 6.32193
57.990 6.32257
57.980 6.32322
57.970 6.32386
57.960 6.32451
57.950 6.32516
57.940 6.32580
57.930 6.32645
57.920 6.32710
57.910 6.32775
57.900 6.32840
57.890 6.32905
57.880 6.32970
57.870 6.33035
57.860 6.33100
57.850 6.33165
57.840 6.33230
57.830 6.33295
57.820 6.33360
57.810 6.33426
57.800 6.33491
57.790 6.33556
57.780 6.33622
57.770 6.33687
57.760 6.33752
57.750 6.33818
57.740 6.33883
57.730 6.33949
57.720 6.34014
57.710 6.34080
57.700 6.34146
57.690 6.34211
57.680 6.34277
57.670 6.34343
57.660 6.34409
57.650 6.34475
57.640 6.34540
57.630 6.34606
57.620 6.34672
57.610 6.34738
57.600 6.34804
57.590 6.34870
57.580 6.34937
57.570 6.35003
57.500 6.35158
57.490 6.35226
57.480 6.35294
57.470 6.35362
57.460 6.35431
57.450 6.35499
57.440 6.35567
57.430 6.35636
57.420 6.35704
57.410 6.35773
57.400 6.35841
57.390 6.35910
57.380 6.35978
57.370 6.36047
57.360 6.36115
57.350 6.36184
57.340 6.36253
57.330 6.36322
57.320 6.36390
57.310 6.36459
57.300 6.36528
57.290 6.36597
57.280 6.36666
57.270 6.36734
57.260 6.36803
57.250 6.36872
57.240 6.36941
57.230 6.37010
57.220 6.37080
57.210 6.37149
57.200 6.37218
57.190 6.37287
57.180 6.37356
57.170 6.37426
57.160 6.37495
57.150 6.37564
57.140 6.37633
57.130 6.37703
57.120 6.37772
57.110 6.37842
57.100 6.37911
57.090 6.37981
57.080 6.38050
57.070 6.38120
57.060 6.38189
57.050 6.38259
57.040 6.38329
57.030 6.38398
57.020 6.38468
57.010 6.38538
57.000 6.38608
56.990 6.38678
56.980 6.38747
56.970 6.38817
56.960 6.38887
56.950 6.38957
56.940 6.39027
56.930 6.39097
56.920 6.39167
56.910 6.39237
56.900 6.39307
56.890 6.39378
56.880 6.39448
56.870 6.39518
56.860 6.39588
56.850 6.39659
56.840 6.39729
56.830 6.39799
56.820 6.39870
56.810 6.39940
56.800 6.40011
56.790 6.40081
56.780 6.40152
56.770 6.40222
56.760 6.40293
56.750 6.40363
56.740 6.40434
56.730 6.40505
56.720 6.40575
56.710 6.40646
56.700 6.40717
56.690 6.40788
56.680 6.40859
56.670 6.40930
56.660 6.41000
56.650 6.41071
56.640 6.41142
56.630 6.41214
56.620 6.41284
56.610 6.41356
56.600 6.41427
56.590 6.41498
56.580 6.41569
56.570 6.41640
56.560 6.41712
56.550 6.41783
56.540 6.41854
56.530 6.41926
56.520 6.41997
56.510 6.42068
56.500 6.42140
56.490 6.42211
56.480 6.42283
56.470 6.42354
56.460 6.42426
56.450 6.42497
56.440 6.42569
56.430 6.42641
56.420 6.42712
56.410 6.42784
56.400 6.42856
56.390 6.42928
56.380 6.43000
56.370 6.43071
56.360 6.43143
56.350 6.43215
56.340 6.43287
56.330 6.43359
56.320 6.43431
56.310 6.43503
56.300 6.43575
56.290 6.43648
56.280 6.43720
56.270 6.43792
56.260 6.43864
56.250 6.43936
56.240 6.44009
56.230 6.44081
56.220 6.44153
56.210 6.44226
56.200 6.44298
56.190 6.44371
56.180 6.44443
56.170 6.44516
56.160 6.44588
56.150 6.44661
56.140 6.44734
56.130 6.44806
56.120 6.44879
56.110 6.44952
56.100 6.45024
56.090 6.45097
56.080 6.45170
56.070 6.45243
56.060 6.45316
56.050 6.45389
56.040 6.45462
56.030 6.45535
56.020 6.45608
56.010 6.45681
56.000 6.45754
55.990 6.45827
55.980 6.45900
55.970 6.45973
55.960 6.46046
55.950 6.46120
55.940 6.46193
55.930 6.46266
55.920 6.46340
55.910 6.46413
55.900 6.46486
55.890 6.46560
55.880 6.46633
55.870 6.46707
55.860 6.46780
55.850 6.46854
55.840 6.46928
55.830 6.47001
55.820 6.47075
55.810 6.47149
55.800 6.47222
55.790 6.47296
55.780 6.47370
55.770 6.47444
55.760 6.47518
55.750 6.47592
55.740 6.47666
55.730 6.47740
55.720 6.47814
55.710 6.47888
55.700 6.47962
55.690 6.48036
55.680 6.48110
55.670 6.48184
55.660 6.48258
55.650 6.48333
55.640 6.48407
55.630 6.48481
55.620 6.48555
55.610 6.48630
55.600 6.48704
55.590 6.48779
55.580 6.48853
55.570 6.48928
55.560 6.49002
55.550 6.49077
55.540 6.49151
55.530 6.49226
55.520 6.49300
55.510 6.49375
55.500 6.49450
