# bragg	idgap
Units	Deg	mm
60.000 6.20850
59.000 6.25416
58.990 6.25480
58.980 6.25545
58.970 6.25610
58.960 6.25675
58.950 6.25740
58.940 6.25805
58.930 6.25870
58.920 6.25934
58.910 6.25999
58.900 6.26064
58.890 6.26129
58.880 6.26194
58.870 6.26259
58.860 6.26325
58.850 6.26390
58.840 6.26455
58.830 6.26520
58.820 6.26585
58.810 6.26651
58.800 6.26716
58.790 6.26781
58.780 6.26847
58.770 6.26912
58.760 6.26977
58.750 6.27042
58.740 6.27108
58.730 6.27173
58.720 6.27239
58.710 6.27304
58.700 6.27370
58.690 6.27435
58.680 6.27501
58.670 6.27567
58.660 6.27632
58.650 6.27698
58.600 6.29255
58.590 6.29320
58.580 6.29384
58.570 6.29449
58.560 6.29513
58.550 6.29578
58.540 6.29643
58.530 6.29707
58.520 6.29772
58.510 6.29837
58.500 6.30572
58.490 6.30639
58.480 6.30706
58.470 6.30772
58.460 6.30839
58.450 6.30906
58.440 6.30972
58.430 6.31039
58.420 6.31106
58.410 6.31173
58.400 6.31239
58.390 6.31306
58.380 6.31373
58.370 6.31440
58.360 6.31507
58.350 6.31574
58.340 6.31641
58.330 6.31708
58.320 6.31775
58.310 6.31842
58.300 6.31909
58.290 6.31976
58.280 6.32043
58.270 6.32110
58.260 6.32177
58.000 6.32193
57.990 6.32257
57.980 6.32322
57.970 6.32386
57.960 6.32451
57.950 6.32516
57.940 6.32580
57.930 6.32645
57.920 6.32710
57.910 6.32775
57.900 6.32840
57.890 6.32905
57.880 6.32970
57.870 6.33035
57.860 6.33100
57.850 6.33165
57.840 6.33230
57.830 6.33295
57.820 6.33360
57.810 6.33426
57.800 6.33491
57.790 6.33556
57.780 6.33622
57.770 6.33687
57.760 6.33752
57.750 6.33818
57.740 6.33883
57.730 6.33949
57.720 6.34014
57.710 6.34080
57.700 6.34146
57.690 6.34211
57.680 6.34277
57.670 6.34343
57.660 6.34409
57.650 6.34475
57.640 6.34540
57.630 6.34606
57.620 6.34672
57.610 6.34738
57.600 6.34804
57.590 6.34870
57.580 6.34937
57.570 6.35003
57.560 6.35069
57.550 6.35135
57.540 6.35201
57.530 6.35268
57.520 6.35334
57.510 6.35400
57.500 6.35467
57.490 6.35533
57.480 6.35600
57.470 6.35666
57.460 6.35733
57.450 6.35799
57.440 6.35866
57.430 6.35933
57.420 6.35999
57.410 6.36066
57.400 6.36133
57.390 6.36200
57.380 6.36267
57.370 6.36334
57.360 6.36401
57.350 6.36468
57.340 6.36535
57.330 6.36602
57.320 6.36669
57.310 6.36736
57.300 6.36803
57.290 6.36871
57.280 6.36938
57.270 6.37005
57.260 6.37073
57.250 6.37140
57.240 6.37207
57.230 6.37275
57.220 6.37342
57.210 6.37410
57.200 6.37477
57.190 6.37545
57.180 6.37613
57.170 6.37680
57.160 6.37748
57.150 6.37816
57.140 6.37884
57.130 6.37951
57.120 6.38019
57.110 6.38087
57.100 6.38155
57.090 6.38223
57.080 6.38291
57.070 6.38359
57.060 6.38427
57.050 6.38496
57.040 6.38564
57.030 6.38632
57.020 6.38700
57.010 6.38769
57.000 6.38837
56.990 6.38905
56.980 6.38974
56.970 6.39042
56.960 6.39111
56.950 6.39179
56.940 6.39248
56.930 6.39316
56.920 6.39385
56.910 6.39454
56.900 6.39522
56.890 6.39591
56.880 6.39660
56.870 6.39729
56.860 6.39798
56.850 6.39867
56.840 6.39935
56.830 6.40005
56.820 6.40074
56.810 6.40143
56.800 6.40212
56.790 6.40281
56.780 6.40350
56.770 6.40419
56.760 6.40489
56.750 6.40558
56.740 6.40627
56.730 6.40697
56.720 6.40766
56.710 6.40835
56.700 6.40905
56.690 6.40975
56.680 6.41044
56.670 6.41114
56.660 6.41183
56.650 6.41253
56.640 6.41323
56.630 6.41392
56.620 6.41462
56.610 6.41532
56.600 6.41602
56.590 6.41672
56.580 6.41742
56.570 6.41812
56.560 6.41882
56.550 6.41952
56.540 6.42022
56.530 6.42092
56.520 6.42162
56.510 6.42233
56.500 6.42303
56.490 6.42373
56.480 6.42443
56.470 6.42514
56.460 6.42584
56.450 6.42655
56.440 6.42725
56.430 6.42796
56.420 6.42866
56.410 6.42937
56.400 6.43007
56.390 6.43078
56.380 6.43149
56.370 6.43220
56.360 6.43291
56.350 6.43361
56.340 6.43432
56.330 6.43503
56.320 6.43574
56.310 6.43645
56.300 6.43716
56.290 6.43787
56.280 6.43858
56.270 6.43929
56.260 6.44001
56.250 6.44072
56.240 6.44143
56.230 6.44214
56.220 6.44286
56.210 6.44357
56.200 6.44428
56.190 6.44500
56.180 6.44571
56.170 6.44643
56.160 6.44714
56.150 6.44786
56.140 6.44858
56.130 6.44929
56.120 6.45001
56.110 6.45073
56.100 6.45145
56.090 6.45216
56.080 6.45288
56.070 6.45360
56.060 6.45432
56.050 6.45504
56.040 6.45576
56.030 6.45648
56.020 6.45720
56.010 6.45792
56.000 6.45865
55.990 6.45937
55.980 6.46009
55.970 6.46081
55.960 6.46154
55.950 6.46226
55.940 6.46299
55.930 6.46371
55.920 6.46444
55.910 6.46516
55.900 6.46589
55.890 6.46661
55.880 6.46734
55.870 6.46806
55.860 6.46879
55.850 6.46952
55.840 6.47025
55.830 6.47098
55.820 6.47170
55.810 6.47243
55.800 6.47316
55.790 6.47389
55.780 6.47462
55.770 6.47535
55.760 6.47608
55.750 6.47682
55.740 6.47755
55.730 6.47828
55.720 6.47901
55.710 6.47974
55.700 6.48048
55.690 6.48121
55.680 6.48195
55.670 6.48268
55.660 6.48342
55.650 6.48415
55.640 6.48489
55.630 6.48562
55.620 6.48636
55.610 6.48709
55.600 6.48783
55.590 6.48857
55.580 6.48931
55.570 6.49005
55.560 6.49078
