# bragg	idgap
Units	Deg	mm
17.397 6.00900
17.200 6.07920
17.190 6.08233
17.180 6.08545
17.170 6.08859
17.160 6.09172
17.150 6.09487
17.140 6.09801
17.130 6.10116
17.120 6.10432
17.110 6.10748
17.100 6.11065
17.090 6.11382
17.080 6.11699
17.070 6.12017
17.000 6.12168
16.990 6.12506
16.980 6.12845
16.970 6.13185
16.960 6.13525
16.950 6.13865
16.940 6.14206
16.930 6.14547
16.920 6.14889
16.910 6.15231
16.900 6.15573
16.890 6.15916
16.880 6.16259
16.870 6.16603
16.860 6.16947
16.850 6.17291
16.840 6.17636
16.830 6.17981
16.820 6.18327
16.810 6.18672
16.800 6.19019
16.790 6.19366
16.780 6.19713
16.770 6.20060
16.760 6.20408
16.750 6.20756
16.740 6.21105
16.730 6.21454
16.720 6.21804
16.710 6.22153
16.700 6.22504
16.690 6.22854
16.680 6.23205
16.670 6.23557
16.660 6.23909
16.650 6.24261
16.640 6.24614
16.630 6.24967
16.620 6.25320
16.610 6.25674
16.600 6.26028
16.590 6.26383
16.580 6.26738
16.570 6.27093
16.560 6.27449
16.550 6.27805
16.540 6.28161
16.530 6.28518
16.520 6.28876
16.510 6.29234
16.500 6.29592
16.490 6.29950
16.480 6.30309
16.470 6.30669
16.460 6.31028
16.450 6.31388
16.440 6.31749
16.430 6.32110
16.420 6.32471
16.410 6.32833
16.400 6.33195
16.390 6.33558
16.380 6.33920
16.370 6.34284
16.360 6.34647
16.350 6.35011
16.340 6.35376
16.330 6.35741
16.320 6.36106
16.310 6.36472
16.300 6.36838
16.290 6.37204
16.280 6.37571
16.270 6.37938
16.260 6.38306
16.250 6.38674
16.240 6.39042
16.230 6.39411
16.220 6.39780
16.210 6.40149
16.200 6.40520
16.190 6.40890
16.180 6.41261
16.170 6.41632
16.160 6.42003
16.150 6.42375
16.140 6.42748
16.130 6.43120
16.120 6.43494
16.110 6.43867
16.100 6.44241
16.090 6.44615
16.080 6.44990
16.070 6.45365
16.060 6.45741
16.050 6.46117
16.040 6.46493
16.030 6.46869
16.020 6.47247
16.010 6.47624
16.000 6.48002
15.990 6.48380
15.980 6.48759
15.970 6.49138
15.960 6.49517
15.950 6.49897
15.940 6.50278
15.930 6.50658
15.920 6.51039
15.910 6.51420
15.900 6.51802
15.890 6.52185
15.880 6.52567
15.870 6.52950
15.860 6.53334
15.850 6.53717
15.840 6.54101
15.830 6.54486
15.820 6.54871
15.810 6.55256
15.800 6.55642
15.790 6.56028
15.780 6.56415
15.770 6.56802
15.760 6.57189
15.750 6.57577
15.740 6.57965
15.730 6.58353
15.720 6.58742
15.710 6.59132
15.700 6.59521
15.690 6.59911
15.680 6.60302
15.670 6.60693
15.660 6.61084
15.650 6.61476
15.640 6.61868
15.630 6.62260
15.620 6.62653
15.610 6.63046
15.600 6.63440
15.590 6.63834
15.580 6.64228
15.570 6.64623
15.560 6.65018
15.550 6.65414
15.540 6.65810
15.530 6.66206
15.520 6.66603
15.510 6.67000
15.500 6.67398
15.490 6.67796
15.480 6.68194
15.470 6.68593
15.460 6.68992
15.450 6.69392
15.440 6.69792
15.430 6.70192
15.420 6.70593
15.410 6.70994
15.400 6.71396
15.390 6.71797
15.380 6.72200
15.370 6.72602
15.360 6.73006
15.350 6.73409
15.340 6.73813
15.330 6.74217
15.320 6.74622
15.310 6.75027
15.300 6.75433
15.290 6.75838
15.280 6.76245
15.270 6.76651
15.260 6.77058
15.250 6.77466
15.240 6.77874
15.230 6.78282
15.220 6.78691
15.210 6.79100
15.200 6.79509
15.190 6.79919
15.180 6.80329
15.170 6.80739
15.160 6.81151
15.150 6.81562
15.140 6.81974
15.130 6.82386
15.120 6.82798
15.110 6.83211
15.100 6.83625
15.090 6.84039
15.080 6.84453
15.070 6.84867
15.060 6.85282
15.050 6.85697
15.040 6.86113
15.030 6.86529
15.020 6.86946
15.010 6.87363
15.000 6.87780
14.990 6.88198
14.980 6.88616
14.970 6.89034
14.960 6.89453
14.950 6.89873
14.940 6.90292
14.930 6.90712
14.920 6.91133
14.910 6.91553
14.900 6.91975
14.890 6.92396
14.880 6.92818
14.870 6.93241
14.860 6.93664
14.850 6.94087
14.840 6.94510
14.830 6.94934
14.820 6.95359
14.810 6.95784
14.800 6.96209
14.790 6.96634
14.780 6.97060
14.770 6.97487
14.760 6.97914
14.750 6.98341
14.740 6.98768
14.730 6.99196
14.720 6.99625
14.710 7.00053
14.700 7.00483
14.690 7.00912
14.680 7.01342
14.670 7.01772
14.660 7.02203
14.650 7.02634
14.640 7.03065
14.630 7.03497
14.620 7.03930
14.610 7.04362
14.600 7.04795
14.590 7.05229
14.580 7.05663
14.570 7.06097
14.560 7.06532
14.550 7.06967
14.540 7.07402
14.530 7.07838
14.520 7.08274
14.510 7.08711
14.500 7.09148
14.490 7.09585
14.480 7.10023
14.470 7.10461
14.460 7.10900
14.450 7.11339
14.440 7.11682
14.430 7.12122
14.420 7.12562
14.410 7.13004
14.400 7.13445
14.390 7.13888
14.380 7.14330
14.370 7.14774
14.360 7.15218
14.350 7.15663
14.340 7.16108
14.330 7.16554
14.320 7.17001
14.310 7.17448
14.300 7.17896
14.290 7.18344
14.280 7.18793
14.270 7.19243
14.260 7.19694
14.250 7.20144
14.240 7.20596
14.230 7.21048
14.220 7.21501
14.210 7.21954
14.200 7.22414
14.190 7.22864
14.180 7.23315
14.170 7.23766
14.160 7.24218
14.150 7.24670
14.140 7.25123
14.130 7.25577
14.120 7.26032
14.110 7.26487
14.100 7.26943
14.090 7.27399
14.080 7.27857
14.070 7.28314
14.060 7.28773
14.050 7.29232
14.040 7.29692
14.030 7.30153
14.020 7.30614
14.010 7.31076
14.000 7.31538
13.990 7.32002
13.980 7.32466
13.970 7.32930
13.960 7.33395
13.950 7.33861
13.940 7.34328
13.930 7.34795
13.920 7.35263
13.910 7.35732
13.900 7.36201
13.890 7.36671
13.880 7.37142
13.870 7.37613
13.860 7.38085
13.850 7.38558
13.840 7.39031
13.830 7.39505
13.820 7.39980
13.810 7.40455
13.800 7.40931
13.790 7.41408
13.780 7.41885
13.770 7.42364
13.760 7.42842
13.750 7.43322
13.740 7.43802
13.730 7.44283
13.720 7.44764
13.710 7.45246
13.700 7.45729
13.690 7.46212
13.680 7.46696
13.670 7.47181
13.660 7.47667
13.650 7.48153
13.640 7.48640
13.630 7.49127
13.620 7.49615
13.610 7.50104
13.600 7.50594
13.590 7.51084
13.580 7.51575
13.570 7.52066
13.560 7.52558
13.550 7.53051
13.540 7.53545
13.530 7.54039
13.520 7.54534
13.510 7.55030
13.500 7.55526
13.490 7.56023
13.480 7.56520
13.470 7.57018
13.460 7.57517
13.450 7.58017
13.440 7.58517
13.430 7.59018
13.420 7.59520
13.410 7.60022
13.400 7.60525
13.390 7.61029
13.380 7.61533
13.370 7.62038
13.360 7.62544
13.350 7.63050
13.340 7.63557
13.330 7.64065
13.320 7.64573
13.310 7.65082
13.300 7.65592
13.290 7.66102
13.280 7.66613
13.270 7.67125
13.260 7.67637
13.250 7.68151
13.240 7.68664
13.230 7.69179
13.220 7.69694
13.210 7.70210
13.200 7.70726
13.190 7.71243
13.180 7.71761
13.170 7.72279
13.160 7.72799
13.150 7.73318
13.140 7.73839
13.130 7.74360
13.120 7.74882
13.110 7.75404
13.100 7.75927
13.090 7.76451
13.080 7.76976
13.070 7.77501
13.060 7.78027
13.050 7.78553
13.040 7.79081
13.030 7.79608
13.020 7.80137
13.010 7.80666
13.000 7.81196
12.990 7.81727
12.980 7.82258
12.970 7.82790
12.960 7.83323
12.950 7.83856
12.940 7.84390
12.930 7.84924
12.920 7.85460
12.910 7.85995
12.900 7.86532
12.890 7.87069
12.880 7.87607
12.870 7.88146
12.860 7.88685
12.850 7.89225
12.840 7.89766
12.830 7.90307
12.820 7.90849
12.810 7.91392
12.800 7.91935
12.790 7.92480
12.780 7.93024
12.770 7.93569
12.760 7.94116
12.750 7.94662
12.740 7.95210
12.730 7.95758
12.720 7.96307
12.710 7.96856
12.700 7.97406
12.690 7.97957
12.680 7.98508
12.670 7.99060
12.660 7.99613
12.650 8.00167
12.640 8.00721
12.630 8.01276
12.620 8.01831
12.610 8.02387
12.600 8.02944
12.590 8.03502
12.580 8.04060
12.570 8.04619
12.560 8.05178
12.550 8.05738
12.540 8.06299
12.530 8.06861
12.520 8.07423
12.510 8.07986
12.500 8.08549
12.490 8.09114
12.480 8.09678
12.470 8.10244
12.460 8.10810
12.450 8.11377
12.440 8.11945
12.430 8.12513
12.420 8.13082
12.410 8.13652
12.400 8.14222
12.390 8.14793
12.380 8.15365
12.370 8.15937
12.360 8.16510
12.350 8.17084
12.340 8.17658
12.330 8.18233
12.320 8.18809
12.310 8.19385
12.300 8.19962
12.290 8.20540
12.280 8.21118
12.270 8.21697
12.260 8.22277
12.250 8.22857
12.240 8.23438
12.230 8.24020
12.220 8.24602
12.210 8.25185
12.200 8.25769
12.190 8.26354
12.180 8.26939
12.170 8.27524
12.160 8.28111
12.150 8.28698
12.140 8.29286
12.130 8.29874
12.120 8.30463
12.110 8.31053
12.100 8.31644
12.090 8.32235
12.080 8.32827
12.070 8.33419
12.060 8.34012
12.050 8.34606
12.040 8.35201
12.030 8.35796
12.020 8.36392
12.010 8.36988
12.000 8.37586
11.990 8.38183
11.980 8.38782
11.970 8.39381
11.960 8.39981
11.950 8.40582
11.940 8.41183
11.930 8.41785
11.920 8.42388
11.910 8.42991
11.900 8.43595
11.890 8.44199
11.880 8.44805
11.870 8.45411
11.860 8.46017
11.850 8.46625
11.840 8.47233
11.830 8.47841
11.820 8.48451
11.810 8.49061
11.800 8.49671
11.790 8.50560
11.780 8.51183
11.770 8.51807
11.760 8.52433
11.750 8.53059
11.740 8.53685
11.730 8.54313
11.720 8.54941
11.710 8.55570
11.700 8.56200
11.690 8.56831
11.680 8.57463
11.670 8.58095
11.660 8.58728
11.650 8.59362
11.640 8.59997
11.630 8.60633
11.620 8.61269
11.610 8.61906
11.600 8.62544
11.590 8.63183
11.580 8.63823
