#Bragg	gap
Units mDeg mm 
11000.00 5.97800
10990.00 5.98619
10980.00 5.99153
10970.00 5.99688
10960.00 6.00223
10950.00 6.00760
10940.00 6.01297
10930.00 6.01834
10900.00 6.02178
10890.00 6.02715
10880.00 6.03252
10870.00 6.03791
10860.00 6.04330
10850.00 6.04870
10840.00 6.05411
10830.00 6.05953
10820.00 6.06495
10810.00 6.07039
10800.00 6.07584
10790.00 6.08129
10780.00 6.08675
10770.00 6.09222
10760.00 6.09770
10750.00 6.10319
10740.00 6.10869
10730.00 6.11420
10720.00 6.11971
10710.00 6.12524
10700.00 6.13077
10690.00 6.13632
10680.00 6.14187
10670.00 6.14743
10660.00 6.15299
10650.00 6.15857
10640.00 6.16416
10630.00 6.16976
10620.00 6.17536
10610.00 6.18097
10600.00 6.18660
10590.00 6.19223
10580.00 6.19787
10570.00 6.20352
10560.00 6.20917
10550.00 6.21484
10540.00 6.22051
10530.00 6.22620
10520.00 6.23189
10510.00 6.23759
10500.00 6.24331
10490.00 6.24902
10480.00 6.25475
10470.00 6.26049
10460.00 6.26624
10450.00 6.27199
10440.00 6.27776
10430.00 6.28353
10420.00 6.28931
10410.00 6.29510
10400.00 6.30090
10390.00 6.30671
10380.00 6.31252
10370.00 6.31835
10360.00 6.32419
10350.00 6.33003
10340.00 6.33588
10330.00 6.34174
10320.00 6.34761
10310.00 6.35349
10300.00 6.35938
10290.00 6.36528
10280.00 6.37118
10270.00 6.37710
10260.00 6.38302
10250.00 6.38895
10240.00 6.39489
10230.00 6.40084
10220.00 6.40680
10210.00 6.41277
10200.00 6.41875
10190.00 6.42473
10180.00 6.43073
10170.00 6.43673
10160.00 6.44274
10150.00 6.44876
10140.00 6.45479
10130.00 6.46083
10120.00 6.46688
10110.00 6.47293
10100.00 6.47900
10090.00 6.48507
10080.00 6.49116
10070.00 6.49725
10060.00 6.50335
10050.00 6.50946
10040.00 6.51558
10030.00 6.52170
10020.00 6.52784
10010.00 6.53399
10000.00 6.54014
9990.00 6.54630
9980.00 6.55247
9970.00 6.55865
9960.00 6.56484
9950.00 6.57104
9940.00 6.57725
9930.00 6.58346
9920.00 6.58969
9910.00 6.59592
9900.00 6.60216
9890.00 6.60841
9880.00 6.61467
9870.00 6.62094
9860.00 6.62722
9850.00 6.63351
9840.00 6.63980
9830.00 6.64611
9820.00 6.65242
9810.00 6.65874
9800.00 6.66507
9790.00 6.67141
9780.00 6.67776
9770.00 6.68412
9760.00 6.69048
9750.00 6.69686
9740.00 6.70324
9730.00 6.70964
9720.00 6.71604
9710.00 6.72245
9700.00 6.72887
9690.00 6.73530
9680.00 6.74173
9670.00 6.74818
9660.00 6.75463
9650.00 6.76110
9640.00 6.76757
9630.00 6.77405
9620.00 6.78054
9610.00 6.78704
9600.00 6.79355
9590.00 6.80007
9580.00 6.80659
9570.00 6.81313
9560.00 6.81967
9550.00 6.82622
9540.00 6.83278
9530.00 6.83935
9520.00 6.84593
9510.00 6.85252
9500.00 6.85912
9490.00 6.86885
9480.00 6.87552
9470.00 6.88220
9460.00 6.88889
9450.00 6.89560
9440.00 6.90232
9430.00 6.90905
9420.00 6.91579
9410.00 6.92254
9400.00 6.92931
9390.00 6.93609
9380.00 6.94287
9370.00 6.94968
9360.00 6.95649
9350.00 6.96332
9340.00 6.97016
9330.00 6.97701
9320.00 6.98387
9310.00 6.99074
9300.00 6.99763
9290.00 7.00453
9280.00 7.01144
9270.00 7.01836
9260.00 7.02530
9250.00 7.03225
9240.00 7.03921
9230.00 7.04618
9220.00 7.05316
9210.00 7.06016
9200.00 7.06717
9190.00 7.07418
9180.00 7.08121
9170.00 7.08826
9160.00 7.09532
9150.00 7.10238
9140.00 7.10946
9130.00 7.11656
9120.00 7.12366
9110.00 7.13078
9100.00 7.13791
9090.00 7.14505
9080.00 7.15220
9070.00 7.15936
9060.00 7.16654
9050.00 7.17373
9040.00 7.18093
9030.00 7.18815
9020.00 7.19537
9010.00 7.20261
9000.00 7.20986
8990.00 7.21712
8980.00 7.22439
8970.00 7.23168
8960.00 7.23898
8950.00 7.24629
8940.00 7.27066
8930.00 7.27802
8920.00 7.28540
8910.00 7.29279
8900.00 7.30020
8890.00 7.30761
8880.00 7.31504
8870.00 7.32248
8860.00 7.32994
8850.00 7.33740
8840.00 7.34488
8830.00 7.35237
8820.00 7.35987
8810.00 7.36739
8800.00 7.37492
8790.00 7.38246
8780.00 7.39001
8770.00 7.39757
8760.00 7.40515
8750.00 7.41274
8740.00 7.42034
8730.00 7.42796
8700.00 7.43289
8690.00 7.44050
8680.00 7.44813
8670.00 7.45576
8660.00 7.46341
