#Bragg	gap
Units mDeg mm 
11000	5.978
10900   6.030
10800   6.085
10700   6.141
10600   6.19000
10500   6.24590
10400   6.30600
10300   6.36505
10200   6.42205
10100   6.48690
10050   6.51800
10000	6.54517
9996.98	6.54703
9993.97	6.54888
9990.95	6.55074
9987.94	6.5526
9984.92	6.55446
9981.91	6.55632
9978.89	6.55819
9975.88	6.56005
9972.86	6.56191
9969.85	6.56378
9966.83	6.56565
9963.82	6.56751
9960.8	6.56938
9957.79	6.57125
9954.77	6.57312
9951.76	6.57499
9948.74	6.57686
9945.73	6.57873
9942.71	6.58061
9939.7	6.58248
9936.68	6.58435
9933.67	6.58623
9930.65	6.58811
9927.64	6.58999
9924.62	6.59186
9921.61	6.59374
9918.59	6.59562
9915.58	6.59751
9912.56	6.59939
9909.55	6.60127
9906.53	6.60316
9903.52	6.60504
9900.5	6.60693
9897.49	6.60881
9894.47	6.6107
9891.46	6.61259
9888.44	6.61448
9885.43	6.61637
9882.41	6.61826
9879.4	6.62016
9876.38	6.62205
9873.37	6.62394
9870.35	6.62584
9867.34	6.62773
9864.32	6.62963
9861.31	6.63153
9858.29	6.63343
9855.28	6.63533
9852.26	6.63723
9849.25	6.63913
9846.23	6.64103
9843.22	6.64294
9840.2	6.64484
9837.19	6.64675
9834.17	6.64865
9831.16	6.65056
9828.14	6.65247
9825.13	6.65438
9822.11	6.65629
9819.1	6.6582
9816.08	6.66011
9813.07	6.66202
9810.05	6.66394
9807.04	6.66585
9804.02	6.66777
9801.01	6.66968
9800	6.67123
9796.23	6.67362
9792.46	6.676
9788.69	6.67839
9784.92	6.68078
9781.16	6.68317
9777.39	6.68556
9773.62	6.68795
9769.85	6.69035
9766.08	6.69274
9762.31	6.69514
9758.54	6.69754
9754.77	6.69994
9751.01	6.70234
9747.24	6.70475
9743.47	6.70715
9739.7	6.70956
9735.93	6.71197
9732.16	6.71438
9728.39	6.71679
9724.62	6.7192
9720.85	6.72162
9717.09	6.72403
9713.32	6.72645
9709.55	6.72887
9705.78	6.73129
9702.01	6.73372
9698.24	6.73614
9694.47	6.73857
9690.7	6.74099
9686.93	6.74342
9683.17	6.74585
9679.4	6.74828
9675.63	6.75072
9671.86	6.75315
9668.09	6.75559
9664.32	6.75803
9660.55	6.76047
9656.78	6.76291
9653.02	6.76535
9649.25	6.7678
9645.48	6.77024
9641.71	6.77269
9637.94	6.77514
9634.17	6.77759
9630.4	6.78004
9626.63	6.7825
9622.86	6.78495
9619.1	6.78741
9615.33	6.78987
9611.56	6.79233
9607.79	6.79479
9604.02	6.79725
9600.25	6.79972
9596.48	6.80219
9592.71	6.80465
9588.94	6.80712
9585.18	6.80959
9581.41	6.81207
9577.64	6.81454
9573.87	6.81702
9570.1	6.81949
9566.33	6.82197
9562.56	6.82445
9558.79	6.82694
9555.03	6.82942
9551.26	6.83191
9547.49	6.83439
9543.72	6.83688
9539.95	6.83937
9536.18	6.84186
9532.41	6.84436
9528.64	6.84685
9524.87	6.84935
