#Bragg	gap
Units mDeg mm
6700.00 5.98614
6680.00 6.00172
6670.00 6.01088
6660.00 6.02002
6650.00 6.02916
6640.00 6.03829
6630.00 6.04742
6620.00 6.05653
6610.00 6.06564
6600.00 6.07474
6590.00 6.08384
6580.00 6.09292
6570.00 6.10200
6560.00 6.11107
6550.00 6.12013
6540.00 6.12918
6530.00 6.13823
6520.00 6.14727
6510.00 6.15630
6500.00 6.16532
6490.00 6.17434
6480.00 6.18334
6470.00 6.19234
6460.00 6.19977
6450.00 6.20940
6440.00 6.21902
6430.00 6.22861
6420.00 6.23817
6410.00 6.24771
6400.00 6.25723
6390.00 6.26673
6380.00 6.27621
6370.00 6.27625
6360.00 6.28614
6350.00 6.29603
6340.00 6.30591
6330.00 6.31578
6320.00 6.32565
6310.00 6.33552
6300.00 6.34538
6290.00 6.35524
6280.00 6.36509
6270.00 6.37493
6260.00 6.38477
6250.00 6.39460
6240.00 6.40443
6230.00 6.41425
6220.00 6.42407
6210.00 6.43389
6200.00 6.44369
6190.00 6.45350
6180.00 6.46329
6170.00 6.47309
6160.00 6.48287
6150.00 6.49265
6140.00 6.50243
6130.00 6.51220
6120.00 6.52197
6110.00 6.53173
6100.00 6.54148
6090.00 6.55123
6075.00 6.57090
6065.00 6.58117
6055.00 6.59148
