#Bragg	gap
Units mDeg mm
6700	5.9753
6698.34	5.97676
6696.68	5.97821
6695.03	5.97967
6693.37	5.98113
6691.71	5.98258
6690.05	5.98404
6688.39	5.9855
6686.73	5.98696
6685.08	5.98842
6683.42	5.98988
6675.16	5.9901
6673.35	5.99169
6671.55	5.99329
6669.74	5.99488
6667.93	5.99648
6666.12	5.99808
6664.31	5.99968
6662.5	6.00127
6660.69	6.00287
6658.88	6.00447
6657.07	6.00607
6655.26	6.00768
6653.46	6.00928
6651.65	6.01088
6649.84	6.01249
6648.03	6.01409
6646.22	6.0157
6644.41	6.0173
6642.6	6.01891
6640.79	6.02052
6638.98	6.02213
6637.17	6.02374
6635.36	6.02535
6633.56	6.02696
6631.75	6.02857
6629.94	6.03019
6628.13	6.0318
6626.32	6.03341
6624.51	6.03503
6622.7	6.03665
6620.89	6.03826
6619.08	6.03988
6617.27	6.0415
6615.47	6.04312
6613.66	6.04474
6611.85	6.04636
6610.04	6.04798
6608.23	6.0496
6606.42	6.05123
6604.61	6.05285
6602.8	6.05447
6600.99	6.0561
6599.18	6.05773
6597.37	6.05935
6595.57	6.06098
6593.76	6.06261
6591.95	6.06424
6590.14	6.06587
6588.33	6.0675
6586.52	6.06913
6584.71	6.07077
6582.9	6.0724
6581.09	6.07403
6579.28	6.07567
6577.48	6.0773
6575.67	6.07894
6573.86	6.08058
6572.05	6.08222
6570.24	6.08386
6568.43	6.0855
6566.62	6.08714
6564.81	6.08878
6563	6.09042
6561.19	6.09206
6559.38	6.09371
6557.58	6.09535
6555.77	6.097
6553.96	6.09864
6552.15	6.10029
6550.34	6.10194
6548.53	6.10359
6546.72	6.10523
6544.91	6.10688
6543.1	6.10854
6541.29	6.11019
6539.49	6.11184
6537.68	6.11349
6535.87	6.11515
6534.06	6.1168
6532.25	6.11846
6530.44	6.12011
6528.63	6.12177
6526.82	6.12343
6525.01	6.12509
6523.2	6.12675
6521.39	6.12841
6519.59	6.13007
6517.78	6.13173
6515.97	6.13339
6514.16	6.13506
6512.35	6.13672
6510.54	6.13839
6508.73	6.14005
6506.92	6.14172
6505.11	6.14339
6503.3	6.14506
6501.5	6.14672
6499.69	6.14839
6497.88	6.15006
6496.07	6.15174
6494.26	6.15341
6492.45	6.15508
6490.64	6.15676
6488.83	6.15843
6487.02	6.16011
6485.21	6.16178
6483.41	6.16346
6481.6	6.16514
6479.79	6.16681
6477.98	6.16849
6476.17	6.17017
6474.36	6.17186
6472.55	6.17354
6470.74	6.17522
6468.93	6.1769
6467.12	6.17859
6465.31	6.18027
6463.51	6.18196
6461.7	6.18364
6459.89	6.18533
6458.08	6.18702
6456.27	6.18871
6454.46	6.1904
6452.65	6.19209
6450.84	6.19378
6449.03	6.19547
6447.22	6.19716
6445.42	6.19886
6443.61	6.20055
6441.8	6.20225
6439.99	6.20394
6438.18	6.20564
6436.37	6.20734
6434.56	6.20904
6432.75	6.21074
6430.94	6.21244
6429.13	6.21414
6427.32	6.21584
6425.52	6.21754
6423.71	6.21924
6421.9	6.22095
6420.09	6.22265
6418.28	6.22436
6416.47	6.22606
6414.66	6.22777
6412.85	6.22948
6411.04	6.23119
6409.23	6.2329
6407.43	6.23461
6405.62	6.23632
6403.81	6.23803
6402	6.23974
6400.19	6.24146
6398.38	6.24317
6396.57	6.24488
6394.76	6.2466
6392.95	6.24832
6391.14	6.25003
6389.33	6.25175
6387.53	6.25347
6385.72	6.25519
6383.91	6.25691
6382.1	6.25863
6380.29	6.26035
6378.48	6.26208
6376.67	6.2638
6374.86	6.26553
6373.05	6.26725
6371.24	6.26898
6369.44	6.2707
6367.63	6.27243
6365.82	6.27416
6364.01	6.27589
6362.2	6.27762
6360.39	6.27935
6358.58	6.28108
6356.77	6.28281
6354.96	6.28455
6353.15	6.28628
6351.34	6.28802
6349.54	6.28975
6347.73	6.29149
6345.92	6.29322
6344.11	6.29496
6342.3	6.2967
6340.49	6.29844
6338.68	6.30018
6336.87	6.30192
6335.06	6.30366
6333.25	6.30541
6331.45	6.30715
6329.64	6.30889
6327.83	6.31064
6326.02	6.31238
6324.21	6.31413
6322.4	6.31588



