# bragg	idgap
Units	Deg	mm
60.000 6.20850
59.000 6.25416
58.990 6.25480
58.980 6.25545
58.970 6.25610
58.960 6.25675
58.950 6.25740
58.940 6.25805
58.930 6.25870
58.920 6.25934
58.910 6.25999
58.900 6.26064
58.890 6.26129
58.880 6.26194
58.870 6.26259
58.860 6.26325
58.850 6.26390
58.840 6.26455
58.830 6.26520
58.820 6.26585
58.810 6.26651
58.800 6.26716
58.790 6.26781
58.780 6.26847
58.770 6.26912
58.760 6.26977
58.750 6.27042
58.740 6.27108
58.730 6.27173
58.720 6.27239
58.710 6.27304
58.700 6.27370
58.690 6.27435
58.680 6.27501
58.670 6.27567
58.660 6.27632
58.650 6.27698
58.600 6.29255
58.590 6.29320
58.580 6.29384
58.570 6.29449
58.560 6.29513
58.550 6.29578
58.540 6.29643
58.530 6.29707
58.520 6.29772
58.510 6.29837
58.500 6.30572
58.490 6.30639
58.480 6.30706
58.470 6.30772
58.460 6.30839
58.450 6.30906
58.440 6.30972
58.430 6.31039
58.420 6.31106
58.410 6.31173
58.400 6.31239
58.390 6.31306
58.380 6.31373
58.370 6.31440
58.360 6.31507
58.350 6.31574
58.340 6.31641
58.330 6.31708
58.320 6.31775
58.310 6.31842
58.300 6.31909
58.290 6.31976
58.280 6.32043
58.270 6.32110
58.260 6.32177
58.250 6.32244
58.240 6.32312
58.230 6.32379
58.220 6.32446
58.210 6.32513
57.99 6.32646
57.98 6.32714
57.97 6.32781
57.96 6.32849
57.95 6.32917
57.94 6.32985
57.93 6.33053
57.92 6.33121
57.91 6.33189
57.90 6.33257
57.89 6.33325
57.88 6.33394
57.87 6.33462
57.86 6.33530
57.85 6.33598
57.84 6.33666
57.83 6.33734
57.82 6.33803
57.81 6.33871
57.80 6.33939
57.79 6.34008
57.78 6.34076
57.77 6.34144
57.76 6.34213
57.75 6.34281
57.74 6.34350
57.73 6.34418
57.72 6.34487
57.71 6.34555
57.70 6.34624
57.69 6.34693
57.68 6.34761
57.67 6.34830
57.66 6.34899
57.65 6.34967
57.64 6.35036
57.63 6.35105
57.62 6.35174
57.61 6.35242
57.60 6.35311
57.59 6.35380
57.58 6.35449
57.57 6.35518
57.56 6.35587
57.55 6.35656
57.54 6.35725
57.53 6.35794
57.52 6.35863
57.51 6.35932
57.50 6.36001
57.49 6.36070
57.48 6.36139
57.47 6.36208
57.46 6.36278
57.45 6.36347
57.44 6.36416
57.43 6.36485
57.42 6.36555
57.41 6.36624
57.40 6.36693
57.39 6.36763
57.38 6.36832
57.37 6.36901
57.36 6.36971
57.35 6.37040
57.34 6.37110
57.33 6.37179
57.32 6.37249
57.31 6.37319
57.30 6.37388
57.29 6.37458
57.28 6.37527
57.27 6.37597
57.26 6.37667
57.25 6.37737
57.24 6.37806
57.23 6.37876
57.22 6.37946
57.21 6.38016
57.20 6.38086
57.19 6.38156
57.18 6.38226
57.17 6.38295
57.16 6.38365
57.15 6.38435
57.14 6.38505
57.13 6.38576
57.12 6.38646
57.11 6.38716
57.10 6.38786
57.09 6.38856
57.08 6.38926
57.07 6.38996
57.06 6.39067
57.05 6.39137
57.04 6.39207
57.03 6.39277
57.02 6.39348
57.01 6.39418
57.00 6.39489
56.99 6.39559
56.98 6.39629
56.97 6.39700
56.96 6.39770
56.95 6.39841
56.94 6.39911
56.93 6.39982
56.92 6.40053
56.91 6.40123
56.90 6.40194
56.89 6.40264
56.88 6.40335
56.87 6.40406
56.86 6.40477
56.85 6.40547
56.84 6.40618
56.83 6.40689
56.82 6.40760
56.81 6.40831
56.80 6.40902
56.79 6.40973
56.78 6.41044
56.77 6.41114
56.76 6.41185
56.75 6.41257
56.74 6.41328
56.73 6.41399
56.72 6.41470
56.71 6.41541
56.70 6.41612
56.69 6.41683
56.68 6.41754
56.67 6.41826
56.66 6.41897
56.65 6.41968
56.64 6.42040
56.63 6.42111
56.62 6.42182
56.61 6.42254
56.60 6.42325
56.59 6.42397
56.58 6.42468
56.57 6.42540
56.56 6.42611
56.55 6.42683
56.54 6.42754
56.53 6.42826
56.52 6.42897
56.51 6.42969
56.50 6.43041
56.49 6.43112
56.48 6.43184
56.47 6.43256
56.46 6.43328
56.45 6.43399
56.44 6.43471
56.43 6.43543
56.42 6.43615
56.41 6.43687
56.40 6.43759
56.39 6.43831
56.38 6.43903
56.37 6.43975
56.36 6.44047
56.35 6.44119
56.34 6.44191
56.33 6.44263
56.32 6.44335
56.31 6.44407
56.30 6.44480
56.29 6.44552
56.28 6.44624
56.27 6.44696
56.26 6.44769
56.25 6.44841
56.24 6.44913
56.23 6.44986
56.22 6.45058
56.21 6.45131
56.20 6.45203
56.19 6.45276
56.18 6.45348
56.17 6.45421
56.16 6.45493
56.15 6.45566
56.14 6.45638
56.13 6.45711
56.12 6.45784
56.11 6.45856
56.10 6.45929
56.09 6.46002
56.08 6.46074
56.07 6.46147
56.06 6.46220
56.05 6.46293
56.04 6.46366
56.03 6.46439
56.02 6.46512
56.01 6.46585
56.00 6.46657
55.99 6.46730
55.98 6.46804
55.97 6.46877
55.96 6.46950
55.95 6.47023
55.94 6.47096
55.93 6.47169
55.92 6.47242
55.91 6.47315
55.90 6.47389
55.89 6.47462
55.88 6.47535
55.87 6.47608
55.86 6.47682
55.85 6.47755
55.84 6.47829
55.83 6.47902
55.82 6.47975
55.81 6.48049
55.80 6.48122
55.79 6.48196
55.78 6.48269
55.77 6.48343
55.76 6.48416
55.75 6.48490
55.74 6.48564
55.73 6.48637
55.72 6.48711
55.71 6.48785
55.70 6.48859
55.69 6.48932
55.68 6.49006
55.67 6.49080
55.66 6.49154
55.65 6.49228
55.64 6.49302
55.63 6.49376
55.62 6.49449
55.61 6.49523
55.60 6.49597
