# bragg	idgap
Units	Deg	mm
72 12.36707
71.99 12.36762
71.98 12.36816
71.97 12.36871
71.96 12.36925
71.95 12.36980
71.94 12.37035
71.93 12.37090
71.92 12.37144
71.91 12.37200
71.9 12.37255
71.89 12.37310
71.88 12.37365
71.87 12.37421
71.86 12.37476
71.85 12.37532
71.84 12.37587
71.83 12.37643
71.82 12.37699
71.81 12.37755
71.8 12.37811
71.79 12.37867
71.78 12.37923
71.77 12.37979
71.76 12.38035
71.75 12.38092
71.74 12.38148
71.73 12.38205
71.72 12.38261
71.71 12.38318
71.7 12.38375
71.69 12.38432
71.68 12.38489
71.67 12.38546
71.66 12.38603
71.65 12.38660
71.64 12.38717
71.12 12.38760
71.11 12.38820
71.1 12.38879
71.09 12.38939
71.08 12.38999
71.07 12.39058
71.06 12.39118
71.05 12.39178
71.04 12.39238
71.03 12.39299
71.02 12.39359
71.01 12.39419
71 12.39479
70.99 12.39540
70.98 12.39601
70.97 12.39661
70.96 12.39722
70.95 12.39783
70.94 12.39844
70.93 12.39904
70.92 12.39965
70.91 12.40027
70.9 12.40088
70.89 12.40149
70.88 12.40211
70.87 12.40272
70.86 12.40334
70.85 12.40396
70.84 12.40457
70.83 12.40519
70.82 12.40581
70.81 12.40643
70.8 12.40705
70.79 12.40767
70.78 12.40830
70.77 12.40892
70.76 12.40955
70.75 12.41017
70.74 12.41080
70.73 12.41143
70.72 12.41206
70.71 12.41269
70.7 12.41331
70.69 12.41394
70.68 12.41458
70.67 12.41521
70.66 12.41584
70.65 12.41647
70.64 12.41711
70.63 12.41774
70.62 12.41838
70.61 12.41902
70.6 12.41966
70.59 12.42030
70.58 12.42094
70.57 12.42158
70.56 12.42222
70.55 12.42286
70.54 12.42351
70.53 12.42415
70.52 12.42480
70.51 12.42545
70.5 12.42609
70.49 12.42674
70.48 12.42739
70.47 12.42804
70.46 12.42869
70.3 12.42889
70.29 12.42956
70.28 12.43023
70.27 12.43090
70.26 12.43158
70.25 12.43225
70.24 12.43292
70.23 12.43360
70.22 12.43428
70.21 12.43495
70.2 12.43563
70.19 12.43631
70.18 12.43699
70.17 12.43767
70.16 12.43835
70.15 12.43903
70.14 12.43971
70.13 12.44040
70.12 12.44108
70.11 12.44177
70.1 12.44246
70.09 12.44314
70.08 12.44383
70.07 12.44452
70.06 12.44521
70.05 12.44590
70.04 12.44659
70.03 12.44728
70.02 12.44797
70.01 12.44867
70 12.44936
69.99 12.45006
69.98 12.45076
69.97 12.45145
69.96 12.45215
69.95 12.45285
69.94 12.45355
69.93 12.45425
69.92 12.45495
69.91 12.45565
69.9 12.45636
69.89 12.45706
69.88 12.45777
69.87 12.45847
69.86 12.45918
69.85 12.45989
69.84 12.46059
69.83 12.46131
69.82 12.46201
69.81 12.46273
69.8 12.46344
69.79 12.46415
69.78 12.46486
69.77 12.46558
69.76 12.46629
69.75 12.46701
69.74 12.46773
69.73 12.46845
69.72 12.46916
69.71 12.46988
69.7 12.47060
69.69 12.47132
69.68 12.47204
69.67 12.47277
69.66 12.47349
69.65 12.47422
69.64 12.47494
69.63 12.47567
69.62 12.47639
69.61 12.47712
69.6 12.47785
69.59 12.47858
69.58 12.47931
69.57 12.48005
69.56 12.48077
69.55 12.48151
69.54 12.48224
69.53 12.48298
69.52 12.48371
69.51 12.48445
69.5 12.48518
69.49 12.48592
69.48 12.48666
69.47 12.48740
69.46 12.48814
69.45 12.48889
69.44 12.48963
69.43 12.49037
69.42 12.49112
69.41 12.49186
69.4 12.49261
69.39 12.49335
69.38 12.49410
69.37 12.49485
69.36 12.49560
69.35 12.49635
69.34 12.49710
69.33 12.49785
69.32 12.49860
69.31 12.49936
69.3 12.50011
69.29 12.50087
69.28 12.50162
69.27 12.50238
69.26 12.50314
69.25 12.50390
69.24 12.50465
69.23 12.50541
69.22 12.50618
69.21 12.50694
69.2 12.50770
69.19 12.50847
69.18 12.50923
69.17 12.50999
69.16 12.51076
69.15 12.51153
69.14 12.51229
69.13 12.51307
69.12 12.51384
69.11 12.51460
69.1 12.51538
69.09 12.51615
69.08 12.51692
69.07 12.51769
69.06 12.51847
69.05 12.51925
69.04 12.52002
69.03 12.52080
69.02 12.52158
69.01 12.52236
69 12.52314
68.99 12.52392
68.98 12.52470
68.97 12.52548
68.96 12.52627
68.95 12.52705
68.94 12.52783
68.93 12.52862
68.92 12.52941
68.91 12.53019
68.9 12.53098
68.89 12.53177
68.88 12.53256
68.87 12.53335
68.86 12.53415
68.85 12.53493
68.84 12.53573
68.83 12.53652
68.82 12.53732
68.81 12.53812
68.8 12.53891
68.79 12.53971
68.78 12.54051
68.77 12.54131
68.76 12.54211
68.75 12.54291
68.74 12.54371
68.73 12.54452
68.72 12.54531
68.71 12.54612
68.7 12.54693
68.69 12.54773
68.68 12.54854
68.67 12.54935
68.66 12.55016
68.65 12.55097
68.64 12.55178
68.63 12.55259
68.62 12.55340
68.61 12.55421
68.6 12.55503
68.59 12.55584
68.58 12.55666
68.57 12.55748
68.56 12.55829
68.55 12.55911
68.54 12.55993
68.53 12.56075
68.52 12.56157
68.51 12.56239
68.5 12.56322
68.49 12.56404
68.48 12.56486
68.47 12.56569
68.46 12.56651
68.45 12.56734
68.44 12.56817
68.43 12.56899
68.42 12.56982
68.41 12.57066
68.4 12.57149
68.39 12.57232
68.38 12.57315
68.37 12.57399
68.36 12.57482
68.35 12.57565
68.34 12.57649
68.33 12.57732
68.32 12.57816
68.31 12.57900
68.3 12.57984
68.29 12.58068
68.28 12.58152
68.27 12.58237
68.26 12.58321
68.25 12.58405
68.24 12.58490
68.23 12.58574
68.22 12.58659
68.21 12.58743
68.2 12.58828
68.19 12.58913
68.18 12.58998
68.17 12.59083
68.16 12.59168
68.15 12.59254
68.14 12.59339
68.13 12.59424
68.12 12.59510
68.11 12.59595
68.1 12.59681
68.09 12.59767
68.08 12.59852
68.07 12.59938
68.06 12.60024
68.05 12.60110
68.04 12.60196
68.03 12.60283
68.02 12.60369
68.01 12.60456
68 12.60542
67.99 12.60629
67.98 12.60715
67.97 12.60802
67.96 12.60889
67.95 12.60976
67.94 12.61063
67.93 12.61150
67.92 12.61237
67.91 12.61324
67.9 12.61411
67.89 12.61499
67.88 12.61587
67.87 12.61674
67.86 12.61762
67.85 12.61850
67.84 12.61937
67.83 12.62025
67.82 12.62114
67.81 12.62201
67.8 12.62290
67.79 12.62378
67.78 12.62466
67.77 12.62555
67.76 12.62643
67.75 12.62732
67.74 12.62821
67.73 12.62910
67.72 12.62998
67.71 12.63087
67.7 12.63176
67.69 12.63266
67.68 12.63354
67.67 12.63444
67.66 12.63533
67.65 12.63623
67.64 12.63712
67.63 12.63802
67.62 12.63892
67.61 12.63981
67.6 12.64071
67.59 12.64162
67.58 12.64252
67.57 12.64342
67.56 12.64432
67.55 12.64522
67.54 12.64613
67.53 12.64703
67.52 12.64794
67.51 12.64884
67.5 12.64975
67.49 12.65066
67.48 12.65157
67.47 12.65248
67.46 12.65339
67.45 12.65430
67.44 12.65521
67.43 12.65613
67.42 12.65704
67.41 12.65796
67.4 12.65887
67.39 12.65979
67.38 12.66071
67.37 12.66163
67.36 12.66255
67.35 12.66347
67.34 12.66439
67.33 12.66531
67.32 12.66623
67.31 12.66716
67.3 12.66808
67.29 12.66900
67.28 12.66993
67.27 12.67086
67.26 12.67179
67.25 12.67272
67.24 12.67365
67.23 12.67458
67.22 12.67551
67.21 12.67644
67.2 12.67737
