Units mDeg mm	
5354	6.10893
5354.38	6.10839
5354.75	6.10785
5355.13	6.10731
5355.51	6.10677
5355.88	6.10624
5356.26	6.1057
5356.64	6.10517
5357.02	6.10464
5357.39	6.10411
5357.77	6.10358
5358.15	6.10305
5358.52	6.10252
5358.9	6.102
5359.28	6.10147
5359.65	6.10095
5360.03	6.10043
5360.41	6.09991
5360.78	6.09939
5361.16	6.09887
5361.54	6.09835
5361.91	6.09784
5362.29	6.09732
5362.67	6.09681
5363.05	6.0963
5363.42	6.09579
5363.8	6.09528
5364.18	6.09477
5364.55	6.09427
5364.93	6.09376
5365.31	6.09326
5365.68	6.09275
5366.06	6.09225
5366.44	6.09175
5366.81	6.09125
5367.19	6.09076
5367.57	6.09026
5367.94	6.08976
5368.32	6.08927
5368.7	6.08878
5369.08	6.08829
5369.45	6.0878
5369.83	6.08731
5370.21	6.08682
5370.58	6.08633
5370.96	6.08585
5371.34	6.08536
5371.71	6.08488
5372.09	6.0844
5372.47	6.08392
5372.84	6.08344
5373.22	6.08296
5373.6	6.08249
5373.97	6.08201
5374.35	6.08154
5374.73	6.08107
5375.11	6.0806
5375.48	6.08013
5375.86	6.07966
5376.24	6.07919
5376.61	6.07873
5376.99	6.07826
5377.37	6.0778
5377.74	6.07733
5378.12	6.07687
5378.5	6.07641
5378.87	6.07596
5379.25	6.0755
5379.63	6.07504
5380.01	6.07459
5380.38	6.07413
5380.76	6.07368
5381.14	6.07323
5381.51	6.07278
5381.89	6.07233
5382.27	6.07189
5382.64	6.07144
5383.02	6.071
5383.4	6.07055
5383.77	6.07011
5384.15	6.06967
5384.53	6.06923
5384.9	6.06879
5385.28	6.06836
5385.66	6.06792
5386.04	6.06749
5386.41	6.06705
5386.79	6.06662
5387.17	6.06619
5387.54	6.06576
5387.92	6.06533
5388.3	6.06491
5388.67	6.06448
5389.05	6.06406
5389.43	6.06363
5389.8	6.06321
5390.18	6.06279
5390.56	6.06237
5390.93	6.06196
5391.31	6.06154
5391.69	6.06112
5392.07	6.06071
5392.44	6.0603
5392.82	6.05989
5393.2	6.05948
5393.57	6.05907
5393.95	6.05866
5394.33	6.05825
5394.7	6.05785
5395.08	6.05744
5395.46	6.05704
5395.83	6.05664
5396.21	6.05624
5396.59	6.05584
5396.96	6.05544
5397.34	6.05505
5397.72	6.05465
5398.1	6.05426
5398.47	6.05386
5398.85	6.05347
5399.23	6.05308
5399.6	6.05269
5399.98	6.05231
5400.36	6.05192
5400.73	6.05154
5401.11	6.05115
5401.49	6.05077
5401.86	6.05039
5402.24	6.05001
5402.62	6.04963
5402.99	6.04925
5403.37	6.04888
5403.75	6.0485
5404.13	6.04813
5404.5	6.04776
5404.88	6.04739
5405.26	6.04702
5405.63	6.04665
5406.01	6.04628
5406.39	6.04591
5406.76	6.04555
5407.14	6.04519
5407.52	6.04482
5407.89	6.04446
5408.27	6.0441
5408.65	6.04375
5409.03	6.04339
5409.4	6.04303
5409.78	6.04268
5410.16	6.04232
5410.53	6.04197
5410.91	6.04162
5411.29	6.04127
5411.66	6.04092
5412.04	6.04058
5412.42	6.04023
5412.79	6.03989
5413.17	6.03954
5413.55	6.0392
5413.92	6.03886
5414.3	6.03852
5414.68	6.03818
5415.06	6.03785
5415.43	6.03751
5415.81	6.03718
5416.19	6.03685
5416.56	6.03651
5416.94	6.03618
5417.32	6.03585
5417.69	6.03553
5418.07	6.0352
5418.45	6.03487
5418.82	6.03455
5419.2	6.03423
5419.58	6.03391
5419.95	6.03359
5420.33	6.03327
5420.71	6.03295
5421.09	6.03263
5421.46	6.03232
5421.84	6.032
5422.22	6.03169
5422.59	6.03138
5422.97	6.03107
5423.35	6.03076
5423.72	6.03045
5424.1	6.03015
5424.48	6.02984
5424.85	6.02954
5425.23	6.02923
5425.61	6.02893
5425.98	6.02863
5426.36	6.02833
5426.74	6.02804
5427.12	6.02774
5427.49	6.02745
5427.87	6.02715
5428.25	6.02686
5428.62	6.02657
5429	6.02628
