# bragg	idgap
Units	Deg	mm
56.100 4.99000
56.000 4.99964
55.990 5.00026
55.980 5.00088
55.970 5.00150
55.960 5.00211
55.950 5.00273
55.940 5.00335
55.930 5.00397
55.920 5.00459
55.910 5.00521
55.900 5.00583
55.890 5.00646
55.880 5.00708
55.870 5.00770
55.860 5.00832
55.850 5.00894
55.840 5.00957
55.830 5.01019
55.820 5.01081
55.810 5.01144
55.800 5.01206
55.790 5.01269
55.780 5.01331
55.770 5.01394
55.760 5.01456
55.750 5.01519
55.740 5.01582
55.730 5.01645
55.720 5.01707
55.710 5.01770
55.700 5.01833
55.690 5.01896
55.680 5.01959
55.670 5.02022
55.660 5.02085
55.650 5.02148
55.640 5.02211
55.630 5.02274
55.620 5.02337
55.610 5.02400
55.600 5.02463
55.590 5.02527
55.580 5.02590
55.570 5.02653
55.560 5.02717
55.550 5.02780
55.540 5.02844
55.530 5.02907
55.520 5.02970
55.510 5.03034
55.500 5.03352
50.100 5.44220
45.500 5.85569
45.490 5.86888
45.480 5.86988
45.470 5.87088
45.460 5.87187
45.450 5.87287
45.440 5.87387
45.430 5.87487
45.420 5.87587
45.410 5.87687
45.400 5.87787
45.390 5.87887
45.380 5.87987
45.370 5.88088
45.360 5.88188
45.350 5.88288
45.340 5.88388
45.330 5.88488
45.320 5.88589
45.310 5.88689
45.300 5.88790
45.290 5.88890
45.280 5.88991
45.270 5.89091
45.260 5.89192
45.250 5.89292
45.240 5.89393
45.230 5.89493
45.220 5.89594
45.210 5.89695
45.200 5.89796
45.190 5.89896
45.180 5.89997
45.170 5.90098
45.160 5.90199
45.150 5.90300
45.140 5.90401
45.130 5.90502
45.120 5.90603
45.110 5.90704
45.100 5.90805
44.990 5.90870
44.980 5.90973
44.970 5.91077
44.960 5.91180
44.950 5.91284
44.940 5.91387
44.930 5.91491
44.920 5.91595
44.910 5.91698
44.900 5.91802
44.890 5.91906
44.880 5.92010
44.870 5.92113
44.860 5.92217
44.850 5.92321
44.840 5.92425
44.830 5.92529
44.820 5.92633
44.810 5.92737
44.800 5.92841
44.790 5.92945
44.780 5.93050
44.770 5.93154
44.760 5.93258
44.750 5.93362
44.740 5.93467
44.730 5.93571
44.720 5.93676
44.710 5.93780
44.700 5.93885
44.690 5.93989
44.680 5.94094
44.670 5.94198
44.660 5.94303
44.650 5.94408
44.640 5.94512
44.630 5.94617
44.620 5.94722
44.610 5.94827
44.600 5.94932
44.590 5.95036
44.580 5.95141
44.570 5.95246
44.560 5.95351
44.550 5.95456
44.540 5.95562
44.530 5.95667
44.520 5.95772
44.510 5.95877
44.500 5.95982
44.490 5.96088
44.480 5.96193
44.470 5.96298
44.460 5.96404
44.450 5.96509
44.440 5.96615
44.430 5.96720
44.420 5.96826
44.410 5.96931
44.400 5.97037
44.390 5.97143
44.380 5.97248
44.370 5.97354
44.360 5.97460
44.350 5.97566
44.340 5.97672
44.330 5.97777
44.320 5.97883
44.310 5.97989
44.300 5.98095
44.290 5.98201
44.280 5.98307
44.270 5.98414
44.260 5.98520
44.250 5.98626
44.240 5.98732
44.230 5.98838
44.220 5.98945
44.210 5.99051
44.200 5.99157
44.190 5.99264
44.180 5.99370
44.170 5.99477
44.160 5.99583
44.150 5.99690
44.140 5.99796
44.130 5.99903
44.120 6.00010
44.110 6.00117
44.100 6.00223
44.090 6.00330
44.080 6.00437
44.070 6.00544
44.060 6.00651
44.050 6.00758
44.040 6.00865
44.030 6.00972
44.020 6.01079
44.010 6.01186
44.000 6.01293
43.990 6.01400
43.980 6.01507
43.970 6.01615
43.960 6.01722
43.950 6.01829
43.940 6.01937
43.930 6.02044
43.920 6.02152
43.910 6.02259
43.900 6.02367
43.890 6.02474
43.880 6.02582
43.870 6.02689
43.860 6.02797
43.850 6.02905
43.840 6.03012
43.830 6.03120
43.820 6.03228
43.810 6.03336
43.800 6.03444
43.790 6.03552
43.780 6.03660
43.770 6.03768
43.760 6.03876
43.750 6.03984
43.740 6.04092
43.730 6.04200
43.720 6.04308
43.710 6.04417
43.700 6.04525
43.690 6.04633
43.680 6.04742
43.670 6.04850
43.660 6.04958
43.650 6.05067
43.640 6.05175
43.630 6.05284
43.620 6.05392
43.610 6.05501
43.600 6.05610
43.590 6.05718
43.580 6.05827
43.570 6.05936
43.560 6.06045
43.550 6.06154
43.540 6.06262
43.530 6.06371
43.520 6.06480
43.510 6.06589
43.500 6.06698
43.490 6.06808
43.480 6.06917
43.470 6.07026
43.460 6.07135
43.450 6.07244
43.440 6.07353
43.430 6.07463
43.420 6.07572
43.410 6.07681
43.400 6.07791
43.390 6.07900
43.380 6.08010
43.370 6.08119
43.360 6.08229
43.350 6.08338
43.340 6.08448
43.330 6.08558
43.320 6.08667
43.310 6.08777
43.300 6.08887
43.290 6.08997
43.280 6.09107
43.270 6.09217
43.260 6.09327
43.250 6.09437
43.240 6.09547
43.230 6.09657
43.220 6.09767
43.210 6.09877
43.200 6.09987
43.190 6.10097
43.180 6.10207
43.170 6.10318
43.160 6.10428
43.150 6.10539
43.140 6.10649
43.130 6.10759
43.120 6.10870
43.110 6.10980
43.100 6.11091
43.090 6.11201
43.080 6.11312
43.070 6.11423
43.060 6.11533
43.050 6.11644
43.040 6.11755
43.030 6.11866
43.020 6.11977
43.010 6.12088
43.000 6.12198
42.990 6.12309
42.980 6.12420
42.970 6.12531
42.960 6.12643
42.950 6.12754
42.940 6.12865
42.930 6.12976
42.920 6.13087
42.910 6.13198
42.900 6.13310
42.890 6.13421
42.880 6.13533
42.870 6.13644
42.860 6.13755
42.850 6.13867
42.840 6.13978
42.830 6.14090
42.820 6.14202
42.810 6.14313
42.800 6.14425
42.790 6.14537
42.780 6.14648
42.770 6.14760
42.760 6.14872
42.750 6.14984
42.740 6.15096
42.730 6.15208
42.720 6.15320
42.710 6.15432
42.700 6.15544
42.690 6.15656
42.680 6.15768
42.670 6.15880
42.660 6.15993
42.650 6.16105
42.640 6.16217
42.630 6.16329
42.620 6.16442
42.610 6.16554
42.600 6.16667
42.590 6.16779
42.580 6.16892
42.570 6.17004
42.560 6.17117
42.550 6.17229
42.540 6.17342
42.530 6.17455
42.520 6.17568
42.510 6.17680
42.500 6.17793
42.490 6.17906
42.480 6.18019
42.470 6.18132
42.460 6.18245
42.450 6.18358
42.440 6.18471
42.430 6.18584
42.420 6.18697
42.410 6.18810
42.400 6.18923
42.390 6.19037
42.380 6.19150
42.370 6.19263
42.360 6.19377
42.350 6.19490
42.340 6.19603
42.330 6.19717
42.320 6.19830
42.310 6.19944
42.300 6.20058
42.290 6.20171
42.280 6.20285
42.270 6.20399
42.260 6.20512
42.250 6.20626
42.240 6.20740
42.230 6.20854
42.220 6.20968
42.210 6.21081
42.200 6.21195
42.190 6.21309
42.180 6.21423
42.170 6.21537
42.160 6.21652
42.150 6.21766
42.140 6.21880
42.130 6.21994
42.120 6.22108
42.110 6.22223
42.100 6.22337
42.090 6.22451
42.080 6.22566
42.070 6.22680
42.060 6.22795
42.050 6.22909
42.040 6.23024
42.030 6.23139
42.020 6.23253
42.010 6.23368
42.000 6.23483
41.990 6.23597
41.980 6.23712
41.970 6.23827
41.960 6.23942
41.950 6.24057
41.940 6.24172
41.930 6.24287
41.920 6.24402
41.910 6.24517
41.900 6.24632
41.890 6.24747
41.880 6.24862
41.870 6.24977
41.860 6.25093
41.850 6.25208
41.840 6.25323
41.830 6.25438
41.820 6.25554
41.810 6.25669
41.800 6.25785
41.790 6.25900
41.780 6.26016
41.770 6.26131
41.760 6.26247
41.750 6.26363
41.740 6.26478
41.730 6.26594
41.720 6.26710
41.710 6.26826
41.700 6.26942
41.690 6.27058
41.680 6.27173
41.670 6.27289
41.660 6.27405
41.650 6.27521
41.640 6.27637
41.630 6.27754
41.620 6.27870
41.610 6.27986
41.600 6.28102
41.590 6.28218
41.580 6.28335
41.570 6.28451
41.560 6.28567
41.550 6.28684
41.540 6.28800
41.530 6.28917
41.520 6.29033
41.510 6.29150
41.500 6.29267
41.490 6.29383
41.480 6.29500
41.470 6.29617
41.460 6.29733
41.450 6.29850
41.440 6.29967
41.430 6.30084
41.420 6.30201
41.410 6.30318
41.400 6.30435
41.390 6.30552
41.380 6.30669
41.370 6.30786
41.360 6.30903
41.350 6.31020
41.340 6.31137
41.330 6.31255
41.320 6.31372
41.310 6.31489
41.300 6.31607
41.290 6.31724
41.280 6.31842
41.270 6.31959
41.260 6.32077
41.250 6.32194
41.240 6.32312
41.230 6.32429
41.220 6.32547
41.210 6.32665
41.200 6.32782
41.190 6.32900
41.180 6.33018
41.170 6.33136
41.160 6.33254
41.150 6.33372
41.140 6.33490
41.130 6.33608
41.120 6.33726
41.110 6.33844
41.100 6.33962
41.090 6.34080
41.080 6.34198
41.070 6.34317
41.060 6.34435
41.050 6.34553
41.040 6.34671
41.030 6.34790
41.020 6.34908
41.010 6.35027
41.000 6.35145
40.990 6.35264
40.980 6.35382
40.970 6.35501
40.960 6.35620
40.950 6.35738
40.940 6.35857
40.930 6.35976
40.920 6.36095
40.910 6.36213
40.900 6.36332
40.510 6.42345
38.200 6.75592
38.190 6.75719
38.180 6.75846
38.170 6.75974
38.160 6.76101
38.150 6.76229
38.140 6.76357
38.130 6.76484
38.120 6.76612
38.110 6.76741
38.100 6.76869
38.090 6.76997
38.080 6.77125
38.070 6.77254
38.060 6.77383
38.050 6.77511
38.040 6.77640
38.030 6.77769
38.020 6.77898
38.010 6.78027
38.000 6.78157
37.990 6.78286
37.980 6.78416
37.970 6.78545
37.960 6.78675
37.950 6.78805
37.940 6.78935
37.930 6.79065
37.920 6.79195
37.910 6.79326
37.900 6.79456
37.890 6.79587
37.880 6.79717
37.870 6.79848
37.860 6.79979
37.850 6.80110
37.840 6.80241
37.830 6.80372
37.820 6.80504
37.810 6.80635
37.800 6.80767
37.790 6.80899
37.780 6.81030
37.770 6.81162
37.760 6.81295
37.750 6.81427
37.740 6.81559
37.730 6.81691
37.720 6.81824
37.710 6.81956
37.700 6.82089
37.690 6.82222
37.680 6.82355
37.670 6.82488
37.660 6.82621
37.650 6.82755
37.640 6.82888
37.630 6.83022
37.620 6.83155
37.610 6.83289
37.600 6.83423
37.590 6.83557
37.580 6.83691
37.570 6.83825
37.560 6.83960
37.550 6.84094
37.540 6.84229
37.530 6.84363
37.520 6.84498
37.510 6.84633
37.500 6.84768
37.490 6.84903
37.480 6.85038
37.470 6.85174
37.460 6.85309
37.450 6.85445
37.440 6.85581
37.430 6.85716
37.420 6.85852
37.410 6.85988
37.400 6.86125
37.390 6.86261
37.380 6.86397
37.370 6.86534
37.360 6.86670
37.350 6.86807
37.340 6.86944
