# bragg	idgap
Units	Deg	mm
60 6.20850
59 6.25416
58.99 6.25480
58.98 6.25545
58.97 6.25610
58.96 6.25675
58.95 6.25740
58.94 6.25805
58.93 6.25870
58.92 6.25934
58.91 6.25999
58.9 6.26064
58.89 6.26129
58.88 6.26194
58.87 6.26259
58.86 6.26325
58.85 6.26390
58.84 6.26455
58.83 6.26520
58.82 6.26585
58.81 6.26651
58.8 6.26716
58.79 6.26781
58.78 6.26847
58.77 6.26912
58.76 6.26977
58.75 6.27042
58.74 6.27108
58.73 6.27173
58.72 6.27239
58.71 6.27304
58.7 6.27370
58.69 6.27435
58.68 6.27501
58.67 6.27567
58.66 6.27632
58.65 6.27698
58.6 6.29255
58.59 6.29320
58.58 6.29384
58.57 6.29449
58.56 6.29513
58.55 6.29578
58.54 6.29643
58.53 6.29707
58.52 6.29772
58.51 6.29837
58.5 6.30572
58.49 6.30639
58.48 6.30706
58.47 6.30772
58.46 6.30839
58.45 6.30906
58.44 6.30972
58.43 6.31039
58.42 6.31106
58.41 6.31173
58.4 6.31239
58.39 6.31306
58.38 6.31373
58.37 6.31440
58.36 6.31507
58.35 6.31574
58.34 6.31641
58.33 6.31708
58.32 6.31775
58.31 6.31842
58.3 6.31909
58.29 6.31976
58.28 6.32043
58.27 6.32110
58.26 6.32177
58.25 6.32244
58.24 6.32312
58.23 6.32379
58.22 6.32446
58.21 6.32513
58.2 6.32581
58.19 6.32648
58.18 6.32716
58.17 6.32783
58.16 6.32850
58.15 6.32918
58.14 6.32985
58.13 6.33053
58.12 6.33120
58.11 6.33188
58.1 6.33255
58.09 6.33323
58.08 6.33391
58.07 6.33458
58.06 6.33526
58.05 6.33594
58.04 6.33661
58.03 6.33729
58.02 6.33797
58 6.34127
57.99 6.34192
57.98 6.34256
57.97 6.34321
57.96 6.34385
57.95 6.34450
57.94 6.34515
57.93 6.34579
57.92 6.34644
57.91 6.34709
57.9 6.34774
57.89 6.34839
57.88 6.34904
57.87 6.34969
57.86 6.35034
57.85 6.35099
57.84 6.35164
57.83 6.35229
57.82 6.35294
57.81 6.35359
57.8 6.35425
57.79 6.35490
57.78 6.35555
57.77 6.35620
57.76 6.35686
57.75 6.35751
57.74 6.35817
57.73 6.35882
57.72 6.35948
57.71 6.36013
57.7 6.36079
57.69 6.36145
57.68 6.36210
57.67 6.36276
57.66 6.36342
57.65 6.36407
57.64 6.36473
57.63 6.36539
57.62 6.36605
57.61 6.36671
57.6 6.36737
57.59 6.36803
57.58 6.36869
57.57 6.36935
57.56 6.37001
57.55 6.37067
57.54 6.37134
57.53 6.37200
57.52 6.37266
57.51 6.37333
57.5 6.37399
57.49 6.37465
57.48 6.37532
57.47 6.37598
57.46 6.37665
57.45 6.37731
57.44 6.37798
57.43 6.37864
57.42 6.37931
57.41 6.37998
57.4 6.38064
57.39 6.38131
57.38 6.38198
57.37 6.38265
57.36 6.38332
57.35 6.38399
57.34 6.38466
57.33 6.38533
57.32 6.38600
57.31 6.38667
57.3 6.38734
57.29 6.38801
57.28 6.38868
57.27 6.38935
57.26 6.39003
57.25 6.39070
57.24 6.39137
57.23 6.39205
57.22 6.39272
57.21 6.39339
57.2 6.39407
57.19 6.39474
57.18 6.39542
57.17 6.39610
57.16 6.39677
57.15 6.39745
57.14 6.39813
57.13 6.39880
57.12 6.39948
57.11 6.40016
57.1 6.40084
57.09 6.40152
57.08 6.40219
57.07 6.40288
57.06 6.40356
57.05 6.40424
57.04 6.40492
57.03 6.40560
57.02 6.40628
57.01 6.40696
57 6.40764
56.99 6.40833
56.98 6.40901
56.97 6.40969
56.96 6.41038
56.95 6.41106
56.94 6.41175
56.93 6.41243
56.92 6.41312
56.91 6.41380
56.9 6.41449
56.89 6.41517
56.88 6.41586
56.87 6.41655
56.86 6.41723
56.85 6.41792
56.84 6.41861
56.83 6.41930
56.82 6.41999
56.81 6.42068
56.8 6.42137
56.79 6.42206
56.78 6.42275
56.77 6.42344
56.76 6.42413
56.75 6.42482
56.74 6.42551
56.73 6.42621
56.72 6.42690
56.71 6.42759
56.7 6.42829
56.69 6.42898
56.68 6.42968
56.67 6.43037
56.66 6.43106
56.65 6.43176
56.64 6.43246
56.63 6.43315
56.62 6.43385
56.61 6.43455
56.6 6.43524
56.59 6.43594
56.58 6.43664
56.57 6.43734
56.56 6.43804
56.55 6.43873
56.54 6.43943
56.53 6.44013
56.52 6.44083
56.51 6.44153
56.5 6.44224
56.49 6.44294
56.48 6.44364
56.47 6.44434
56.46 6.44504
56.45 6.44575
56.44 6.44645
56.43 6.44715
56.42 6.44786
56.41 6.44856
56.4 6.44927
56.39 6.44997
56.38 6.45068
56.37 6.45138
56.36 6.45209
56.35 6.45280
56.34 6.45350
56.33 6.45421
56.32 6.45492
56.31 6.45563
56.3 6.45634
56.29 6.45704
56.28 6.45775
56.27 6.45846
56.26 6.45917
56.25 6.45988
56.24 6.46059
56.23 6.46131
56.22 6.46202
56.21 6.46273
56.2 6.46344
56.19 6.46415
56.18 6.46487
56.17 6.46558
56.16 6.46629
56.15 6.46701
56.14 6.46772
56.13 6.46844
56.12 6.46915
56.11 6.46987
56.1 6.47058
56.09 6.47130
56.08 6.47202
56.07 6.47273
56.06 6.47345
56.05 6.47417
56.04 6.47489
56.03 6.47561
56.02 6.47633
56.01 6.47705
56 6.47777
55.99 6.47849
55.98 6.47921
55.97 6.47993
55.96 6.48065
55.95 6.48137
55.94 6.48209
55.93 6.48281
55.92 6.48354
55.91 6.48426
55.9 6.48498
55.89 6.48571
55.88 6.48643
55.87 6.48716
55.86 6.48788
55.85 6.48861
55.84 6.48933
55.83 6.49006
55.82 6.49079
55.81 6.49151
55.8 6.49224
55.79 6.49297
55.78 6.49370
55.77 6.49442
55.76 6.49515
55.75 6.49588
55.74 6.49661
55.73 6.49734
55.72 6.49807
55.71 6.49880
55.7 6.49953
55.69 6.50026
55.68 6.50100
55.67 6.50173
55.66 6.50246
55.65 6.50319
55.64 6.50393
55.63 6.50466
55.62 6.50539
55.61 6.50613
55.6 6.50686
55.59 6.50760
55.58 6.50834
55.57 6.50907
55.56 6.50981
55.55 6.51054
55.54 6.51128
55.53 6.51202
55.52 6.51276
55.51 6.51349
55.5 6.51423
55.49 6.51497
55.48 6.51571
55.47 6.51645
55.46 6.51719
55.45 6.51793
55.44 6.51867
55.43 6.51941
55.42 6.52015
55.41 6.52090
55.4 6.52164
55.39 6.52238
55.38 6.52312
55.37 6.52387
55.36 6.52461
55.35 6.52535
55.34 6.52610
55.33 6.52684
55.32 6.52759
55.31 6.52834
55.3 6.52908
55.29 6.52983
55.28 6.53057
55.27 6.53132
55.26 6.53207
55.25 6.53282
55.24 6.53357
55.23 6.53431
55.22 6.53506
55.21 6.53581
55.2 6.53656
55.19 6.53731
55.18 6.53806
55.17 6.53881
55.16 6.53956
55.15 6.54032
55.14 6.54107
55.13 6.54182
55.12 6.54257
