#Bragg	Gap
Units mDeg mm 
24790.00 5.98513
24780.00 5.98737
24770.00 5.98961
24760.00 5.99186
24750.00 5.99410
24740.00 5.99635
24730.00 5.99860
24720.00 6.00085
24710.00 6.00310
24700.00 6.00535
24690.00 6.00761
24680.00 6.00986
24670.00 6.01212
24660.00 6.01438
24650.00 6.01664
24640.00 6.01891
24630.00 6.02117
24620.00 6.02344
24610.00 6.02570
24600.00 6.02797
24590.00 6.03024
24580.00 6.03252
24570.00 6.03479
24560.00 6.03707
24550.00 6.03935
24540.00 6.04163
24530.00 6.04391
24520.00 6.04619
24510.00 6.04847
24500.00 6.05076
24490.00 6.05305
24480.00 6.05534
24470.00 6.05763
24460.00 6.05992
24450.00 6.06221
24440.00 6.06451
24430.00 6.06681
24420.00 6.06911
24410.00 6.07141
24400.00 6.07371
24390.00 6.07601
24380.00 6.07832
24370.00 6.08063
24360.00 6.08294
24350.00 6.08525
24340.00 6.08756
24330.00 6.08987
24320.00 6.09219
24310.00 6.09451
24300.00 6.09682
24290.00 6.09914
24280.00 6.10147
24270.00 6.10379
24260.00 6.10611
24250.00 6.10844
24240.00 6.11077
24230.00 6.11310
24220.00 6.11543
24210.00 6.11777
24200.00 6.12010
24190.00 6.12244
24180.00 6.12477
24170.00 6.12712
24160.00 6.12946
24150.00 6.13180
24140.00 6.13415
24130.00 6.13649
24120.00 6.13884
24110.00 6.14119
24100.00 6.16289
24090.00 6.16524
24080.00 6.16758
24070.00 6.16992
24060.00 6.17227
24050.00 6.17462
24040.00 6.17697
24030.00 6.17932
24020.00 6.18167
24010.00 6.18403
24000.00 6.18639
23990.00 6.18874
23980.00 6.19110
23970.00 6.19346
23960.00 6.19583
23950.00 6.19819
23940.00 6.20056
23930.00 6.20292
23920.00 6.20529
23910.00 6.20766
23900.00 6.21004
23890.00 6.21241
23880.00 6.21478
23870.00 6.21716
23860.00 6.21954
23850.00 6.22192
23840.00 6.22430
23830.00 6.22669
23820.00 6.22907
23810.00 6.23146
23800.00 6.23384
23790.00 6.23623
23780.00 6.23862
23770.00 6.24102
23760.00 6.24341
23750.00 6.24581
23740.00 6.24821
23730.00 6.25060
23720.00 6.25301
23710.00 6.25541
23700.00 6.25781
23690.00 6.26022
23680.00 6.26262
23670.00 6.26503
23660.00 6.26744
23650.00 6.26985
23640.00 6.27227
23630.00 6.27468
23620.00 6.27710
23610.00 6.27952
23600.00 6.28194
23590.00 6.28436
23580.00 6.28678
23570.00 6.28921
23560.00 6.29163
23550.00 6.29406
23540.00 6.29649
23530.00 6.29892
23520.00 6.30135
23510.00 6.30379
23500.00 6.30622
23490.00 6.30866
23480.00 6.31110
23470.00 6.31354
23460.00 6.31598
23450.00 6.31842
23440.00 6.32087
23430.00 6.32331
23420.00 6.32576
23410.00 6.32821
23400.00 6.33066
23390.00 6.33311
23380.00 6.33557
23370.00 6.33803
23360.00 6.34048
23350.00 6.34294
23340.00 6.34540
23330.00 6.34787
23320.00 6.35033
23310.00 6.35279
23300.00 6.35526
23290.00 6.35773
23280.00 6.36020
23270.00 6.36267
23260.00 6.36514
23250.00 6.36762
23240.00 6.37010
23230.00 6.37258
23220.00 6.37506
23210.00 6.37754
23200.00 6.38002
23190.00 6.38250
23180.00 6.38499
23170.00 6.38748
23160.00 6.38997
23150.00 6.39246
23140.00 6.39495
23130.00 6.39744
23120.00 6.39994
23110.00 6.40244
23100.00 6.40494
23090.00 6.40744
23080.00 6.40994
23070.00 6.41244
23060.00 6.41495
23050.00 6.41745
23040.00 6.41996
23030.00 6.42247
23020.00 6.42498
23010.00 6.42750
23000.00 6.43001
22990.00 6.43253
22980.00 6.43504
22970.00 6.43756
22960.00 6.44008
22950.00 6.44261
22940.00 6.44513
22930.00 6.44766
22920.00 6.45018
22910.00 6.45271
22900.00 6.45524
22890.00 6.45777
22880.00 6.46031
22870.00 6.46284
22860.00 6.46538
22850.00 6.46792
22840.00 6.47046
22830.00 6.47300
22820.00 6.47554
22810.00 6.47809
22800.00 6.48063
22790.00 6.48318
22780.00 6.48573
22770.00 6.48828
22760.00 6.49083
22750.00 6.49339
22740.00 6.49594
22730.00 6.49850
22720.00 6.50106
22710.00 6.50362
22700.00 6.50618
22690.00 6.50874
22680.00 6.51131
22670.00 6.51388
22660.00 6.51645
22650.00 6.51901
22640.00 6.52159
22630.00 6.52416
22620.00 6.52673
22610.00 6.52931
22600.00 6.53189
22590.00 6.53447
22580.00 6.53705
22570.00 6.53963
22560.00 6.54221
22550.00 6.54480
22540.00 6.54739
22530.00 6.54998
22520.00 6.55257
22510.00 6.55516
22500.00 6.55775
22490.00 6.56035
22480.00 6.56294
22470.00 6.56554
22460.00 6.56814
22450.00 6.57074
22440.00 6.57335
22430.00 6.57595
22420.00 6.57856
22410.00 6.58117
22400.00 6.58378
22390.00 6.58639
22380.00 6.58900
22370.00 6.59161
22360.00 6.59423
22350.00 6.59685
22340.00 6.59947
22330.00 6.60209
22320.00 6.60471
22310.00 6.60733
22300.00 6.60996
22290.00 6.61258
22280.00 6.61521
22270.00 6.61784
22260.00 6.62047
22250.00 6.62311
22240.00 6.62574
22230.00 6.62838
22220.00 6.63102
22210.00 6.63366
22200.00 6.63630
22190.00 6.63894
22180.00 6.64158
22170.00 6.64423
22160.00 6.64688
22150.00 6.64953
22140.00 6.65218
22130.00 6.65483
22120.00 6.65748
22110.00 6.66014
22100.00 6.66279
22090.00 6.66545
22080.00 6.66811
22070.00 6.67077
22060.00 6.67344
22050.00 6.67610
22040.00 6.67877
22030.00 6.68144
22020.00 6.68411
22010.00 6.68678
22000.00 6.68945
21990.00 6.69212
21980.00 6.69480
21970.00 6.69748
21960.00 6.70016
21950.00 6.70284
21940.00 6.70552
21930.00 6.70820
21920.00 6.71089
21910.00 6.71358
21900.00 6.71626
21890.00 6.71895
21880.00 6.72165
21870.00 6.72434
21860.00 6.72703
21850.00 6.72973
21840.00 6.73243
21830.00 6.73513
21820.00 6.73783
21810.00 6.74053
