#Bragg	Gap
Units mDeg mm 
24800	6.000
24700	6.023
24600   6.02759
24578	6.03229
24557	6.037
24536	6.04172
24515	6.04645
24500   6.0729
24300	6.09420
24100	6.14090
23900	6.18840
23700	6.23650
23500	6.28520
23300	6.33400
23100	6.38390
22900	6.43420
22700	6.48520
22500	6.53630
22300	6.58840
22100	6.64400
21900	6.69700
21854.5	6.7273
21834.9	6.7324
21815.4	6.73751
21795.9	6.74261
21776.4	6.74772
21757	6.75282
21737.6	6.75793
21718.2	6.76303
21698.8	6.76814
21679.5	6.77324
21660.2	6.77835
21641	6.78345
21621.7	6.78855
21602.5	6.79366
21583.4	6.79876
21564.2	6.80387
21545.1	6.80897
21526.1	6.81408
21507	6.81918
21488	6.82429
21469	6.82939
21450.1	6.83449
21431.1	6.8396
21412.2	6.8447
21393.4	6.84981
21374.5	6.85491
21355.7	6.86002
21337	6.86512
21318.2	6.87023
21299.5	6.87533
21280.8	6.88044
21262.2	6.88554
21243.6	6.89064
21225	6.89575
21206.4	6.90085
21187.9	6.90596
21169.4	6.91106
21150.9	6.91617
21132.5	6.92127
21114.1	6.92638
21095.7	6.93148
21077.3	6.93659
21059	6.94169
21040.7	6.94679
21022.5	6.9519
21000   6.95761
20988.9 6.96084
20977.9 6.96408
20966.8 6.96733
20955.8 6.97057
20944.7 6.97382
20933.7 6.97707
20922.6 6.98033
20911.6 6.98358
20900.5 6.98684
20889.4 6.99011
20878.4 6.99337
20867.3 6.99664
20856.3 6.99991
20845.2 7.00319
20834.2 7.00647
20823.1 7.00975
20812.1 7.01303
20801   7.01632
20789.9 7.01961
20778.9 7.0229
20767.8 7.02619
20756.8 7.02949
20745.7 7.03279
20734.7 7.0361
20723.6 7.0394
20712.6 7.04271
20701.5 7.04603
20690.5 7.04934
20679.4 7.05266
20668.3 7.05598
20657.3 7.05931
20646.2 7.06264
20635.2 7.06597
20624.1 7.0693
20613.1 7.07264
20602   7.07598
20591   7.07932
20579.9 7.08266
20568.8 7.08601
20557.8 7.08936
20546.7 7.09272
20535.7 7.09607
20524.6 7.09943
20513.6 7.1028
20502.5 7.10616
20491.5 7.10953
20480.4 7.1129
20469.3 7.11628
20458.3 7.11965
20447.2 7.12303
20436.2 7.12642
20425.1 7.1298
20414.1 7.13319
20403   7.13659
20392   7.13998
20380.9 7.14338
20369.8 7.14678
20358.8 7.15018
20347.7 7.15359
20336.7 7.157
20325.6 7.16041
20314.6 7.16383
20303.5 7.16725
20292.5 7.17067
20281.4 7.17409
20270.4 7.17752
20259.3 7.18095
20248.2 7.18438
20237.2 7.18782
20226.1 7.19126
20215.1 7.1947
20204   7.19814
20193   7.20159
20181.9 7.20504
20170.9 7.2085
20159.8 7.21195
20148.7 7.21541
20137.7 7.21888
20126.6 7.22234
20115.6 7.22581
20104.5 7.22928
20093.5 7.23275
20082.4 7.23623
20071.4 7.23971
20060.3 7.24319
20049.2 7.24668
20038.2 7.25017
20027.1 7.25366
20016.1 7.25716
20005   7.26065
19994   7.26415
19982.9 7.26766
19971.9 7.27116
19960.8 7.27467
19949.7 7.27819
19938.7 7.2817
19927.6 7.28522
19916.6 7.28874
19905.5 7.29226
19894.5 7.29579
19883.4 7.29932
19872.4 7.30285
19861.3 7.30639
19850.3 7.30993
19839.2 7.31347
19828.1 7.31702
19817.1 7.32056
19806   7.32411
19795   7.32767
19783.9 7.33122
19772.9 7.33478
19761.8 7.33834
19750.8 7.34191
19739.7 7.34548
19728.6 7.34905
19717.6 7.35262
19706.5 7.3562
19695.5 7.35978
19684.4 7.36336
19673.4 7.36695
19662.3 7.37054
19651.3 7.37413
19640.2 7.37772
19629.1 7.38132
19618.1 7.38492
19607   7.38852
19596   7.39213
19584.9 7.39574
19573.9 7.39935
19562.8 7.40297
19551.8 7.40658
