#Bragg	Gap
Units mDeg mm 
24800	6.000
24700	6.023
24600   6.02759
24578	6.03229
24557	6.037
24536	6.04172
24515	6.04645
24500   6.0729
24485.9 6.07614
24471.9 6.07938
24457.8 6.08263
24443.7 6.08587
24429.6 6.08912
24415.6 6.09237
24401.5 6.09563
24387.4 6.09889
24373.4 6.10215
24359.3 6.10541
24345.2 6.10868
24331.2 6.11195
24317.1 6.11522
24300   6.09420
24100   6.14090
23900   6.18840
23700   6.23650
23500   6.28520
23300   6.33400
23100   6.38390
22900   6.43420
22700   6.48520
22500   6.53630
22300   6.58840
22100   6.64400
21900   6.69700
21700   6.75090
21500   6.80870
21300   6.86540
21100   6.92290
20900   6.98160
20700   7.04070
20650	7.05380
20550	7.08620
20450	7.11680
20350	7.14600
20250	7.17790
20150	7.20920
20050	7.24040
19950	7.27270
19850	7.30590
19750	7.33770
19650	7.36930
19550	7.40240
19450	7.43600
19350	7.46800
19250	7.49920
19150	7.53670
19050	7.56970
18950	7.60480
18850	7.64040
18750	7.67540
18650	7.71050
18550	7.74650
18450	7.78040
18350	7.81890
18250	7.85420
18150	7.89050
18050	7.93070
17950	7.96840
17850	8.00630
17750	8.04470
17650	8.08380
17550	8.12320
17450	8.16300
17350	8.20020
17250	8.24070
17200	8.26428
17100	8.30561
17000	8.34739
16900	8.38961
16800	8.43228
16700	8.47538
16600	8.51893
16500	8.56292
16400	8.60735
16300	8.65223
16200	8.69755
16100	8.74331
16000	8.78951
15900	8.83380
15800	8.87480
15700	8.92610
15600	8.97590
15500	9.041
15400	9.090
15300	9.143
15200	9.193
15100	9.245
15000	9.295
14900	9.351
14800	9.404
14700	9.46
14600	9.525
14500	9.580
14400	9.639
14300	9.696
14200	9.756
14100	9.815
14000	9.868
13900	9.927
13800	9.993
13700	10.054
13600	10.119
13500	10.183
13400	10.251
13300	10.316
13200	10.386
13100	10.460
13000	10.528
12900	10.598
12800	10.673
12700	10.747
12500	10.88
