#Bragg gap
Units mDeg mm
17397.00 6.00900
16697.00 6.24395
16657.00 6.24668
16650.00 6.25463
16640.00 6.25809
16630.00 6.26154
16620.00 6.26500
16610.00 6.26847
16600.00 6.27193
16590.00 6.27541
16580.00 6.27888
16570.00 6.28237
16560.00 6.28585
16550.00 6.28934
16540.00 6.29284
16530.00 6.29633
16520.00 6.29984
16510.00 6.30334
16500.00 6.30685
16490.00 6.31037
16480.00 6.31388
16470.00 6.31741
16460.00 6.32094
16450.00 6.32447
16440.00 6.32800
16430.00 6.33154
16420.00 6.33508
16410.00 6.33863
16400.00 6.34218
16390.00 6.34574
16380.00 6.34930
16370.00 6.35287
16360.00 6.35643
16350.00 6.36001
16340.00 6.36358
16330.00 6.36717
16320.00 6.37075
16310.00 6.37434
16300.00 6.37793
16290.00 6.38153
16280.00 6.38513
16270.00 6.38874
16260.00 6.39235
16250.00 6.39596
16240.00 6.39958
16230.00 6.40321
16220.00 6.40683
16210.00 6.41046
16200.00 6.41410
16190.00 6.41774
16180.00 6.42138
16170.00 6.42503
16160.00 6.42868
16150.00 6.43234
16140.00 6.43600
16130.00 6.43966
16120.00 6.44333
16110.00 6.44701
16100.00 6.45068
16090.00 6.45436
16080.00 6.45805
16070.00 6.46174
16060.00 6.46543
16050.00 6.46913
16040.00 6.47283
16030.00 6.47654
16020.00 6.48025
16010.00 6.48396
16000.00 6.48768
15990.00 6.49140
15980.00 6.49513
15970.00 6.49886
15960.00 6.50260
15950.00 6.50634
15940.00 6.51008
15930.00 6.51383
15920.00 6.51758
15910.00 6.52134
15900.00 6.52509
15890.00 6.52886
15880.00 6.53263
15870.00 6.53640
15860.00 6.54018
15850.00 6.54396
15840.00 6.54774
15830.00 6.55153
15820.00 6.55533
15810.00 6.55912
15800.00 6.56293
15790.00 6.56673
15780.00 6.57054
15770.00 6.57436
15760.00 6.57817
15750.00 6.58200
15740.00 6.58582
15730.00 6.58966
15720.00 6.59349
15710.00 6.59733
15700.00 6.60117
15690.00 6.60502
15680.00 6.60887
15670.00 6.61273
15660.00 6.61659
15650.00 6.62045
15640.00 6.62432
15630.00 6.62819
15620.00 6.63207
15610.00 6.63595
15600.00 6.63984
15590.00 6.64373
15580.00 6.64762
15570.00 6.65152
15560.00 6.65542
15550.00 6.65932
15540.00 6.66323
15530.00 6.66715
15520.00 6.67107
15510.00 6.67499
15500.00 6.67892
15490.00 6.68285
15480.00 6.68678
15470.00 6.69072
15460.00 6.69467
15450.00 6.69861
15440.00 6.70257
15430.00 6.70652
15420.00 6.71048
15410.00 6.71445
15400.00 6.71841
15390.00 6.72239
15380.00 6.72636
15370.00 6.73034
15360.00 6.73433
15350.00 6.73832
15340.00 6.74231
15330.00 6.74631
15320.00 6.75031
15310.00 6.75432
15300.00 6.75833
15290.00 6.76234
15280.00 6.76636
15270.00 6.77038
15260.00 6.77441
15250.00 6.77844
15240.00 6.78247
15230.00 6.78651
15220.00 6.79056
15210.00 6.79461
15200.00 6.79866
15190.00 6.80271
15180.00 6.80677
15170.00 6.81084
15160.00 6.81491
15150.00 6.81898
15140.00 6.82305
15130.00 6.82714
15120.00 6.83122
15110.00 6.83531
15100.00 6.83940
15090.00 6.84350
15080.00 6.84760
15070.00 6.85171
15060.00 6.85582
15050.00 6.85993
15040.00 6.86405
15030.00 6.86817
15020.00 6.87230
15010.00 6.87643
15000.00 6.88056
14990.00 6.88470
14980.00 6.88885
14970.00 6.89299
14960.00 6.89715
14950.00 6.90130
14940.00 6.90744
14930.00 6.91166
14920.00 6.91588
14910.00 6.92012
14900.00 6.92435
14890.00 6.92859
14880.00 6.93284
14870.00 6.93708
14860.00 6.94134
14850.00 6.94559
14840.00 6.94986
14830.00 6.95412
14820.00 6.95839
14810.00 6.96267
14800.00 6.96695
14790.00 6.97124
14780.00 6.97552
14770.00 6.97982
14760.00 6.98412
14750.00 6.98842
14740.00 6.99272
14730.00 6.99704
14720.00 7.00135
14710.00 7.00567
14700.00 7.01000
14690.00 7.01433
14680.00 7.01866
14670.00 7.02300
14660.00 7.02734
14650.00 7.03169
14640.00 7.03604
14630.00 7.04040
14620.00 7.04476
14610.00 7.04912
14600.00 7.05349
14590.00 7.05787
14580.00 7.06224
14570.00 7.06663
14560.00 7.07101
14550.00 7.07541
14540.00 7.07980
14530.00 7.08420
14520.00 7.08861
14510.00 7.09302
14500.00 7.09743
14490.00 7.10185
14480.00 7.10628
14470.00 7.11070
14460.00 7.11514
14450.00 7.11957
14440.00 7.12401
14430.00 7.12846
14420.00 7.13291
14410.00 7.13737
14400.00 7.14182
14390.00 7.14629
14380.00 7.15076
14370.00 7.15523
14360.00 7.15971
14350.00 7.16419
14340.00 7.16867
14330.00 7.17316
14320.00 7.17766
14310.00 7.18216
14300.00 7.18666
14290.00 7.19117
14280.00 7.19568
14270.00 7.20020
14260.00 7.20472
14250.00 7.20925
14240.00 7.21378
14230.00 7.21832
14220.00 7.22286
14210.00 7.22740
14200.00 7.23195
14190.00 7.23650
14180.00 7.24106
14170.00 7.24562
14160.00 7.25019
14150.00 7.25476
14140.00 7.25934
14130.00 7.26392
14120.00 7.26850
14110.00 7.27309
14100.00 7.27768
14090.00 7.28228
14080.00 7.28688
14070.00 7.29149
14060.00 7.29610
14050.00 7.30072
14040.00 7.30534
14030.00 7.30996
14020.00 7.31459
14010.00 7.31923
14000.00 7.32387
13990.00 7.32851
13980.00 7.33316
