#Bragg gap
Units mDeg mm
17400.00 6.00900
16649.00 6.24467
16639.00 6.24821
16629.00 6.25175
16619.00 6.25531
16609.00 6.25886
16600.00 6.26648
16590.00 6.26995
16580.00 6.27344
16570.00 6.27692
16560.00 6.28041
16550.00 6.28391
16540.00 6.28740
16530.00 6.29091
16520.00 6.29441
16510.00 6.29792
16500.00 6.30144
16490.00 6.30496
16480.00 6.30849
16470.00 6.31201
16460.00 6.31555
16450.00 6.31908
16440.00 6.32263
16430.00 6.32617
16420.00 6.32972
16410.00 6.33328
16400.00 6.33684
16390.00 6.34040
16380.00 6.34397
16370.00 6.34754
16360.00 6.35111
16350.00 6.35469
16340.00 6.35828
16330.00 6.36187
16320.00 6.36546
16310.00 6.36906
16300.00 6.37266
16290.00 6.37627
16280.00 6.37988
16270.00 6.38349
16260.00 6.38711
16250.00 6.39073
16240.00 6.39436
16230.00 6.39799
16220.00 6.40163
16210.00 6.40527
16200.00 6.40891
16190.00 6.41256
16180.00 6.41622
16170.00 6.41987
16160.00 6.42354
16150.00 6.42720
16140.00 6.43087
16130.00 6.43455
16120.00 6.43823
16110.00 6.44191
16100.00 6.44560
16090.00 6.44929
16080.00 6.45299
16070.00 6.45669
16060.00 6.46039
16050.00 6.46410
16040.00 6.46782
16030.00 6.47153
16020.00 6.47525
16010.00 6.47898
16000.00 6.48271
15990.00 6.48645
15980.00 6.49019
15970.00 6.49393
15960.00 6.49768
15950.00 6.50143
15940.00 6.50519
15930.00 6.50895
15920.00 6.51271
15910.00 6.51648
15900.00 6.52026
15890.00 6.52403
15880.00 6.52782
15870.00 6.53160
15860.00 6.53539
15850.00 6.53919
15840.00 6.54299
15830.00 6.54679
15820.00 6.55060
15810.00 6.55441
15800.00 6.55823
15790.00 6.56205
15780.00 6.56588
15770.00 6.56970
15760.00 6.57354
15750.00 6.57738
15740.00 6.58122
15730.00 6.58507
15720.00 6.58892
15710.00 6.59277
15700.00 6.59663
15690.00 6.60050
15680.00 6.60436
15670.00 6.60824
15660.00 6.61211
15650.00 6.61599
15640.00 6.61988
15630.00 6.62377
15620.00 6.62766
15610.00 6.63156
15600.00 6.63547
15590.00 6.63937
15580.00 6.64328
15570.00 6.64720
15560.00 6.65112
15550.00 6.65504
15540.00 6.65897
15530.00 6.66290
15520.00 6.66684
15510.00 6.67078
15500.00 6.67473
15490.00 6.67868
15480.00 6.68263
15470.00 6.68659
15460.00 6.69055
15450.00 6.69452
15440.00 6.69849
15430.00 6.70247
15420.00 6.70645
15410.00 6.71043
15400.00 6.71442
15390.00 6.71841
15380.00 6.72241
15370.00 6.72641
15360.00 6.73042
15350.00 6.73443
15340.00 6.73844
15330.00 6.74246
15320.00 6.74648
15310.00 6.75051
15300.00 6.75454
15290.00 6.75858
15280.00 6.76262
15270.00 6.76666
15260.00 6.77071
15250.00 6.77477
15240.00 6.77882
15230.00 6.78289
15220.00 6.78695
15210.00 6.79102
15200.00 6.79510
15190.00 6.79918
15180.00 6.80326
15170.00 6.80735
15160.00 6.81144
15150.00 6.81553
15140.00 6.81963
15130.00 6.82374
15120.00 6.82785
15110.00 6.83196
15100.00 6.83608
15090.00 6.84020
15080.00 6.84433
15070.00 6.84846
15060.00 6.85259
15050.00 6.85673
15040.00 6.86087
15030.00 6.86502
15020.00 6.86917
15010.00 6.87333
15000.00 6.87749
14990.00 6.88165
14980.00 6.88582
14970.00 6.89000
14960.00 6.89417
14950.00 6.89836
14940.00 6.90254
14930.00 6.90673
14920.00 6.91093
14910.00 6.91568
14900.00 6.91989
14890.00 6.92409
14880.00 6.92831
14870.00 6.93253
14860.00 6.93675
14850.00 6.94098
14840.00 6.94521
14830.00 6.94945
14820.00 6.95370
14810.00 6.95794
14800.00 6.96220
14790.00 6.96646
14780.00 6.97072
14770.00 6.97499
14760.00 6.97926
14750.00 6.98354
14740.00 6.98782
14730.00 6.99211
14720.00 6.99640
14710.00 7.00070
14700.00 7.00500
14690.00 7.00931
14680.00 7.01363
14670.00 7.01794
14660.00 7.02227
14650.00 7.02660
14640.00 7.03093
14630.00 7.03526
14620.00 7.03961
14610.00 7.04395
14600.00 7.04831
14590.00 7.05267
14580.00 7.05703
14570.00 7.06139
14560.00 7.06577
14550.00 7.07014
14540.00 7.07453
14530.00 7.07891
14520.00 7.08330
14510.00 7.08770
14500.00 7.09211
14490.00 7.09651
14480.00 7.10092
14470.00 7.10534
14460.00 7.10976
14450.00 7.11419
14440.00 7.11862
14430.00 7.12306
14420.00 7.12750
14410.00 7.13194
14400.00 7.13640
14390.00 7.14085
14380.00 7.14531
14370.00 7.14978
14360.00 7.15425
14350.00 7.15873
14340.00 7.16321
14330.00 7.16769
14320.00 7.17219
14310.00 7.17668
14300.00 7.18118
14290.00 7.18569
14280.00 7.19020
14270.00 7.19471
14260.00 7.19923
14250.00 7.20376
14240.00 7.20829
14230.00 7.21283
14220.00 7.21737
14210.00 7.22191
14200.00 7.22646
14190.00 7.23102
14180.00 7.23558
14170.00 7.24014
14160.00 7.24471
14150.00 7.24929
14140.00 7.25387
14130.00 7.25845
14120.00 7.26304
14110.00 7.26764
14100.00 7.27224
14090.00 7.27684
14080.00 7.28145
14070.00 7.28607
14060.00 7.29069
14050.00 7.29531
14040.00 7.29994
14030.00 7.30457
14020.00 7.30921
14010.00 7.31386
14000.00 7.31851
13990.00 7.32316
13980.00 7.32782
13970.00 7.33249
13960.00 7.33716
13950.00 7.34183
13940.00 7.34651
13930.00 7.35119
13920.00 7.35588
13910.00 7.36057
13900.00 7.36527
