#Bragg	gap	
Units	mDeg	mm
13500.00 5.98600
13141.20 6.12614
13097.00 6.14866
13087.00 6.15309
13077.00 6.15753
13067.00 6.16197
13060.00 6.17481
13050.00 6.17933
13040.00 6.18385
13030.00 6.18838
13020.00 6.19292
13010.00 6.19746
13000.00 6.20201
12990.00 6.20656
12980.00 6.21112
12970.00 6.21568
12960.00 6.22026
12950.00 6.22484
12940.00 6.22942
12900.00 6.22994
12890.00 6.23481
12880.00 6.23968
12870.00 6.24455
12860.00 6.24941
12850.00 6.25427
12840.00 6.25912
12830.00 6.26396
12820.00 6.26880
12810.00 6.27363
12800.00 6.27846
12790.00 6.28328
12780.00 6.28810
12770.00 6.29291
12760.00 6.29772
12750.00 6.30252
12740.00 6.30731
12730.00 6.31210
12720.00 6.31688
12710.00 6.32166
12700.00 6.32643
12690.00 6.33120
12680.00 6.33596
12670.00 6.34072
12660.00 6.34547
12650.00 6.35021
12640.00 6.35495
12630.00 6.35969
12620.00 6.36442
12610.00 6.36914
12600.00 6.37386
12590.00 6.37857
12580.00 6.38327
12570.00 6.38797
12560.00 6.39267
12550.00 6.39736
12540.00 6.40205
12530.00 6.40672
12520.00 6.41140
12510.00 6.41607
12500.00 6.42073
12490.00 6.42538
12480.00 6.43004
12470.00 6.43468
12460.00 6.43932
12450.00 6.44396
12440.00 6.44859
12430.00 6.45321
12420.00 6.45783
12410.00 6.46244
12400.00 6.46705
12390.00 6.47165
12380.00 6.47625
12370.00 6.48084
12360.00 6.48542
12350.00 6.49000
12340.00 6.49458
12330.00 6.51994
12320.00 6.52482
12310.00 6.52971
12300.00 6.53460
12290.00 6.53948
12280.00 6.54437
12270.00 6.54926
12260.00 6.55415
12250.00 6.55904
12240.00 6.56392
12230.00 6.56881
12220.00 6.57370
12210.00 6.57859
12200.00 6.58348
12190.00 6.58836
12180.00 6.59325
12170.00 6.59814
12160.00 6.60303
12150.00 6.60792
12140.00 6.61281
12130.00 6.61769
12120.00 6.62258
12110.00 6.62747
12100.00 6.63236
12090.00 6.63725
12080.00 6.64214
12070.00 6.64703
12060.00 6.65192
12050.00 6.65681
12040.00 6.66170
12030.00 6.66658
12020.00 6.67147
12010.00 6.67636
12000.00 6.68125
11990.00 6.68614
11980.00 6.69103
11970.00 6.69592
11960.00 6.70081
11950.00 6.70570
11940.00 6.71059
11930.00 6.71548
11920.00 6.72037
11910.00 6.72526
11900.00 6.73015
11890.00 6.74106
11880.00 6.74634
11870.00 6.75162
11860.00 6.75691
11850.00 6.76220
11840.00 6.76750
11830.00 6.77281
11820.00 6.77813
11810.00 6.78345
11800.00 6.78878
11790.00 6.79412
11780.00 6.79946
11770.00 6.80481
11760.00 6.81017
11750.00 6.81553
11740.00 6.82090
11730.00 6.82628
11720.00 6.83166
11710.00 6.83705
11700.00 6.84245
11690.00 6.84786
11680.00 6.85327
11670.00 6.85869
11660.00 6.86411
11650.00 6.86955
11640.00 6.87499
11630.00 6.88043
11620.00 6.88589
11610.00 6.89135
11600.00 6.89681
11590.00 6.90229
11580.00 6.90777
11570.00 6.91326
11560.00 6.91875
11550.00 6.92425
11540.00 6.92976
11530.00 6.93528
11520.00 6.94080
11510.00 6.94633
11500.00 6.95186
11490.00 6.95741
11480.00 6.96296
11470.00 6.96851
11460.00 6.97408
11450.00 6.97965
11440.00 6.98522
11430.00 6.99081
11420.00 6.99640
11410.00 7.00200
11400.00 7.00760
11390.00 7.01322
11380.00 7.01883
11370.00 7.02446
11360.00 7.03009
11350.00 7.03573
11340.00 7.04138
11330.00 7.04703
11320.00 7.05269
11310.00 7.05836
11300.00 7.06403
11290.00 7.07215
11280.00 7.07763
11270.00 7.08310
11260.00 7.08857
11250.00 7.09404
11240.00 7.09950
11230.00 7.10495
11220.00 7.11040
11210.00 7.11585
11200.00 7.12129
11170.00 7.12662
11160.00 7.13238
11150.00 7.13815
11140.00 7.14393
11130.00 7.14971
11120.00 7.15550
11110.00 7.16130
11100.00 7.16710
11090.00 7.17291
11080.00 7.17873
11070.00 7.18456
11060.00 7.19039
11050.00 7.19623
11040.00 7.20208
11030.00 7.20793
11020.00 7.21379
11010.00 7.22876
11000.00 7.23464
10990.00 7.24052
10980.00 7.24641
10970.00 7.25231
10950.00 7.25642
10940.00 7.26240
10930.00 7.26838
10920.00 7.27437
10910.00 7.28037
10900.00 7.28638
10890.00 7.29239
10880.00 7.29841
10870.00 7.30444
10860.00 7.31047
10850.00 7.31652
10840.00 7.32257
10830.00 7.32862
10820.00 7.33469
10810.00 7.34076
10800.00 7.34684
10790.00 7.35205
10780.00 7.35815
10770.00 7.36426
10760.00 7.37038
10750.00 7.37651
10740.00 7.38266
10730.00 7.38882
10720.00 7.39498
10710.00 7.40116
10700.00 7.40735
10690.00 7.41356
10680.00 7.41977
10670.00 7.42599
10660.00 7.43223
10650.00 7.43847
10640.00 7.44473
10630.00 7.45100
10620.00 7.45728
10610.00 7.46358
10600.00 7.46988
10590.00 7.47619
10580.00 7.48252
10570.00 7.48886
