#Bragg	gap	
Units	mDeg	mm
13500.00 5.98600
13141.20 6.12614
13097.00 6.14866
13087.00 6.15309
13077.00 6.15753
13067.00 6.16197
13057.00 6.16642
13047.00 6.17088
13000.00 6.18565
12990.00 6.19044
12980.00 6.19523
12970.00 6.20002
12960.00 6.20481
12950.00 6.20960
12940.00 6.21439
12930.00 6.21919
12920.00 6.22398
12910.00 6.22877
12900.00 6.23357
12890.00 6.23836
12880.00 6.24316
12870.00 6.24795
12860.00 6.25275
12850.00 6.25754
12840.00 6.26234
12830.00 6.26714
12820.00 6.27194
12810.00 6.27674
12800.00 6.28153
12790.00 6.28633
12780.00 6.29113
12770.00 6.29593
12760.00 6.30073
12750.00 6.30554
12740.00 6.31034
12730.00 6.31514
12720.00 6.31994
12710.00 6.32474
12700.00 6.32955
12690.00 6.33435
12680.00 6.33916
12670.00 6.34396
12660.00 6.34877
12650.00 6.35357
12640.00 6.35838
12630.00 6.36318
12620.00 6.36799
12610.00 6.37280
12600.00 6.37761
12590.00 6.38242
12580.00 6.38723
12570.00 6.39204
12560.00 6.39685
12550.00 6.40166
12540.00 6.40647
12530.00 6.41128
12520.00 6.41609
12510.00 6.42090
12500.00 6.42572
12490.00 6.43053
12480.00 6.43534
12470.00 6.44016
12460.00 6.44497
12450.00 6.44979
12440.00 6.45460
12430.00 6.45942
12420.00 6.46424
12410.00 6.46905
12400.00 6.47387
12390.00 6.47869
12380.00 6.48351
12370.00 6.48833
12360.00 6.49315
12350.00 6.49797
12340.00 6.50279
12330.00 6.50761
12320.00 6.51243
12310.00 6.51725
12300.00 6.52207
12290.00 6.52690
12280.00 6.53172
12270.00 6.53654
12260.00 6.54137
12250.00 6.54619
12240.00 6.55102
12230.00 6.55584
12220.00 6.56067
12210.00 6.56550
12200.00 6.57032
12190.00 6.57706
12180.00 6.58213
12170.00 6.58720
12160.00 6.59227
12150.00 6.59735
12140.00 6.60243
12130.00 6.60751
12120.00 6.61259
12110.00 6.61767
12100.00 6.62276
12090.00 6.62785
12080.00 6.63294
12070.00 6.63804
12060.00 6.64313
12050.00 6.64823
12040.00 6.65333
12030.00 6.65843
12020.00 6.66354
12010.00 6.66864
12000.00 6.67375
11990.00 6.67886
11980.00 6.68398
11970.00 6.68909
11960.00 6.69421
11950.00 6.69933
11940.00 6.70445
11930.00 6.70958
11920.00 6.71470
11910.00 6.71983
11900.00 6.72258
11890.00 6.72785
11880.00 6.73313
11870.00 6.73841
11860.00 6.74371
11850.00 6.74901
11840.00 6.75431
11830.00 6.75963
11820.00 6.76495
11810.00 6.77028
11800.00 6.77562
11790.00 6.78096
11780.00 6.78631
11770.00 6.79168
11760.00 6.79704
11750.00 6.80242
11740.00 6.80780
11730.00 6.81319
11720.00 6.81858
11710.00 6.82399
11700.00 6.82940
11690.00 6.83482
11680.00 6.84024
11670.00 6.84568
11660.00 6.85112
11650.00 6.85657
11640.00 6.86202
11630.00 6.86749
11620.00 6.87296
11610.00 6.87844
11600.00 6.88392
11590.00 6.88942
11580.00 6.89492
11570.00 6.90042
11560.00 6.90594
11550.00 6.91146
11540.00 6.91699
11530.00 6.92253
11520.00 6.92808
11510.00 6.93363
11500.00 6.93919
11490.00 6.94476
11480.00 6.95033
11470.00 6.95591
11460.00 6.96150
11450.00 6.96710
11440.00 6.97270
11430.00 6.97832
11420.00 6.98393
11410.00 6.98956
11400.00 6.99520
11390.00 7.00084
11380.00 7.00649
11370.00 7.01214
11360.00 7.01781
11350.00 7.02348
11340.00 7.02916
11330.00 7.03484
11320.00 7.04054
11310.00 7.04624
11300.00 7.05195
11290.00 7.05766
11280.00 7.06339
11270.00 7.06912
11260.00 7.07486
11250.00 7.08060
11240.00 7.08636
11230.00 7.09212
11220.00 7.09788
11210.00 7.10366
11200.00 7.10944
11190.00 7.11523
11180.00 7.12103
11170.00 7.12683
11160.00 7.13265
11150.00 7.13847
11140.00 7.14429
11130.00 7.15013
11120.00 7.15597
11110.00 7.16182
11100.00 7.16768
11090.00 7.17354
11080.00 7.17941
11070.00 7.18529
11060.00 7.19118
11050.00 7.19707
11040.00 7.20298
11030.00 7.20889
11020.00 7.21480
11010.00 7.22073
11000.00 7.22666
10990.00 7.23260
10980.00 7.23854
10970.00 7.24450
10960.00 7.25046
10950.00 7.25642
10940.00 7.26240
10930.00 7.26838
10920.00 7.27437
10910.00 7.28037
10900.00 7.28638
10890.00 7.29239
10880.00 7.29841
10870.00 7.30444
10860.00 7.31047
10850.00 7.31652
10840.00 7.32257
10830.00 7.32862
10820.00 7.33469
10810.00 7.34076
10800.00 7.34684
10790.00 7.35205
10780.00 7.35815
10770.00 7.36426
10760.00 7.37038
10750.00 7.37651
10740.00 7.38266
10730.00 7.38882
10720.00 7.39498
10710.00 7.40116
10700.00 7.40735
10690.00 7.41356
10680.00 7.41977
10670.00 7.42599
10660.00 7.43223
10650.00 7.43847
10640.00 7.44473
10630.00 7.45100
10620.00 7.45728
10610.00 7.46358
10600.00 7.46988
10590.00 7.47619
