Bragg	xmov	ymov
14500	-589.5495	-418.889
14000	-589.5495	-418.889
13975	-589.4785	-418.9075
13950	-589.6585	-418.7085
13925	-589.5995	-418.837
13900	-589.588	-418.6775
13875	-589.8455	-418.556
13850	-589.585	-418.382
13825	-589.566	-418.4745
13800	-589.5335	-418.2965
13775	-589.452	-418.5035
13750	-589.508	-418.283
13725	-589.398	-417.9175
13700	-589.264	-417.5395
13675	-589.2555	-417.2385
13645	-589.1985	-416.939
13625	-589.16	-416.6085
13600	-589.0325	-416.298
13575	-588.8445	-416.1075
13550	-588.7665	-415.811
13525	-589.6625	-416.5455
13500	-590.3865	-418.176
13475	-590.028	-417.903
13450	-589.8015	-417.657
13425	-589.462	-417.076
13400	-589.15	-416.533
13375	-588.8235	-416.625
13350	-589.0625	-416.6485
13325	-589.153	-416.663
13300	-589.1185	-416.6305
13275	-589.1355	-417.181
13250	-589.2555	-417.781
13225	-589.345	-417.83
13200	-589.1545	-417.8225
13175	-589.3385	-417.708
13150	-589.32	-417.75
13125	-589.219	-417.732
13100	-589.3275	-417.759
13075	-589.2235	-417.753
13050	-589.2835	-417.6385
13025	-589.2765	-417.611
13000	-589.254	-417.6215
12975	-589.251	-417.632
12950	-589.3445	-417.5965
12925	-589.2725	-417.7345
12900	-589.2045	-417.8245
12875	-589.2975	-417.812
12850	-589.187	-417.884
12600	-589.187	-417.884
12400	-589.187	-417.884
12200	-589.187	-417.884
12000	-589.187	-417.884
11800	-589.187	-417.884
11600	-589.187	-417.884
11400	-589.187	-417.884
11200	-589.187	-417.884
11000	-589.187	-417.884
10800	-589.187	-417.884
10600	-589.187	-417.884
