#Bragg	gap
Units mDeg mm
7100.00 5.97214
7000.00 6.05753
6900.00 6.14388
6800.00 6.23119
6718.00 6.29903
6708.00 6.30844
6698.00 6.31785
6688.00 6.32726
6678.00 6.33665
6668.00 6.34605
6658.00 6.35544
6648.00 6.36482
6638.00 6.37420
6628.00 6.38358
6618.00 6.39295
6608.00 6.40232
6598.00 6.41168
6588.00 6.42104
6578.00 6.43039
6568.00 6.43974
6558.00 6.44908
6548.00 6.45842
6538.00 6.46775
6528.00 6.47708
6518.00 6.48641
6508.00 6.49573
6498.00 6.50505
6488.00 6.51436
6478.00 6.52366
6468.00 6.53297
6458.00 6.54226
6448.00 6.55156
6438.00 6.56085
6428.00 6.57013
6418.00 6.57941
6408.00 6.58869
6398.00 6.59796
