Units mDeg mm	
5732.00 6.270
5730.00 6.27140
5720	6.28942
5719.12	6.29033
5718.24	6.29123
5717.36	6.29214
5716.48	6.29305
5715.6	6.29396
5714.72	6.29487
5713.84	6.29577
5712.96	6.29668
5712.09	6.29759
5711.21	6.2985
5710.33	6.29941
5709.45	6.30032
5708.57	6.30123
5707.69	6.30214
5706.81	6.30305
5705.93	6.30396
5705.05	6.30487
5704.17	6.30578
5703.29	6.30669
5702.41	6.3076
5701.53	6.30851
5700.65	6.30943
5699.77	6.31034
5698.89	6.31125
5698.02	6.31216
5697.14	6.31307
5696.26	6.31399
5695.38	6.3149
5694.5	6.31581
5693.62	6.31672
5692.74	6.31764
5691.86	6.31855
5690.98	6.31947
5690.1	6.32038
5689.22	6.32129
5688.34	6.32221
5687.46	6.32312
5686.58	6.32404
5685.7	6.32495
5684.82	6.32587
5683.94	6.32678
5683.07	6.3277
5682.19	6.32861
5681.31	6.32953
5680.43	6.33044
5679.55	6.33136
5678.67	6.33228
5677.79	6.33319
5676.91	6.33411
5676.03	6.33503
5675.15	6.33594
5674.27	6.33686
5673.39	6.33778
5672.51	6.3387
5671.63	6.33962
5670.75	6.34053
5669.87	6.34145
5668.99	6.34237
5668.12	6.34329
5667.24	6.34421
5666.36	6.34513
5665.48	6.34605
5664.6	6.34697
5663.72	6.34789
5662.84	6.34881
5661.96	6.34973
5661.08	6.35065
5660.2	6.35157
5659.32	6.35249
5658.44	6.35341
5657.56	6.35433
5656.68	6.35525
5655.8	6.35617
5654.92	6.35709
5654.05	6.35802
5653.17	6.35894
5652.29	6.35986
5651.41	6.36078
5650.53	6.36171
5649.65	6.36263
5648.77	6.36355
5647.89	6.36447
5647.01	6.3654
5646.13	6.36632
5645.25	6.36725
5644.37	6.36817
5643.49	6.36909
5642.61	6.37002
5641.73	6.37094
5640.85	6.37187
5639.97	6.37279
5639.1	6.37372
5638.22	6.37464
5637.34	6.37557
5636.46	6.3765
5635.58	6.37742
5634.7	6.37835
5633.82	6.37927
5632.94	6.3802
5632.06	6.38113
5631.18	6.38205
5630.3	6.38298
5629.42	6.38391
5628.54	6.38484
5627.66	6.38576
5626.78	6.38669
5625.9	6.38762
5625.03	6.38855
5624.15	6.38948
5623.27	6.39041
5622.39	6.39134
5621.51	6.39226
5620.63	6.39319
5619.75	6.39412
5618.87	6.39505
5617.99	6.39598
5617.11	6.39691
5616.23	6.39784
5615.35	6.39877
5614.47	6.39971
5613.59	6.40064
5612.71	6.40157
5611.83	6.4025
5610.95	6.40343
5610.08	6.40436
5609.2	6.40529
5608.32	6.40623
5607.44	6.40716
5606.56	6.40809
5605.68	6.40902
5604.8	6.40996
5603.92	6.41089
5603.04	6.41182
5602.16	6.41276
5601.28	6.41369
5600.4	6.41462
5599.52	6.41556
5598.64	6.41649
5597.76	6.41743
5596.88	6.41836
5596.01	6.4193
5595.13	6.42023
5594.25	6.42117
5593.37	6.4221
5592.49	6.42304
5591.61	6.42397
5590.73	6.42491
5589.85	6.42585
5588.97	6.42678
5588.09	6.42772
5587.21	6.42866
5586.33	6.42959
5585.45	6.43053
5584.57	6.43147
5583.69	6.43241
5582.81	6.43334
5581.93	6.43428
5581.06	6.43522
5580.18	6.43616
5579.3	6.4371
5578.42	6.43804
5577.54	6.43897
5576.66	6.43991
5575.78	6.44085
5574.9	6.44179
5574.02	6.44273
5573.14	6.44367
5572.26	6.44461
5571.38	6.44555
5570.5	6.44649
5569.62	6.44743
5568.74	6.44838
5567.86	6.44932
5566.98	6.45026
5566.11	6.4512
5565.23	6.45214
5564.35	6.45308
5563.47	6.45403
5562.59	6.45497
5561.71	6.45591
5560.83	6.45685
5559.95	6.4578
5559.07	6.45874
5558.19	6.45968
5557.31	6.46063
5556.43	6.46157
5555.55	6.46251
5554.67	6.46346
5553.79	6.4644
5552.91	6.46535
5552.04	6.46629
5551.16	6.46724
5550.28	6.46818
5549.4	6.46913
5548.52	6.47007
5547.64	6.47102
5546.76	6.47196
5545.88	6.47291
5545	6.47386
5510.00 6.51053
