Bragg	xmov	ymov
20250	-589.662	-416.92	
20000	-589.662	-416.92	
19750	-589.662	-416.92	
19500	-589.662	-416.92	
19250	-589.662	-416.92
19000	-589.662	-416.92	
18750	-589.662	-416.92	
18500	-589.662	-416.92	
18250	-589.662	-416.92	
18000	-589.662	-416.92
17750	-589.662	-416.92	
17500	-589.662	-416.92	
17250	-589.662	-416.92	
17000	-589.662	-416.92	
16750	-589.662	-416.92	
16500	-589.662	-416.926
16475	-589.4125	-416.6935
16450	-589.4715	-416.555
16425	-589.5755	-416.5545
16400	-589.514	-416.629
16375	-589.5055	-416.444
16350	-589.5235	-416.4855
16325	-589.438	-416.3015
16300	-589.5065	-416.089
16275	-589.4235	-416.136
16250	-589.5325	-415.968
16225	-589.1445	-416.003
16200	-589.1665	-416.024
16175	-589.317	-416.1035
16150	-589.5375	-416.0805
16125	-589.2195	-415.9905
16100	-589.2225	-416.001
16075	-589.1295	-416.0245
16050	-589.357	-416.042
16025	-589.462	-416.0325
16000	-589.1535	-415.935
15975	-589.202	-415.9965
15950	-589.1765	-416.035
15925	-589.112	-416.091
15900	-589.04	-415.9645
15875	-589.1435	-416.086
15850	-589.364	-416.027
15825	-590.1325	-416.2325
15800	-589.6795	-416.129
15775	-589.207	-416.0515
15750	-589.4965	-416.0195
15725	-589.3585	-416.0825
15700	-589.424	-416.0045
15675	-589.4995	-415.9725
15650	-589.5685	-416.0805
15625	-589.406	-416.043
15600	-589.3625	-415.9655
15575	-589.4175	-415.978
15550	-589.329	-415.9
15525	-589.4955	-415.933
15500	-589.5005	-415.7835
15475	-589.608	-416.0165
15450	-589.395	-415.7335
15425	-589.477	-415.971
15400	-589.589	-415.761
15375	-589.3225	-415.8355
15350	-589.3665	-415.8
15325	-589.1405	-415.903
15300	-589.371	-415.873
15275	-589.3245	-415.7595
15250	-589.197	-415.71
15225	-589.2065	-415.6275
15200	-589.313	-415.6895
15175	-589.334	-415.5455
15150	-589.1425	-415.6325
15125	-588.855	-415.636
15100	-589.335	-415.648
15075	-589.077	-415.58
15050	-589.328	-415.717
15025	-589.358	-415.77
15000	-589.2615	-415.671
14975	-589.098	-415.589
14950	-589.1125	-415.6395
14925	-589.072	-415.7585
14900	-589.056	-415.5645
14875	-589.099	-415.6015
14850	-589.2035	-415.5545
14825	-589.1295	-415.654
14800	-589.149	-415.7105
14775	-589.316	-415.665
14750	-589.1195	-415.4995
14500	-589.1195	-415.4995	
14250	-589.1195	-415.4995
14000	-589.1195	-415.4995
13750	-589.1195	-415.4995
13500	-589.1195	-415.4995
13250	-589.1195	-415.4995
13000	-589.1195	-415.4995
12750	-589.1195	-415.4995
12500	-589.1195	-415.4995
