# DIAMOND LIGHT SOURCE
# Instrument: I20-XAS Date: Thu, 20 Jun 2013 09:02:25 BST
# Ring energy: 3.00084 GeV
# Initial ring current: 301.70083 mA
# Filling mode: Standby
# Wiggler gap selected: 15.00000 mm
#  
# Primary slits:  vertical gap= 0.12002 mm; horizontal gap= 0.80009 mm; vertical offset= 0.02499 mm; horizontal offset= 0.00001 mm
# Secondary slits:  vertical gap= 2.85050 mm; horizontal gap= 23.75100 mm; vertical offset= -0.10020 mm; horizontal offset= 0.21850 mm
# Experimental slits:  vertical gap= 1.30000 mm; horizontal gap= 4.99993 mm; vertical offset= 0.80000 mm; horizontal offset= 0.00001 mm
#  
# Optic Hutch Mirrors Coating: Rhodium
# Monochromator crystal cut: Si(111)
# Incident angle for Harmonic Rejection Mirrors: -7.32 mrad
# Harmonic rejection mirrors coating: Rhodium
# I0 Stanford sensitivity: 1 uA/V Offsets: 5 nA
# It Stanford sensitivity: 1 uA/V Offsets: 2 nA
# Iref Stanford sensitivity: 50 nA/V Offsets: 200 pA
# Atn5 (Xia) filters: 0.2mm Al Out 0.5mm Al Out 1.0mm Al In 3.0mm Al Out
# Sample stage: x: 0.00 mm y: 25.00 mm z: 3.00 mm rot: -0.00 deg roll: 0.00 deg pitch: 0.00 deg
#
# Ascii output file name: 'Bi_foil_trans_32942_1.dat'
# Nexus output file: '/dls/i20/data/2013/mx5918-11/Experiment_1/nexus/32942_1.nxs'
# The XML files, ScanParameters, SampleParameters, DetectorParameters, OutputParameters
# are stored in the nexus file.
#
# Sample name: Bi_foil_trans
# Sample description: Bi foil
##
#
#
# Dark current intensity was collected over 3.00s. Average counts per second: I0 602.33   It 113.00   Iref 215.67
# Dark current has been automatically removed from counts in main scan (I0,It,Iref)
#
# Energy	lnI0It 
13219.0010	0.02550
13223.9940	0.02334
13229.0020	0.02125
13234.0050	0.01919
13239.0040	0.01711
13243.9970	0.01502
13248.9960	0.01293
13253.9980	0.01082
13259.0020	8.72000e-3
13264.0010	6.75000e-3
13269.0000	4.69000e-3
13273.9980	2.66000e-3
13278.9960	6.40000e-4
13283.9990	-1.36000e-3
13288.9950	-3.36000e-3
13293.9940	-5.34000e-3
13299.0040	-7.27000e-3
13303.6980	-9.00000e-3
13307.8040	-0.01057
13311.3530	-0.01192
13314.3670	-0.01304
13316.9070	-0.01398
13318.9760	-0.01466
13320.6280	-0.01519
13321.8790	-0.01560
13322.7660	-0.01597
13323.3190	-0.01616
13323.7170	-0.01636
13324.1140	-0.01651
13324.5230	-0.01646
13324.9180	-0.01663
13325.3230	-0.01686
13325.7200	-0.01699
13326.1230	-0.01703
13326.5080	-0.01722
13326.9210	-0.01732
13327.3220	-0.01750
13327.7150	-0.01764
13328.1250	-0.01781
13328.5240	-0.01773
13328.9170	-0.01792
13329.3180	-0.01811
13329.7180	-0.01829
13330.1210	-0.01832
13330.5210	-0.01848
13330.9210	-0.01864
13331.3200	-0.01881
13331.7180	-0.01889
13332.1170	-0.01901
13332.5190	-0.01918
13332.9150	-0.01924
13333.3190	-0.01937
13333.7200	-0.01950
13334.1190	-0.01956
13334.5260	-0.01967
13334.9180	-0.01982
13335.3250	-0.01999
13335.7220	-0.02006
13336.1120	-0.02024
13336.5320	-0.02041
13336.9200	-0.02057
13337.3190	-0.02064
13337.7120	-0.02074
13338.1250	-0.02073
13338.5140	-0.02090
13338.9190	-0.02099
13339.3220	-0.02115
13339.7130	-0.02127
13340.1180	-0.02135
13340.5240	-0.02161
13340.9240	-0.02171
13341.3170	-0.02177
13341.7220	-0.02185
13342.1260	-0.02200
13342.5250	-0.02212
13342.9210	-0.02214
13343.3170	-0.02221
13343.7210	-0.02239
13344.1170	-0.02251
13344.5230	-0.02263
13344.9170	-0.02275
13345.3220	-0.02271
13345.7240	-0.02281
13346.1160	-0.02299
13346.5250	-0.02314
13346.9260	-0.02323
13347.3160	-0.02335
13347.7250	-0.02352
13348.1140	-0.02349
13348.5150	-0.02362
13348.9150	-0.02377
13349.3160	-0.02390
13349.7220	-0.02397
13350.1160	-0.02406
13350.5150	-0.02413
13350.9200	-0.02419
13351.3230	-0.02429
13351.7270	-0.02431
13352.1190	-0.02439
13352.5230	-0.02445
13352.9170	-0.02463
13353.3240	-0.02457
13353.7190	-0.02471
13354.1210	-0.02482
13354.5250	-0.02492
13354.9190	-0.02504
13355.3250	-0.02505
13355.7260	-0.02513
13356.1230	-0.02526
13356.5200	-0.02533
13356.9180	-0.02545
13357.3170	-0.02550
13357.7200	-0.02547
13358.1250	-0.02553
13358.5180	-0.02557
13358.9240	-0.02569
13359.3280	-0.02580
13359.7190	-0.02587
13360.1270	-0.02583
13360.5220	-0.02593
13360.9220	-0.02591
13361.3240	-0.02599
13361.7200	-0.02609
13362.1130	-0.02601
13362.5170	-0.02605
13362.9120	-0.02612
13363.3220	-0.02622
13363.7210	-0.02630
13364.1170	-0.02633
13364.5300	-0.02632
13364.9260	-0.02637
13365.3280	-0.02646
13365.7230	-0.02651
13366.1120	-0.02640
13366.5210	-0.02644
13366.9210	-0.02646
13367.3280	-0.02651
13367.7220	-0.02650
13368.1250	-0.02645
13368.5200	-0.02655
13368.9160	-0.02646
13369.3140	-0.02645
13369.7200	-0.02649
13370.1160	-0.02650
13370.5160	-0.02654
13370.9190	-0.02654
13371.3210	-0.02651
13371.7170	-0.02631
13372.1200	-0.02635
13372.5180	-0.02630
13372.9240	-0.02628
13373.3100	-0.02629
13373.7250	-0.02613
13374.1270	-0.02609
13374.5200	-0.02611
13374.9220	-0.02606
13375.3140	-0.02596
13375.7090	-0.02589
13376.1220	-0.02582
13376.5180	-0.02572
13376.9230	-0.02562
13377.3170	-0.02557
13377.7170	-0.02553
13378.1200	-0.02526
13378.5220	-0.02520
13378.9260	-0.02514
13379.3190	-0.02505
13379.7070	-0.02496
13380.1170	-0.02479
13380.5180	-0.02465
13380.9150	-0.02436
13381.3230	-0.02426
13381.7140	-0.02409
13382.1200	-0.02388
13382.5200	-0.02373
13382.9230	-0.02355
13383.3190	-0.02334
13383.7160	-0.02309
13384.1130	-0.02288
13384.5190	-0.02267
13384.9190	-0.02245
13385.3230	-0.02218
13385.7240	-0.02177
13386.1220	-0.02150
13386.5270	-0.02126
13386.9230	-0.02097
13387.3150	-0.02064
13387.7190	-0.02021
13388.1180	-0.01984
13388.5230	-0.01952
13388.9330	-0.01904
13389.3250	-0.01865
13389.7180	-0.01824
13390.1220	-0.01780
13390.5240	-0.01725
13390.9260	-0.01680
13391.3150	-0.01622
13391.7230	-0.01569
13392.1180	-0.01514
13392.5210	-0.01455
13392.9220	-0.01386
13393.3150	-0.01325
13393.7170	-0.01258
13394.1210	-0.01191
13394.5160	-0.01114
13394.9260	-0.01034
13395.3200	-9.56000e-3
13395.7180	-8.66000e-3
13396.1180	-7.76000e-3
13396.5180	-6.70000e-3
13396.9170	-5.78000e-3
13397.3180	-4.67000e-3
13397.7230	-3.61000e-3
13398.1190	-2.45000e-3
13398.5180	-1.19000e-3
13398.9210	1.00000e-4
13399.3180	1.42000e-3
13399.7280	2.93000e-3
13400.1240	4.43000e-3
13400.5210	6.05000e-3
13400.9160	7.80000e-3
13401.3190	9.65000e-3
13401.7220	0.01156
13402.1240	0.01362
13402.5140	0.01588
13402.9180	0.01827
13403.3200	0.02076
13403.7250	0.02336
13404.1160	0.02631
13404.5190	0.02944
13404.9190	0.03292
13405.3240	0.03634
13405.7200	0.04038
13406.1170	0.04459
13406.5150	0.04928
13406.9210	0.05444
13407.3240	0.05993
13407.7200	0.06602
13408.1230	0.07277
13408.5180	0.08018
13408.9230	0.08850
13409.3170	0.09795
13409.7130	0.10841
13410.1230	0.12004
13410.5200	0.13304
13410.9180	0.14776
