# DIAMOND LIGHT SOURCE
# Instrument: I20-XAS Date: Sat, 3 Oct 2015 14:59:25 BST
# Ring energy: 3.00090 GeV
# Initial ring current: 264.43117 mA
# Filling mode: Standby
# Wiggler gap selected: 20.00100 mm
#  
# Primary slits:  vertical gap= 0.11000 mrad; horizontal gap= 0.67011 mrad; vertical offset= 0.02499 mrad; horizontal offset= -0.06504 mrad
# Secondary slits:  vertical gap= 6.39600 mm; horizontal gap= 24.69500 mm; vertical offset= -0.00100 mm; horizontal offset= -0.00050 mm
# Experimental slits:  vertical gap= 1.39981 mm; horizontal gap= 11.99991 mm; vertical offset= 1.32001 mm; horizontal offset= -0.00001 mm
#  
# Optic Hutch Mirrors Coating: Rhodium
# Monochromator crystal cut: Si(111)
# Incident angle for Harmonic Rejection Mirrors: -6.89 mrad
# Harmonic rejection mirrors coating: Rh current
# I0 Stanford sensitivity: 1 uA/V Offsets: 5 nA
# It Stanford sensitivity: 2 uA/V Offsets: 10 nA
# Iref Stanford sensitivity: 100 nA/V Offsets: 500 pA
# Atn5 (Xia) filters: Al 0.2 mm In Al 0.5 mm Out Al 1.0 mm Out Al 3.0 mm Out C 0.5 mm Out C 1.0 mm In C 2.0 mm In C 4.0 mm In
# Sample stage: x: 1.00 mm y: 40.00 mm z: 0.00 mm rot: -0.00 deg roll: 1.56 deg pitch: -10.94 deg
# Ascii output file name: 'BrKedge//ascii/KBr_pellet_trans_56597_1.dat'
# Nexus output file: '/dls/i20/data/2015/cm12176-4/BrKedge//nexus/56597_1.nxs'
# XML folder and files:
# /dls/i20/data/2015/cm12176-4/xml/BrKedge/
# Br_trans
# KBr_pellet_trans
# Detector_Parameters
# Output_Parameters
# The contents of these files are also stored in the nexus file.
# Sample name: KBr_pellet_trans
# Sample description: KBr_pellet_trans
# Dark current intensity was collected over 1.00s. Average counts per second: I0 569.00   It 296.00   Iref 511.00
# Dark current has been automatically removed from counts in main scan (I0,It,Iref)
#
# Energy	lnI0It	
13274.0024	-0.04344
13279.0039	-0.04446
13283.9986	-0.04593
13288.9992	-0.04733
13293.999	-0.04877
13298.9973	-0.05019
13304.0025	-0.05174
13309.0003	-0.05321
13313.9994	-0.05471
13318.9984	-0.05619
13324.0003	-0.05764
13329.0047	-0.05894
13333.9987	-0.06003
13338.9969	-0.06119
13344.0015	-0.06263
13349.0017	-0.064
13353.9996	-0.06531
13358.9996	-0.06642
13364.0038	-0.06742
13369.0005	-0.06842
13374.0006	-0.06945
13379.0036	-0.07073
13384.0043	-0.07182
13388.9992	-0.07309
13393.9979	-0.07419
13398.882	-0.07519
13403.5331	-0.07612
13407.946	-0.0767
13412.1228	-0.07717
13416.0809	-0.07777
13419.8052	-0.07828
13423.2948	-0.07867
13426.5615	-0.07885
13429.5997	-0.07905
13432.4145	-0.07895
13435.0033	-0.0788
13437.3703	-0.07848
13439.513	-0.07821
13441.4373	-0.07769
13443.1426	-0.07734
13444.6235	-0.07671
13445.8934	-0.07622
13446.9417	-0.07569
13447.7705	-0.07534
13448.3906	-0.07499
13448.802	-0.07479
13449.1002	-0.07465
13449.4007	-0.0744
13449.6972	-0.07419
13449.9994	-0.07401
13450.2986	-0.07385
13450.5996	-0.07363
13450.9027	-0.07339
13451.1954	-0.07323
13451.5012	-0.07302
13451.8	-0.07276
13452.0984	-0.07251
13452.4025	-0.07223
13452.7004	-0.07196
13452.9984	-0.07166
13453.2973	-0.07141
13453.6001	-0.07105
13453.8977	-0.07081
13454.2006	-0.07044
13454.4991	-0.07012
13454.7989	-0.06975
13455.1005	-0.06943
13455.3994	-0.06901
13455.7011	-0.06864
13456.0027	-0.06823
13456.3035	-0.06782
13456.6007	-0.06733
13456.9081	-0.06688
13457.1988	-0.06643
13457.5001	-0.06599
13457.8035	-0.06554
13458.1057	-0.06497
13458.4	-0.06439
13458.7	-0.0638
13458.9982	-0.0632
13459.3	-0.0626
13459.5992	-0.06198
13459.901	-0.06128
13460.198	-0.06059
