# DIAMOND LIGHT SOURCE
# Instrument: I20-XAS Date: Thu, 30 May 2013 21:39:16 BST
# Ring energy: 3.00095 GeV
# Initial ring current: 298.25784 mA
# Filling mode: Standby
# Wiggler gap selected: 20.00000 mm
#  
# Primary slits:  vertical gap= 0.12004 mm; horizontal gap= 0.80012 mm; vertical offset= 0.02503 mm; horizontal offset= 0.00002 mm
# Secondary slits:  vertical gap= 5.00000 mm; horizontal gap= 26.00100 mm; vertical offset= -0.15000 mm; horizontal offset= 0.68950 mm
# Experimental slits:  vertical gap= 1.20000 mm; horizontal gap= 10.00004 mm; vertical offset= 0.70000 mm; horizontal offset= 0.00001 mm
#  
# Optic Hutch Mirrors Coating: Rhodium
# Monochromator crystal cut: Si(111)
# Incident angle for Harmonic Rejection Mirrors: -6.42 mrad
# Harmonic rejection mirrors coating: Silicon
# I0 Stanford sensitivity: 2 uA/V Offsets: 10 nA
# It Stanford sensitivity: 2 uA/V Offsets: 10 nA
# Iref Stanford sensitivity: 200 nA/V Offsets: 1 nA
# Atn5 (Xia) filters: Empty Out 1mm vC Out 2mm vC In 4mm vC Out
# Sample stage: x: -2.65 mm y: 20.00 mm z: 0.00 mm rot: -0.00 deg roll: 0.00 deg pitch: 0.00 deg
#
# Ascii output file name: 'Cofoil_32553_1.dat'
# Nexus output file: '/dls/i20/data/2013/cm5945-2/Co_K_edge/nexus/32553_1.nxs'
# The XML files, ScanParameters, SampleParameters, DetectorParameters, OutputParameters
# are stored in the nexus file.
#
# Sample name: Cofoil
# Sample description: Cofoil
##
#
#
# Dark current intensity was collected over 3.00s. Average counts per second: I0 128.00   It 440.67   Iref 279.67
# Dark current has been automatically removed from counts in main scan (I0,It,Iref)
#
# Energy	lnI0It          	
7508.9990	-0.40390
7511.9990	-0.40580
7515.0000	-0.40730
7517.9990	-0.40880
7521.0000	-0.41050
7524.0010	-0.41220
7527.0010	-0.41380
7530.0000	-0.41510
7532.9980	-0.41710
7535.9970	-0.41920
7539.0010	-0.42140
7542.0000	-0.42310
7545.0020	-0.42460
7547.9990	-0.42650
7551.0000	-0.42790
7554.0000	-0.42950
7557.0030	-0.43160
7559.9990	-0.43270
7563.0000	-0.43440
7566.0000	-0.43630
7569.0000	-0.43800
7572.0010	-0.43970
7575.0000	-0.44140
7578.0000	-0.44310
7580.9980	-0.44470
7583.9980	-0.44520
7586.9990	-0.44750
7590.0000	-0.44920
7592.9990	-0.45130
7596.0000	-0.45330
7599.0010	-0.45470
7601.9990	-0.45670
7604.9980	-0.45820
7608.0030	-0.45980
7610.9970	-0.46100
7614.0000	-0.46290
7616.9990	-0.46480
7620.0020	-0.46650
7623.0050	-0.46790
7626.0010	-0.46990
7629.0000	-0.47130
7631.9990	-0.47310
7635.0000	-0.47450
7638.0030	-0.47560
7641.0000	-0.47670
7644.0030	-0.47860
7647.0020	-0.48040
7649.9980	-0.48210
7652.9990	-0.48380
7655.9960	-0.48520
7659.0000	-0.48650
7662.0000	-0.48740
7665.0000	-0.48830
7668.0010	-0.49020
7670.9140	-0.49170
7673.6500	-0.49300
7676.2140	-0.49420
7678.6090	-0.49510
7680.8390	-0.49540
7682.9050	-0.49600
7684.8090	-0.49650
7686.5570	-0.49690
7688.1530	-0.49700
7689.5980	-0.49690
7690.8880	-0.49780
7692.0370	-0.49780
7693.0420	-0.49760
7693.9110	-0.49740
7694.6410	-0.49720
7695.2350	-0.49680
7695.6970	-0.49660
7696.1020	-0.49580
7696.5000	-0.49510
