# DIAMOND LIGHT SOURCE
# Instrument: I20-XAS Date: Mon, 24 Jun 2013 09:47:12 BST
# Ring energy: 3.00089 GeV
# Initial ring current: 299.04806 mA
# Filling mode: Standby
# Wiggler gap selected: 20.00000 mm
#  
# Primary slits:  vertical gap= 0.11999 mm; horizontal gap= 0.80009 mm; vertical offset= 0.02500 mm; horizontal offset= 0.00001 mm
# Secondary slits:  vertical gap= 3.00000 mm; horizontal gap= 23.50000 mm; vertical offset= 0.00000 mm; horizontal offset= 0.26000 mm
# Experimental slits:  vertical gap= 1.60000 mm; horizontal gap= 4.99996 mm; vertical offset= 0.80000 mm; horizontal offset= 0.00008 mm
#  
# Optic Hutch Mirrors Coating: Rhodium
# Monochromator crystal cut: Si(111)
# Incident angle for Harmonic Rejection Mirrors: -6.95 mrad
# Harmonic rejection mirrors coating: Silicon
# I0 Stanford sensitivity: 1 uA/V Offsets: 5 nA
# It Stanford sensitivity: 2 uA/V Offsets: 10 nA
# Iref Stanford sensitivity: 200 nA/V Offsets: 1 nA
# Atn5 (Xia) filters: empty Out 1.0mm C Out 2.0mm C Out 4.0mm C Out
# Sample stage: x: 0.50 mm y: 22.00 mm z: 3.00 mm rot: -0.00 deg roll: 0.00 deg pitch: 0.00 deg
#
# Ascii output file name: 'Cr_foil_33154_1.dat'
# Nexus output file: '/dls/i20/data/2013/cm5945-3/Cr_kedge_usersetup/nexus/33154_1.nxs'
# The XML files, ScanParameters, SampleParameters, DetectorParameters, OutputParameters
# are stored in the nexus file.
#
# Sample name: Cr_foil
# Sample description: Cr foil
##
#
#
# Dark current intensity was collected over 3.00s. Average counts per second: I0 602.00   It 439.33   Iref 301.00
# Dark current has been automatically removed from counts in main scan (I0,It,Iref)
#
# Energy	lnI0It 
5850.0000	0.52885
5855.0010	0.52447
5860.0000	0.51852
5864.9990	0.51247
5869.9980	0.50699
5874.9990	0.50103
5880.0000	0.49556
5885.0010	0.49006
5890.0000	0.48379
5895.0000	0.47842
5899.9990	0.47244
5905.0010	0.46702
5909.9990	0.46141
5915.0020	0.45544
5919.9990	0.45083
5924.9990	0.44562
5930.0010	0.43988
5934.9990	0.43430
5940.0000	0.42844
5945.0000	0.42450
5950.0000	0.41943
5954.9990	0.41403
5959.6230	0.40901
5963.5080	0.40685
5966.6850	0.40409
5969.1740	0.40172
5971.0060	0.40100
5972.2060	0.40195
5972.8000	0.39993
5973.1010	0.39950
5973.4010	0.39902
5973.7000	0.39944
5973.9990	0.39958
5974.2990	0.39941
5974.6000	0.39916
5974.8990	0.39922
5975.2000	0.39888
5975.5010	0.39857
5975.8020	0.39846
5976.1010	0.39913
5976.3990	0.39884
5976.7000	0.39844
5977.0010	0.39892
5977.3010	0.39847
5977.6010	0.39837
5977.8990	0.39872
5978.2000	0.39926
5978.5010	0.39899
5978.8010	0.39867
5979.1000	0.39856
5979.4010	0.39972
5979.7000	0.40058
5980.0000	0.40050
5980.3010	0.40058
5980.6020	0.40129
5980.9010	0.40125
5981.2000	0.40172
5981.5000	0.40207
5981.7990	0.40272
5982.1000	0.40332
5982.4000	0.40395
5982.7000	0.40519
5983.0000	0.40589
5983.3000	0.40795
5983.6000	0.40858
5983.9000	0.41026
5984.2000	0.41223
5984.5010	0.41454
5984.8000	0.41859
5985.1000	0.42244
5985.4010	0.42723
5985.7010	0.43361
5986.0000	0.44253
5986.3000	0.45524
5986.6000	0.47521
5986.9000	0.50832
5987.1990	0.56121
5987.5010	0.62870
5987.7990	0.68914
5988.1000	0.72904
5988.4000	0.75961
5988.7000	0.79128
5989.0000	0.82111
5989.3010	0.84610
5989.6000	0.86950
5989.9000	0.89096
5990.2010	0.91225
5990.5000	0.93333
5990.8010	0.95326
5991.1000	0.96953
5991.4000	0.98408
5991.6980	0.99633
5992.0010	1.00656
5992.3000	1.01331
5992.5990	1.01698
5992.9010	1.01938
5993.2010	1.01932
5993.4980	1.01686
5993.8000	1.01465
5994.1000	1.01323
5994.3990	1.01440
5994.7000	1.02067
5995.0000	1.03173
5995.3000	1.05033
5995.6000	1.07509
5995.9010	1.10428
5996.2000	1.13526
5996.4990	1.16668
5996.8000	1.19782
5997.0980	1.22863
5997.3990	1.25881
5997.7000	1.28692
5998.0010	1.31367
5998.3000	1.33821
5998.6010	1.36038
5998.9010	1.38017
5999.2000	1.39851
5999.5000	1.41583
5999.8000	1.43149
6000.1010	1.44623
6000.4010	1.46095
6000.6990	1.47447
6000.9990	1.48714
6001.3000	1.49911
6001.5990	1.51060
6001.8970	1.52220
6002.2000	1.53328
6002.5000	1.54391
6002.8000	1.55443
6003.0990	1.56561
6003.4000	1.57689
6003.7010	1.58821
6003.9990	1.59986
6004.3010	1.61137
6004.6000	1.62252
6004.9000	1.63303
6005.2010	1.64324
6005.5150	1.65437
6005.8590	1.66689
6006.2360	1.68188
6006.6480	1.69776
6007.0940	1.71223
6007.5790	1.71943
6008.1010	1.71434
6008.6650	1.69519
6009.2720	1.66549
6009.9220	1.62835
6010.6180	1.59195
6011.3500	1.56245
6012.0930	1.54462
6012.8530	1.53975
6013.6190	1.54569
6014.4010	1.55989
6015.1950	1.57953
6016.0000	1.59910
6016.8160	1.61407
6017.6480	1.62024
6018.4860	1.61834
6019.3430	1.60974
6020.2070	1.59777
6021.0860	1.58771
6021.9770	1.58532
6022.8780	1.59031
6023.7960	1.60376
6024.7230	1.62007
6025.6620	1.63268
6026.6150	1.64183
6027.5770	1.64887
6028.5530	1.65536
6029.5410	1.65898
6030.5420	1.65968
6031.5550	1.65946
6032.5780	1.66006
6033.6170	1.66305
6034.6660	1.66914
6035.7270	1.67703
6036.7990	1.68205
6037.8840	1.68318
6038.9840	1.67957
6040.0930	1.67287
6041.2160	1.66456
6042.3500	1.65773
6043.4980	1.65204
6044.6550	1.64630
6045.8280	1.63692
6047.0110	1.62270
6048.2060	1.60665
6049.4120	1.59037
6050.6320	1.57050
6051.8650	1.55384
6053.1090	1.54005
6054.3650	1.52630
6055.6350	1.51629
6056.9150	1.50741
6058.2090	1.50168
6059.5140	1.50117
6060.8300	1.50667
6062.1600	1.51744
6063.5030	1.53253
6064.8550	1.55085
6066.2230	1.57086
6067.6020	1.59173
6068.9900	1.60557
6070.3950	1.60737
6071.8090	1.59637
6073.2370	1.57880
6074.6740	1.55776
6076.1250	1.53480
6077.5890	1.51129
6079.0650	1.48773
6080.5540	1.46663
6082.0540	1.45293
6083.5660	1.44901
6085.0920	1.45722
6086.6270	1.47828
6088.1760	1.50957
6089.7380	1.54476
6091.3110	1.57885
6092.8970	1.61064
6094.4960	1.63902
6096.1040	1.65979
6097.7260	1.66754
6099.3620	1.66144
6101.0080	1.64272
6102.6650	1.61476
6104.3370	1.57998
6106.0190	1.54387
6107.7150	1.50936
6109.4230	1.48026
6111.1450	1.45911
6112.8740	1.44629
6114.6180	1.44100
6116.3760	1.44146
6118.1430	1.44592
6119.9250	1.45052
6121.7170	1.45193
6123.5200	1.44793
6125.3380	1.44084
6127.1700	1.42938
6129.0100	1.41864
6130.8640	1.41002
6132.7300	1.40476
6134.6080	1.40387
6136.4990	1.40773
6138.4020	1.40950
6140.3170	1.41146
6142.2440	1.41509
6144.1820	1.42167
6146.1320	1.43150
6148.0960	1.43990
6150.0740	1.44466
6152.0610	1.44925
6154.0610	1.45156
6156.0730	1.45920
6158.0990	1.47304
6160.1340	1.48889
6162.1830	1.50183
6164.2440	1.50689
6166.3170	1.50061
6168.4020	1.48541
6170.5010	1.46717
6172.6100	1.44541
6174.7320	1.42464
6176.8670	1.40617
6179.0140	1.38948
6181.1710	1.37690
6183.3420	1.36832
6185.5250	1.36251
6187.7200	1.35740
6189.9280	1.35278
6192.1470	1.34744
6194.3800	1.34214
6196.6240	1.33703
6198.8780	1.33273
6201.1480	1.32741
6203.4280	1.32180
6205.7200	1.31424
6208.0260	1.30367
6210.3420	1.29378
6212.6730	1.28578
6215.0130	1.28260
6217.3670	1.28409
6219.7310	1.28924
6222.1090	1.29686
6224.5040	1.30598
6226.9030	1.31640
6229.3200	1.32671
6231.7460	1.33693
6234.1840	1.34708
6236.6340	1.35585
6239.0990	1.36124
6241.5730	1.36316
6244.0610	1.36032
6246.5630	1.35193
6249.0730	1.33679
6251.5990	1.31624
6254.1360	1.29367
6256.6830	1.27343
6259.2430	1.25900
6261.8190	1.25044
6264.4020	1.24575
6267.0000	1.24328
6269.6100	1.24123
6272.2320	1.23692
6274.8670	1.23126
6277.5140	1.22617
6280.1700	1.22253
6282.8410	1.22089
6285.5240	1.22013
6288.2180	1.21773
6290.9270	1.21330
6293.6450	1.20823
6296.3790	1.20068
6299.1210	1.19366
6301.8770	1.18930
6304.6470	1.18526
6307.4260	1.18257
6310.2180	1.18124
6313.0240	1.18235
6315.8390	1.18709
6318.6690	1.19031
6321.5120	1.19333
6324.3660	1.19514
6327.2310	1.19452
6330.1100	1.19395
6333.0000	1.19289
6335.9020	1.18941
6338.8150	1.18528
6341.7420	1.17858
6344.6810	1.17139
6347.6300	1.16421
6350.5950	1.15760
6353.5690	1.15121
6356.5580	1.14324
6359.5570	1.13299
6362.5700	1.12338
6365.5930	1.11432
6368.6300	1.10782
6371.6790	1.10385
6374.7390	1.10089
6377.8140	1.09912
6380.8990	1.09653
6383.9940	1.09396
6387.1050	1.08975
6390.2270	1.08527
6393.3600	1.08214
6396.5060	1.07866
6399.6660	1.07631
6402.8340	1.07477
6406.0190	1.07232
6409.2130	1.06865
6412.4210	1.06504
6415.6390	1.06030
6418.8710	1.05529
6422.1170	1.05171
6425.3700	1.04933
6428.6390	1.04872
6431.9180	1.04789
6435.2110	1.04695
6438.5160	1.04506
6441.8310	1.04205
6445.1610	1.03712
6448.5030	1.03061
6451.8560	1.02380
6455.2220	1.01708
6458.6010	1.01137
6461.9900	1.00600
6465.3920	1.00117
6468.8070	0.99736
6472.2340	0.99333
6475.6720	0.98927
6479.1210	0.98367
6482.5860	0.97841
6486.0610	0.97424
6489.5490	0.97115
6493.0490	0.96881
6496.5600	0.96617
6500.0850	0.96292
