# DIAMOND LIGHT SOURCE
# Instrument: I20-XAS Date: Mon, 5 Aug 2013 16:14:12 BST
# Ring energy: 3.00092 GeV
# Initial ring current: 300.83517 mA
# Filling mode: Standby
# Wiggler gap selected: 20.00000 mm
#  
# Primary slits:  vertical gap= 0.12005 mm; horizontal gap= 0.80017 mm; vertical offset= 0.02498 mm; horizontal offset= 0.00002 mm
# Secondary slits:  vertical gap= 2.99900 mm; horizontal gap= 23.49900 mm; vertical offset= -0.00050 mm; horizontal offset= 0.25950 mm
# Experimental slits:  vertical gap= 1.50000 mm; horizontal gap= 4.99996 mm; vertical offset= 0.64000 mm; horizontal offset= 0.00008 mm
#  
# Optic Hutch Mirrors Coating: Rhodium
# Monochromator crystal cut: Si(111)
# Incident angle for Harmonic Rejection Mirrors: -7.92 mrad
# Harmonic rejection mirrors coating: Rhodium
# I0 Stanford sensitivity: 2 uA/V Offsets: 20 nA
# It Stanford sensitivity: 2 uA/V Offsets: 10 nA
# Iref Stanford sensitivity: 500 nA/V Offsets: 2 nA
# Atn5 (Xia) filters: Al 0.2 mm In Al 0.5 mm Out Al 1.0 mm Out Al 3.0 mm Out
# Sample stage: x: 0.00 mm y: 15.80 mm z: 4.00 mm rot: -0.00 deg roll: 0.00 deg pitch: 0.00 deg
#
# Ascii output file name: 'Cu_foil_34819_1.dat'
# Nexus output file: '/dls/i20/data/2013/cm5945-3/Cu_K_edge/nexus/34819_1.nxs'
# The XML files, ScanParameters, SampleParameters, DetectorParameters, OutputParameters
# are stored in the nexus file.
#
# Sample name: Cu_foil
# Sample description: Copper foil
##
#
#
# Dark current intensity was collected over 1.00s. Average counts per second: I0 1047.00   It 416.00   Iref 235.00
# Dark current has been automatically removed from counts in main scan (I0,It,Iref)
#
# Energy	lnI0It          	
8779.0000	-0.71206
8784.0000	-0.71435
8789.0020	-0.71651
8794.0020	-0.71860
8798.9990	-0.72045
8804.0010	-0.72264
8809.0010	-0.72468
8814.0010	-0.72666
8818.9990	-0.72862
8823.9980	-0.73071
8828.9980	-0.73278
8834.0020	-0.73485
8839.0000	-0.73691
8843.9980	-0.73894
8848.9980	-0.74104
8854.0000	-0.74298
8859.0010	-0.74489
8863.9980	-0.74665
8869.0000	-0.74876
8873.9990	-0.75079
8879.0010	-0.75278
8884.0000	-0.75479
8889.0000	-0.75674
8894.0020	-0.75860
8899.0000	-0.76047
8904.0010	-0.76236
8909.0020	-0.76411
8913.9990	-0.76587
8918.9990	-0.76776
8923.9970	-0.76931
8929.0010	-0.77082
8933.7910	-0.77226
8938.1880	-0.77355
8942.1800	-0.77487
8945.7980	-0.77573
8949.0450	-0.77668
8951.9340	-0.77732
8954.4730	-0.77744
8956.6820	-0.77772
8958.5640	-0.77783
8960.1290	-0.77756
8961.3980	-0.77756
8962.3730	-0.77716
8963.0700	-0.77707
8963.4990	-0.77681
8963.8000	-0.77679
8964.1010	-0.77674
8964.4040	-0.77663
8964.7020	-0.77646
8965.0030	-0.77625
8965.2990	-0.77615
8965.6020	-0.77602
8965.8980	-0.77574
8966.2010	-0.77554
8966.5020	-0.77538
8966.7970	-0.77525
8967.0970	-0.77506
8967.4000	-0.77471
8967.7010	-0.77453
8968.0010	-0.77424
8968.2990	-0.77391
8968.5980	-0.77350
8968.9000	-0.77315
8969.1990	-0.77275
8969.4990	-0.77217
8969.8000	-0.77185
8970.1030	-0.77141
8970.3980	-0.77095
8970.6980	-0.77032
8970.9980	-0.76982
8971.3020	-0.76914
8971.6000	-0.76846
8971.9030	-0.76763
8972.2010	-0.76671
8972.5000	-0.76557
