# DIAMOND LIGHT SOURCE
# Instrument: I20-XAS Date: Sat, 29 Jun 2013 09:02:00 BST
# Ring energy: 3.00093 GeV
# Initial ring current: 301.36696 mA
# Filling mode: Standby
# Wiggler gap selected: 20.00000 mm
#  
# Primary slits:  vertical gap= 0.11999 mm; horizontal gap= 0.80009 mm; vertical offset= 0.02500 mm; horizontal offset= 0.00001 mm
# Secondary slits:  vertical gap= 3.00000 mm; horizontal gap= 23.49900 mm; vertical offset= 0.00000 mm; horizontal offset= 0.25950 mm
# Experimental slits:  vertical gap= 2.00000 mm; horizontal gap= 4.99996 mm; vertical offset= 0.70000 mm; horizontal offset= 0.00008 mm
#  
# Optic Hutch Mirrors Coating: Rhodium
# Monochromator crystal cut: Si(111)
# Incident angle for Harmonic Rejection Mirrors: -6.45 mrad
# Harmonic rejection mirrors coating: Silicon
# I0 Stanford sensitivity: 2 uA/V Offsets: 10 nA
# It Stanford sensitivity: 2 uA/V Offsets: 10 nA
# Iref Stanford sensitivity: 200 nA/V Offsets: 1 nA
# Atn5 (Xia) filters: 0.5mm C In 1.0mm C Out 2.0mm C Out 4.0mm C Out
# Sample stage: x: 0.00 mm y: 12.00 mm z: 3.00 mm rot: -0.00 deg roll: 0.00 deg pitch: 0.00 deg
#
# Ascii output file name: 'Fe_foil_33428_1.dat'
# Nexus output file: '/dls/i20/data/2013/sp2531-1/Fe_foil/nexus/33428_1.nxs'
# The XML files, ScanParameters, SampleParameters, DetectorParameters, OutputParameters
# are stored in the nexus file.
#
# Sample name: Fe_foil
# Sample description: Fe foil
##
#
#
# Dark current intensity was collected over 3.00s. Average counts per second: I0 102.33   It 445.33   Iref 296.00
# Dark current has been automatically removed from counts in main scan (I0,It,Iref)
#
# Energy	lnI0It          	
6949.9980	-0.17688
6955.0000	-0.18080
6960.0000	-0.18486
6965.0000	-0.18835
6969.9980	-0.19183
6974.9990	-0.19587
6979.9990	-0.19970
6984.9990	-0.20342
6990.0010	-0.20683
6994.9990	-0.21054
7000.0000	-0.21438
7004.9970	-0.21803
7010.0010	-0.22172
7015.0010	-0.22523
7019.9990	-0.22877
7024.9990	-0.23253
7030.0000	-0.23616
7035.0010	-0.23981
7040.0000	-0.24303
7045.0000	-0.24705
7050.0000	-0.25049
7055.0000	-0.25375
7060.0010	-0.25639
7065.0000	-0.25988
7070.0010	-0.26310
7075.0000	-0.26590
7079.6750	-0.26886
7083.7240	-0.27114
7087.1710	-0.27230
7090.0520	-0.27369
7092.3940	-0.27440
7094.2290	-0.27437
7095.5880	-0.27482
7096.5030	-0.27475
7097.0000	-0.27462
7097.3000	-0.27484
7097.5990	-0.27462
7097.9020	-0.27429
7098.2000	-0.27459
7098.5000	-0.27396
7098.7980	-0.27442
7099.0980	-0.27443
7099.3990	-0.27448
7099.7020	-0.27434
7100.0010	-0.27406
7100.3010	-0.27420
7100.6000	-0.27430
7100.8990	-0.27400
7101.2010	-0.27359
7101.5010	-0.27332
7101.7980	-0.27332
7102.0990	-0.27339
7102.3990	-0.27311
7102.7010	-0.27275
7102.9990	-0.27217
7103.3010	-0.27138
7103.6000	-0.27149
7103.8990	-0.27128
7104.2000	-0.27108
7104.5000	-0.27047
7104.8000	-0.26976
7105.0990	-0.26895
7105.4000	-0.26870
7105.6980	-0.26793
7106.0010	-0.26709
7106.2990	-0.26569
7106.6010	-0.26467
7106.9020	-0.26362
7107.2010	-0.26246
7107.4990	-0.26105
7107.8030	-0.25940
7108.1000	-0.25763
7108.4000	-0.25554
7108.7000	-0.25208
7109.0010	-0.24905
7109.3000	-0.24520
7109.6010	-0.24067
7109.8990	-0.23500
7110.2000	-0.22737
7110.5000	-0.21688
7110.8000	-0.20163
7111.1000	-0.17872
7111.3980	-0.14347
7111.7030	-0.09269
7112.0000	-0.03120
7112.3010	0.02933
7112.5990	0.08255
7112.9010	0.12356
7113.1980	0.15703
7113.4980	0.18603
7113.7990	0.21260
7114.1000	0.23806
7114.4000	0.26231
7114.7020	0.28481
7114.9990	0.30443
7115.2990	0.32100
7115.6000	0.33341
7115.8990	0.34303
7116.2010	0.34907
7116.4990	0.35309
7116.7980	0.35742
7117.0990	0.36281
7117.4010	0.37144
7117.6990	0.38516
7117.9990	0.40606
7118.3000	0.43408
7118.5990	0.46768
7118.8980	0.50515
7119.1980	0.54412
7119.4990	0.58492
7119.8000	0.62559
7120.1010	0.66735
7120.4000	0.71067
7120.7000	0.75524
7120.9990	0.80056
7121.3010	0.84541
7121.6010	0.88846
7121.9020	0.92820
7122.2000	0.96519
7122.5000	0.99823
7122.8000	1.02833
7123.1000	1.05605
7123.4000	1.08252
7123.6990	1.10574
7124.0030	1.12735
7124.3000	1.14744
7124.6010	1.16660
7124.9000	1.18533
7125.2010	1.20275
7125.4990	1.21935
7125.8020	1.23505
7126.1000	1.25046
7126.4010	1.26669
7126.7000	1.28295
7127.0000	1.29932
7127.3120	1.31742
7127.6490	1.33910
7128.0170	1.36367
7128.4120	1.39390
7128.8420	1.42979
