# DIAMOND LIGHT SOURCE
# Instrument: I20-XAS Date: Tue, 29 May 2012 11:29:46 BST
# Ring energy: 3.00086 GeV
# Initial ring current: 298.39219 mA
# Filling mode: Remote Fill
# Wiggler gap selected: 25.00000 mm
#  
# Primary slits:  vertical gap= 0.12005 mm; horizontal gap= 0.80003 mm; vertical offset= 0.01994 mm; horizontal offset= -0.00005 mm
# Secondary slits:  vertical gap= 6.00000 mm; horizontal gap= 24.50300 mm; vertical offset= 0.00000 mm; horizontal offset= -0.00150 mm
# Experimental slits:  vertical gap= 12.00000 mm; horizontal gap= 12.79992 mm; vertical offset= 0.00000 mm; horizontal offset= -0.00017 mm
#  
# Optic Hutch Mirrors Coating: Rhodium
# Monochromator crystal cut: Si(111)
# Incident angle for Harmonic Rejection Mirrors: -6.39 mrad
# Harmonic rejection mirrors coating: Si 7keV
# I0 Stanford sensitivity: 10 uA/V
# It Stanford sensitivity: 1 uA/V
#
# Ascii output file name: 'Mn foil_21457.dat'
# Nexus output file: '/dls/i20/data/2012/cm5715-2/Mn_foil_XAS/nexus/Mn foil_21457.nxs'
# The XML files, ScanParameters, SampleParameters, DetectorParameters, OutputParameters
# are stored in the nexus file.
#
# Sample description: Please add a description...
#
#
# Dark current intensity (Hz): I0      0   It      0   Iref      0
# Dark current has been automatically removed from counts in main scan (I0,It,Iref)
#
# Energy	lnI0It          	
6339.0000	-0.71270
6341.0000	-0.71500
6343.0000	-0.71780
6345.0000	-0.72080
6347.0000	-0.72370
6349.0000	-0.72600
6351.0000	-0.72920
6353.0000	-0.73250
6355.0000	-0.73500
6357.0000	-0.73780
6359.0000	-0.74090
6361.0000	-0.74320
6363.0000	-0.74620
6365.0000	-0.74940
6367.0000	-0.75230
6369.0000	-0.75520
6371.0000	-0.75760
6373.0000	-0.76020
6375.0000	-0.76250
6377.0000	-0.76640
6379.0000	-0.76880
6381.0000	-0.77180
6383.0000	-0.77490
6385.0000	-0.77730
6387.0000	-0.77980
6389.0000	-0.78280
6391.0000	-0.78580
6393.0000	-0.78810
6395.0000	-0.79100
6397.0000	-0.79240
6399.0000	-0.79670
6401.0000	-0.79950
6403.0000	-0.80240
6405.0000	-0.80510
6407.0000	-0.80790
6409.0000	-0.81070
6411.0000	-0.81370
6413.0000	-0.81620
6415.0000	-0.81860
6417.0000	-0.82180
6419.0000	-0.82400
6421.0000	-0.82710
6423.0000	-0.82990
6425.0000	-0.83220
6427.0000	-0.83510
6429.0000	-0.83830
6431.0000	-0.84070
6433.0000	-0.84330
6435.0000	-0.84640
6437.0000	-0.84870
6439.0000	-0.85170
6441.0000	-0.85340
6443.0000	-0.85730
6445.0000	-0.85950
6447.0000	-0.86210
6449.0000	-0.86500
6451.0000	-0.86810
6453.0000	-0.87010
6455.0000	-0.87280
6457.0000	-0.87610
6459.0000	-0.87800
6461.0000	-0.88080
6463.0000	-0.88370
6465.0000	-0.88620
6467.0000	-0.88930
6469.0000	-0.89200
6471.0000	-0.89430
6473.0000	-0.89700
6475.0000	-0.89940
6477.0000	-0.90230
6479.0000	-0.90450
6481.0000	-0.90680
6483.0000	-0.90960
6485.0000	-0.91210
6487.0000	-0.91450
6489.0000	-0.91810
6491.0000	-0.91990
6493.0000	-0.92290
6495.0000	-0.92560
6497.0000	-0.92790
6499.0000	-0.93040
6501.0000	-0.93240
6503.0000	-0.93530
6505.0000	-0.93700
6507.0000	-0.94040
6509.0000	-0.94280
6511.0000	-0.94450
6513.0000	-0.94640
6515.0000	-0.94900
6516.9300	-0.95140
6518.6900	-0.95320
6520.3000	-0.95420
6521.7600	-0.95530
6523.0700	-0.95670
6524.2400	-0.95740
6525.2500	-0.95770
6526.1100	-0.95810
6526.8300	-0.95850
6527.4000	-0.95810
6527.9000	-0.95850
6528.4000	-0.95850
6528.9000	-0.95820
6529.4000	-0.95840
6529.9000	-0.95770
6530.4000	-0.95710
6530.9000	-0.95650
6531.4000	-0.95580
6531.9000	-0.95440
6532.4000	-0.95290
6532.9000	-0.95060
6533.4000	-0.94740
6533.9000	-0.94220
6534.4000	-0.93490
6534.9000	-0.92260
6535.4000	-0.89740
6535.9000	-0.84310
6536.4000	-0.76500
6536.9000	-0.70240
6537.4000	-0.65920
6537.9000	-0.62640
6538.4000	-0.59800
6538.9000	-0.57500
6539.4000	-0.56000
6539.9000	-0.55360
6540.4000	-0.54810
6540.9000	-0.53450
6541.4000	-0.51400
6541.9000	-0.48990
6542.4000	-0.46720
6542.9000	-0.44400
6543.4000	-0.41910
6543.9000	-0.39070
6544.4000	-0.35970
6544.9000	-0.32530
6545.4000	-0.28840
6545.9000	-0.24810
6546.4000	-0.20690
6546.9000	-0.16410
6547.4000	-0.11940
6547.9000	-0.07371
6548.4000	-0.02891
6548.9000	0.01335
6549.4000	0.05362
6549.9000	0.09378
6550.4000	0.13190
6550.6000	0.14660
6551.1200	0.18430
6551.7000	0.21990
6552.3300	0.24880
6553.0500	0.26200
6553.8500	0.24930
6554.7500	0.21090
6555.7700	0.15860
6556.9100	0.11380
6558.1800	0.08936
6559.6000	0.08649
6561.1000	0.09654
6562.6000	0.10790
6564.1000	0.11380
6565.6000	0.11410
6567.1000	0.10870
6568.6000	0.10250
6570.1000	0.09903
6571.6000	0.10050
6573.1000	0.10810
6574.6000	0.11970
6576.1000	0.13050
6577.6000	0.14310
6579.1000	0.15490
6580.6000	0.16520
6582.1000	0.17060
6583.6000	0.16860
6585.1000	0.15680
6586.6000	0.13880
6588.1000	0.12040
6589.6000	0.10480
6591.1000	0.09251
6592.6000	0.08130
6594.1000	0.06867
6595.6000	0.05799
6597.1000	0.04854
6598.6000	0.04313
6600.1000	0.04134
6601.6000	0.04194
6603.1000	0.04354
6604.6000	0.04659
6606.1000	0.05100
6607.6000	0.05551
6609.1000	0.05982
6610.6000	0.06420
6612.1000	0.06774
6613.6000	0.06910
6615.1000	0.06969
6616.6000	0.06892
6618.1000	0.06731
6619.6000	0.06498
6621.1000	0.06081
6622.6000	0.05649
6624.1000	0.05091
6625.6000	0.04558
6627.1000	0.04020
6628.6000	0.03575
6630.1000	0.03139
6631.6000	0.02792
6633.1000	0.02657
6634.6000	0.02502
6636.1000	0.02326
6637.6000	0.02142
6639.1000	0.01964
6640.6000	0.01624
6642.1000	0.01203
6643.6000	0.00693
6645.1000	0.00112
6646.6000	-0.00454
6648.1000	-0.00998
6649.6000	-0.01601
6651.1000	-0.02049
6652.6000	-0.02412
6654.1000	-0.02811
6655.6000	-0.03117
6657.1000	-0.03332
6658.6000	-0.03348
6660.1000	-0.03543
6661.6000	-0.03546
6663.1000	-0.03513
6664.6000	-0.03477
6666.1000	-0.03426
6667.6000	-0.03370
6669.1000	-0.03342
6670.6000	-0.03337
6672.1000	-0.03482
6673.6000	-0.03522
6675.1000	-0.03728
6676.6000	-0.03875
6678.1000	-0.04099
6679.6000	-0.04335
6681.1000	-0.04607
6682.6000	-0.04898
6684.1000	-0.05315
6685.6000	-0.05635
6687.1000	-0.06103
6688.6000	-0.06511
6690.1000	-0.07040
6691.6000	-0.07547
6693.1000	-0.08063
6694.6000	-0.08537
6696.1000	-0.08997
