# DIAMOND LIGHT SOURCE
# Instrument: I20-XAS Date: Sat, 13 Jul 2013 08:51:41 BST
# Ring energy: 3.00091 GeV
# Initial ring current: 301.60874 mA
# Filling mode: Standby
# Wiggler gap selected: 20.00000 mm
#  
# Primary slits:  vertical gap= 0.11999 mm; horizontal gap= 0.80009 mm; vertical offset= 0.02500 mm; horizontal offset= 0.00001 mm
# Secondary slits:  vertical gap= 2.99900 mm; horizontal gap= 23.49900 mm; vertical offset= -0.00050 mm; horizontal offset= 0.25950 mm
# Experimental slits:  vertical gap= 1.50000 mm; horizontal gap= 4.99996 mm; vertical offset= -3.75000 mm; horizontal offset= 0.00008 mm
#  
# Optic Hutch Mirrors Coating: Rhodium
# Monochromator crystal cut: Si(111)
# Incident angle for Harmonic Rejection Mirrors: -2.92 mrad
# Harmonic rejection mirrors coating: Rhodium
# I0 Stanford sensitivity: 2 uA/V Offsets: 10 nA
# It Stanford sensitivity: 2 uA/V Offsets: 10 nA
# Iref Stanford sensitivity: 1 uA/V Offsets: 5 nA
# Atn5 (Xia) filters: 0.2mm Al Out 0.5mm Al Out 1.0mm Al Out 3.00mm Al In
# Sample stage: x: -2.00 mm y: 18.00 mm z: -1.50 mm rot: -0.00 deg roll: 0.00 deg pitch: 0.00 deg
#
# Ascii output file name: 'Nb_foil_33867_1.dat'
# Nexus output file: '/dls/i20/data/2013/sp6922-1/Nb_Kedge/nexus/33867_1.nxs'
# The XML files, ScanParameters, SampleParameters, DetectorParameters, OutputParameters
# are stored in the nexus file.
#
# Sample name: Nb_foil
# Sample description: Nb foil
##
#
#
# Dark current intensity was collected over 3.00s. Average counts per second: I0 70.67   It 422.33   Iref 490.33
# Dark current has been automatically removed from counts in main scan (I0,It,Iref)
#
# Energy	lnI0It          	
18799.9980	-0.63820
18804.9970	-0.63873
18809.9970	-0.63933
18815.0100	-0.63992
18819.9950	-0.64054
18825.0070	-0.64110
18829.9930	-0.64166
18835.0020	-0.64221
18840.0070	-0.64277
18844.9990	-0.64331
18849.9920	-0.64375
18855.0000	-0.64423
18859.9960	-0.64474
18865.0140	-0.64525
18870.0000	-0.64566
18874.9910	-0.64603
18880.0000	-0.64644
18884.9980	-0.64677
18889.9930	-0.64709
18895.0070	-0.64736
18900.0090	-0.64758
18904.8380	-0.64768
18909.3760	-0.64777
18913.6360	-0.64777
18917.5940	-0.64768
18921.2360	-0.64754
18924.6250	-0.64734
18927.7260	-0.64706
18930.5430	-0.64681
18933.1030	-0.64650
18935.4020	-0.64610
18937.4570	-0.64570
18939.2450	-0.64540
18940.7820	-0.64500
18942.0990	-0.64470
18943.1590	-0.64436
18943.9840	-0.64413
18944.6050	-0.64396
18945.0930	-0.64377
18945.6050	-0.64363
18946.1110	-0.64345
18946.5940	-0.64332
18947.1000	-0.64313
18947.6030	-0.64302
18948.0950	-0.64274
18948.6010	-0.64250
18949.0950	-0.64226
18949.6050	-0.64207
18950.1000	-0.64187
18950.6060	-0.64161
18951.1090	-0.64137
18951.5950	-0.64107
18952.0990	-0.64087
18952.6000	-0.64060
18953.0990	-0.64028
18953.5880	-0.64004
18954.0930	-0.63972
18954.6040	-0.63936
18955.0990	-0.63905
18955.6020	-0.63875
18956.0970	-0.63835
18956.6080	-0.63796
18957.0900	-0.63753
18957.5960	-0.63722
18958.1020	-0.63680
18958.5950	-0.63638
18959.0980	-0.63593
18959.6000	-0.63547
18960.1090	-0.63500
18960.5970	-0.63453
18961.1010	-0.63393
18961.6100	-0.63338
18962.0980	-0.63282
18962.6050	-0.63225
18963.1090	-0.63171
18963.5910	-0.63101
18964.1060	-0.63034
18964.6130	-0.62961
18965.0990	-0.62888
18965.5970	-0.62807
18966.0950	-0.62723
18966.6010	-0.62639
18967.0990	-0.62537
18967.6030	-0.62445
18968.1060	-0.62352
18968.5900	-0.62238
18969.1030	-0.62127
18969.5970	-0.62003
18970.0900	-0.61870
18970.6130	-0.61738
18971.1060	-0.61598
18971.5950	-0.61444
18972.1040	-0.61273
18972.5960	-0.61098
18973.0960	-0.60906
18973.5990	-0.60701
18974.1050	-0.60480
18974.5990	-0.60244
18975.1020	-0.59980
18975.6070	-0.59698
18976.1030	-0.59383
18976.5970	-0.59046
18977.1040	-0.58662
