# DIAMOND LIGHT SOURCE
# Instrument: I20-XAS Date: Mon, 5 Aug 2013 16:14:12 BST
# Ring energy: 3.00092 GeV
# Initial ring current: 300.83517 mA
# Filling mode: Standby
# Wiggler gap selected: 20.00000 mm
#  
# Primary slits:  vertical gap= 0.12005 mm; horizontal gap= 0.80017 mm; vertical offset= 0.02498 mm; horizontal offset= 0.00002 mm
# Secondary slits:  vertical gap= 2.99900 mm; horizontal gap= 23.49900 mm; vertical offset= -0.00050 mm; horizontal offset= 0.25950 mm
# Experimental slits:  vertical gap= 1.50000 mm; horizontal gap= 4.99996 mm; vertical offset= 0.64000 mm; horizontal offset= 0.00008 mm
#  
# Optic Hutch Mirrors Coating: Rhodium
# Monochromator crystal cut: Si(111)
# Incident angle for Harmonic Rejection Mirrors: -7.92 mrad
# Harmonic rejection mirrors coating: Rhodium
# I0 Stanford sensitivity: 2 uA/V Offsets: 20 nA
# It Stanford sensitivity: 2 uA/V Offsets: 10 nA
# Iref Stanford sensitivity: 500 nA/V Offsets: 2 nA
# Atn5 (Xia) filters: Al 0.2 mm In Al 0.5 mm Out Al 1.0 mm Out Al 3.0 mm Out
# Sample stage: x: 0.00 mm y: 15.80 mm z: 4.00 mm rot: -0.00 deg roll: 0.00 deg pitch: 0.00 deg
#
# Ascii output file name: 'Cu_foil_34819_1.dat'
# Nexus output file: '/dls/i20/data/2013/cm5945-3/Cu_K_edge/nexus/34819_1.nxs'
# The XML files, ScanParameters, SampleParameters, DetectorParameters, OutputParameters
# are stored in the nexus file.
#
# Sample name: Pd foil
# Sample description: Pd foil from BM29 calibrated in athena
##
#
#
# Dark current intensity was collected over 1.00s. Average counts per second: I0 1047.00   It 416.00   Iref 235.00
# Dark current has been automatically removed from counts in main scan (I0,It,Iref)
#
# Energy	lnI0It 
24161.64	-2.72358
24166.506	-2.72345
24171.088	-2.72353
24175.385	-2.72376
24179.397	-2.72385
24183.124	-2.72415
24186.564	-2.72389
24189.719	-2.72401
24192.588	-2.72385
24195.171	-2.72402
24197.467	-2.7241
24199.477	-2.72419
24201.199	-2.72388
24202.779	-2.72371
24203.927	-2.72403
24204.789	-2.72408
24205.363	-2.72411
24205.651	-2.72421
24205.938	-2.7239
24206.225	-2.72433
24206.512	-2.72405
24206.943	-2.72394
24207.231	-2.72406
24207.518	-2.72403
24207.805	-2.72444
24208.092	-2.72412
24208.38	-2.72412
24208.667	-2.72428
24208.954	-2.72391
24209.242	-2.72417
24209.529	-2.72419
24209.816	-2.72407
24210.104	-2.72416
24210.535	-2.72407
24210.822	-2.72411
24211.109	-2.72388
24211.397	-2.72411
24211.684	-2.72386
24211.972	-2.72424
24212.259	-2.72419
24212.546	-2.72405
24212.834	-2.72421
24213.121	-2.72423
24213.409	-2.72394
24213.84	-2.72414
24214.127	-2.72394
24214.415	-2.72401
24214.702	-2.72432
24214.989	-2.72406
24215.277	-2.72423
24215.564	-2.72415
24215.852	-2.72383
24216.139	-2.72415
24216.427	-2.72432
24216.714	-2.72406
24217.002	-2.72404
24217.433	-2.72393
24217.721	-2.72394
24218.008	-2.72438
24218.296	-2.72418
24218.583	-2.7241
24218.871	-2.72388
24219.158	-2.72425
24219.446	-2.72394
24219.733	-2.72417
24220.021	-2.72411
24220.309	-2.7239
24220.74	-2.72409
24221.028	-2.72402
24221.315	-2.72418
24221.603	-2.72418
24221.89	-2.72429
24222.178	-2.72395
24222.466	-2.72386
24222.753	-2.72413
24223.041	-2.72392
24223.329	-2.72409
24223.616	-2.72412
24223.904	-2.72401
24224.336	-2.72373
24224.623	-2.72425
24224.911	-2.72376
24225.199	-2.72385
