# DIAMOND LIGHT SOURCE
# Instrument: I20-XAS Date: Thu, 30 May 2013 21:39:16 BST
# Ring energy: 3.00095 GeV
# Initial ring current: 298.25784 mA
# Filling mode: Standby
# Wiggler gap selected: 20.00000 mm
#  
# Primary slits:  vertical gap= 0.12004 mm; horizontal gap= 0.80012 mm; vertical offset= 0.02503 mm; horizontal offset= 0.00002 mm
# Secondary slits:  vertical gap= 5.00000 mm; horizontal gap= 26.00100 mm; vertical offset= -0.15000 mm; horizontal offset= 0.68950 mm
# Experimental slits:  vertical gap= 1.20000 mm; horizontal gap= 10.00004 mm; vertical offset= 0.70000 mm; horizontal offset= 0.00001 mm
#  
# Optic Hutch Mirrors Coating: Rhodium
# Monochromator crystal cut: Si(111)
# Incident angle for Harmonic Rejection Mirrors: -6.42 mrad
# Harmonic rejection mirrors coating: Silicon
# I0 Stanford sensitivity: 2 uA/V Offsets: 10 nA
# It Stanford sensitivity: 2 uA/V Offsets: 10 nA
# Iref Stanford sensitivity: 200 nA/V Offsets: 1 nA
# Atn5 (Xia) filters: Empty Out 1mm vC Out 2mm vC In 4mm vC Out
# Sample stage: x: -2.65 mm y: 20.00 mm z: 0.00 mm rot: -0.00 deg roll: 0.00 deg pitch: 0.00 deg
#
# Ascii output file name: 'Cofoil_32553_1.dat'
# Nexus output file: '/dls/i20/data/2013/cm5945-2/Co_K_edge/nexus/32553_1.nxs'
# The XML files, ScanParameters, SampleParameters, DetectorParameters, OutputParameters
# are stored in the nexus file.
#
# Sample name: Cofoil
# Sample description: Cofoil
##
#
#
# Dark current intensity was collected over 3.00s. Average counts per second: I0 128.00   It 440.67   Iref 279.67
# Dark current has been automatically removed from counts in main scan (I0,It,Iref)
#
# Energy	lnI0It 
11364.0000	-0.16722
11369.0020	-0.16972
11373.9980	-0.17187
11379.0000	-0.17425
11384.0030	-0.17647
11389.0100	-0.17819
11394.0000	-0.18039
11398.9950	-0.18254
11403.9940	-0.18446
11408.9350	-0.18624
11413.7560	-0.18802
11418.4640	-0.18986
11423.0300	-0.19182
11427.5000	-0.19383
11431.8340	-0.19566
11436.0570	-0.19739
11440.1550	-0.19918
11444.1420	-0.20087
11448.0160	-0.20223
11451.7550	-0.20368
11455.3860	-0.20517
11458.8980	-0.20664
11462.2900	-0.20796
11465.5620	-0.20937
11468.7340	-0.21055
11471.7840	-0.21176
11474.7260	-0.21286
11477.5250	-0.21377
11480.2270	-0.21485
11482.8080	-0.21580
11485.2880	-0.21670
11487.6510	-0.21749
11489.8900	-0.21824
11492.0170	-0.21896
11494.0330	-0.21962
11495.9390	-0.22021
11497.7220	-0.22064
11499.4060	-0.22110
11500.9760	-0.22152
11502.4340	-0.22186
11503.7740	-0.22225
11505.0150	-0.22243
11506.1270	-0.22280
11507.1410	-0.22303
11508.0360	-0.22323
11508.8290	-0.22334
11509.5110	-0.22336
11510.0750	-0.22349
11510.5460	-0.22355
11510.9030	-0.22358
11511.1880	-0.22363
11511.4960	-0.22365
11511.7980	-0.22371
11512.1000	-0.22362
11512.4060	-0.22365
11512.6970	-0.22360
11513.0060	-0.22373
11513.2970	-0.22381
11513.5930	-0.22387
11513.9000	-0.22393
11514.2010	-0.22401
11514.5130	-0.22409
11514.8030	-0.22418
11515.1000	-0.22430
11515.3950	-0.22432
11515.6910	-0.22430
11516.0040	-0.22437
11516.3090	-0.22439
11516.6080	-0.22414
11516.8990	-0.22433
11517.1970	-0.22440
11517.4990	-0.22441
11517.7960	-0.22444
11518.1080	-0.22449
11518.4020	-0.22453
11518.6980	-0.22462
11518.9980	-0.22465
11519.3010	-0.22461
11519.6090	-0.22455
11519.9090	-0.22443
11520.2020	-0.22453
11520.4990	-0.22459
11520.7930	-0.22456
11521.1000	-0.22445
11521.4050	-0.22443
11521.7030	-0.22444
11521.9940	-0.22443
11522.2970	-0.22443
11522.5950	-0.22443
11522.9030	-0.22426
11523.2070	-0.22418
11523.5070	-0.22424
11523.8020	-0.22426
11524.0940	-0.22424
11524.3980	-0.22417
11524.7040	-0.22411
11525.0050	-0.22402
11525.3030	-0.22395
11525.5950	-0.22396
11525.8930	-0.22396
11526.1950	-0.22389
11526.4990	-0.22382
11526.8020	-0.22378
11527.0970	-0.22365
11527.3930	-0.22359
11527.6990	-0.22343
11527.9930	-0.22340
11528.3070	-0.22336
11528.6100	-0.22316
11528.8920	-0.22293
11529.2010	-0.22287
11529.5070	-0.22286
11529.8060	-0.22271
11530.1070	-0.22264
11530.4040	-0.22240
11530.7090	-0.22230
11531.0020	-0.22213
11531.3070	-0.22201
11531.6030	-0.22191
11531.8950	-0.22176
11532.1920	-0.22162
11532.5080	-0.22125
11532.7990	-0.22115
11533.0960	-0.22099
11533.3950	-0.22082
11533.7110	-0.22067
11533.9950	-0.22051
11534.2980	-0.22009
11534.5920	-0.21998
11534.8940	-0.21971
11535.2090	-0.21942
11535.4950	-0.21915
11535.8020	-0.21851
11536.1070	-0.21829
11536.4010	-0.21804
11536.7060	-0.21772
11537.0010	-0.21740
11537.2920	-0.21708
11537.5900	-0.21670
11537.9010	-0.21622
11538.2040	-0.21596
11538.4910	-0.21560
11538.7950	-0.21524
11539.0970	-0.21483
11539.4030	-0.21438
11539.6980	-0.21399
11539.9970	-0.21357
11540.3000	-0.21303
11540.5990	-0.21250
11540.9120	-0.21206
11541.2010	-0.21156
11541.5040	-0.21102
11541.7950	-0.21048
11542.0980	-0.20987
11542.4030	-0.20914
11542.7060	-0.20836
11542.9930	-0.20780
11543.2940	-0.20718
11543.5980	-0.20645
11543.9030	-0.20566
11544.1990	-0.20485
11544.5030	-0.20394
11544.8000	-0.20318
11545.1070	-0.20233
11545.4040	-0.20137
11545.7000	-0.20031
11545.9980	-0.19947
11546.2890	-0.19842
11546.5950	-0.19718
11546.8980	-0.19608
11547.1980	-0.19482
11547.4940	-0.19365
11547.7980	-0.19228
11548.0990	-0.19078
11548.3980	-0.18936
11548.7000	-0.18787
11548.9930	-0.18626
11549.2980	-0.18449
11549.6030	-0.18266
11549.9040	-0.18071
11550.1910	-0.17881
11550.4960	-0.17674
11550.8060	-0.17458
11551.1030	-0.17222
11551.3960	-0.16978
11551.6970	-0.16704
11551.9990	-0.16435
11552.3050	-0.16140
11552.6040	-0.15826
11552.8960	-0.15494
11553.2040	-0.15152
11553.5040	-0.14773
11553.8110	-0.14388
11554.0960	-0.13964
11554.3960	-0.13506
11554.6990	-0.13010
11555.0070	-0.12485
11555.3000	-0.11916
11555.5950	-0.11308
11555.9050	-0.10644
11556.1940	-0.09935
11556.4890	-0.09166
11556.8020	-0.08336
11557.0980	-0.07434
11557.3990	-0.06441
11557.6950	-0.05328
11558.0110	-0.04125
11558.2990	-0.02804
11558.6030	-0.01356
11558.9040	0.00250
11559.1980	0.02049
11559.5000	0.04040
11559.8070	0.06260
11560.0930	0.08734
11560.3950	0.11527
11560.7000	0.14689
11561.0040	0.18275
11561.2990	0.22335
11561.6010	0.26925
11561.9050	0.32111
11562.1980	0.37964
11562.4960	0.44552
11562.8000	0.51865
11563.1000	0.59924
11563.4100	0.68655
11563.7060	0.77953
11564.0030	0.87574
11564.2920	0.97100
11564.6000	1.06090
11564.9050	1.14026
11565.2090	1.20571
11565.5040	1.25470
11565.7950	1.28642
11566.0900	1.30210
11566.3920	1.30425
11566.6960	1.29546
11567.0020	1.27853
11567.3100	1.25596
11567.6030	1.22992
11567.9030	1.20234
11568.2010	1.17444
11568.4940	1.14702
11568.8010	1.12081
11569.0900	1.09621
11569.4030	1.07369
11569.7120	1.05321
11570.0030	1.03491
11570.3080	1.01832
11570.5980	1.00342
11570.9020	0.98998
11571.1950	0.97775
11571.4960	0.96647
11571.8110	0.95589
11572.1040	0.94567
11572.4000	0.93592
11572.6970	0.92673
11572.9990	0.91824
11573.3000	0.91029
11573.6020	0.90295
11573.9020	0.89663
11574.1980	0.89135
11574.4950	0.88722
11574.7970	0.88409
11575.0880	0.88214
11575.4040	0.88129
11575.7080	0.88169
11575.9970	0.88297
11576.2920	0.88519
11576.5880	0.88823
11576.8900	0.89217
11577.1970	0.89686
11577.4970	0.90196
11577.7950	0.90762
11578.1020	0.91314
11578.3880	0.91877
11578.6980	0.92416
11579.0080	0.92919
11579.2930	0.93367
11579.6060	0.93735
11579.8870	0.94013
11580.1890	0.94184
11580.5040	0.94232
11580.7980	0.94152
11581.0960	0.93929
11581.4010	0.93562
11581.6990	0.93076
11581.9950	0.92488
11582.3040	0.91836
11582.5990	0.91133
11582.8980	0.90401
11583.1950	0.89690
11583.5050	0.89017
11583.8090	0.88412
11584.1050	0.87910
11584.3940	0.87512
11584.6950	0.87212
11585.0030	0.86999
11585.2960	0.86865
11585.5980	0.86779
11585.8970	0.86742
11586.2050	0.86738
11586.5050	0.86762
11586.8040	0.86803
11587.0950	0.86846
11587.4010	0.86937
11587.6960	0.87037
11587.9960	0.87188
11588.2980	0.87401
11588.6020	0.87671
11588.9010	0.88017
11589.2000	0.88423
11589.4960	0.88912
11589.7960	0.89474
11590.1010	0.90117
11590.3990	0.90815
11590.7050	0.91573
11591.0020	0.92380
11591.2990	0.93230
11591.5930	0.94084
11591.9050	0.94938
11592.2110	0.95780
11592.4950	0.96592
11592.7890	0.97343
11593.0940	0.98026
11593.3920	0.98601
11593.7050	0.99057
11594.0070	0.99384
11594.3070	0.99566
11594.6070	0.99606
11594.9080	0.99524
11595.1940	0.99319
11595.4930	0.99013
11595.7930	0.98622
11596.1000	0.98160
11596.4020	0.97649
11596.6990	0.97107
11596.9970	0.96553
11597.2980	0.95991
11597.5990	0.95419
11597.8930	0.94861
11598.2000	0.94316
11598.4960	0.93804
11598.8040	0.93315
11599.0950	0.92860
11599.3920	0.92444
11599.7010	0.92064
11600.0040	0.91745
11600.2960	0.91454
11600.5980	0.91197
11600.9070	0.90989
11601.1970	0.90815
11601.5110	0.90669
11601.8020	0.90547
11602.1030	0.90445
11602.4040	0.90344
11602.6950	0.90235
11603.0000	0.90113
11603.3000	0.89974
11603.6050	0.89816
11603.9060	0.89637
11604.2090	0.89448
11604.5100	0.89230
11604.8070	0.88987
11605.1030	0.88731
11605.4060	0.88471
11605.7050	0.88231
11605.9990	0.87980
11606.3020	0.87749
11606.6020	0.87530
11606.9090	0.87335
11607.2030	0.87196
11607.4910	0.87075
11607.7940	0.86977
11608.1000	0.86922
11608.4020	0.86917
11608.7060	0.86950
11609.0050	0.87017
11609.2980	0.87128
11609.5980	0.87264
11609.9020	0.87445
11610.2040	0.87658
11610.4990	0.87895
11610.7910	0.88145
11611.0930	0.88418
11611.3900	0.88709
11611.7080	0.89009
11611.9990	0.89317
11612.3070	0.89637
11612.5970	0.89961
11612.8920	0.90292
11613.1990	0.90629
11613.5020	0.90965
11613.7900	0.91301
11614.0990	0.91635
11614.3970	0.91979
11614.6950	0.92331
11615.0040	0.92671
11615.3010	0.93021
11615.6010	0.93366
11615.8970	0.93707
11616.1920	0.94042
11616.5020	0.94375
11616.8000	0.94686
11617.0960	0.94980
11617.1000	0.94969
11617.4190	0.95264
11617.7640	0.95583
11618.1650	0.95871
11618.5950	0.96153
11619.0900	0.96395
11619.6350	0.96575
11620.2210	0.96648
11620.8760	0.96600
11621.5990	0.96407
11622.3750	0.96099
11623.2440	0.95670
11624.1510	0.95190
11625.0590	0.94706
11625.9810	0.94253
11626.8930	0.93816
11627.8340	0.93370
11628.7730	0.92932
11629.7330	0.92524
11630.6690	0.92148
11631.6380	0.91836
11632.6010	0.91610
11633.5690	0.91364
11634.5600	0.91067
11635.5480	0.90696
11636.5330	0.90226
11637.5240	0.89685
11638.5400	0.89082
11639.5610	0.88430
11640.5920	0.87763
11641.6050	0.87133
11642.6510	0.86575
11643.6830	0.86097
11644.7250	0.85718
11645.7890	0.85411
11646.8620	0.85173
11647.9270	0.85010
11649.0000	0.84905
11650.0720	0.84895
11651.1590	0.85012
11652.2630	0.85277
11653.3680	0.85661
11654.4880	0.86175
11655.6070	0.86781
11656.7270	0.87427
11657.8500	0.88048
11658.9870	0.88623
11660.1390	0.89109
11661.2820	0.89474
11662.4470	0.89748
11663.6120	0.89882
11664.7810	0.89931
11665.9660	0.89871
11667.1480	0.89766
11668.3430	0.89641
11669.5500	0.89480
11670.7550	0.89309
11671.9570	0.89132
11673.1740	0.88945
11674.4070	0.88744
11675.6330	0.88552
11676.8900	0.88392
11678.1290	0.88291
11679.3900	0.88274
11680.6500	0.88313
11681.9150	0.88426
11683.1810	0.88583
11684.4740	0.88782
11685.7580	0.88975
11687.0680	0.89136
11688.3540	0.89224
11689.6720	0.89216
11690.9830	0.89110
11692.3090	0.88884
11693.6500	0.88549
11694.9870	0.88120
11696.3180	0.87575
11697.6800	0.86967
11699.0410	0.86298
11700.3960	0.85593
11701.7680	0.84891
11703.1320	0.84254
11704.5320	0.83716
11705.9140	0.83301
11707.3170	0.83033
11708.7270	0.82893
11710.1450	0.82895
11711.5460	0.83013
11712.9680	0.83223
11714.4090	0.83489
11715.8700	0.83804
11717.3070	0.84153
11718.7510	0.84516
11720.2130	0.84860
11721.6840	0.85178
11723.1690	0.85454
11724.6360	0.85684
11726.1180	0.85880
11727.6200	0.86067
11729.1240	0.86227
11730.6400	0.86354
11732.1420	0.86461
11733.6510	0.86504
11735.1850	0.86493
11736.7400	0.86419
11738.2700	0.86304
11739.8310	0.86164
11741.3690	0.86027
11742.9500	0.85926
11744.5220	0.85887
11746.0900	0.85923
11747.6580	0.86031
11749.2490	0.86210
11750.8630	0.86429
11752.4840	0.86640
11754.0890	0.86806
11755.6950	0.86830
11757.3140	0.86685
11758.9600	0.86345
11760.5980	0.85812
11762.2480	0.85137
